package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,3226,0,10,1016,0,1,2920,3236,99.69097651421508,Norsk <no@li.org>
GConf2,3986,0,0,476,0,0,3896,3986,100.0,Norwegian <i18n-nb@lister.ping.uio.no>
Miro,2661,0,0,586,0,0,2682,2661,100.0,Norwegian Bokmål <nb@li.org>
NetworkManager,1231,21,220,317,4,21,1143,1472,83.62771739130434,Norwegian Bokmal <i18n-nb@lister.ping.uio.no>
NetworkManager-openvpn,323,0,0,90,0,0,314,323,100.0,Norwegian Bokmål <i18n-nb@lister.ping.uio.no>
NetworkManager-pptp,303,0,285,99,0,30,260,588,51.53061224489795,Norwegian Bokmål <i18n-nb@lister.ping.uio.no>
NetworkManager-vpnc,303,0,0,54,0,0,303,303,100.0,Norwegian Bokmål <i18n-nb@lister.ping.uio.no>
PackageKit,252,369,234,46,52,49,256,855,29.47368421052631,Norwegian/Bokmaal <i18n-nb@lister.ping.uio.no>
Terminal,1450,0,0,252,0,0,1275,1450,100.0,Norwegian Bokmal <i18n-nb@lister.ping.uio.no>
Thunar,3802,0,0,673,0,0,3410,3802,100.0,Norwegian Bokmal <i18n-nb@lister.ping.uio.no>
WindowMaker,831,0,0,173,0,0,848,831,100.0,Norwegian
Zim,800,0,447,241,0,105,779,1247,64.15396952686447,Norwegian Bokmal <nb@li.org>
a2ps,667,145,700,134,16,29,682,1512,44.113756613756614,Norwegian <no@li.org>
alacarte,42,0,0,16,0,0,37,42,100.0,Norwegian Bokmål <i18n-nb@lister.ping.uio.no>
alexandria,1080,25,57,286,4,11,1028,1162,92.94320137693632,Norwegian
alleyoop,233,6,109,72,1,16,238,348,66.95402298850574,Norwegian <i18n-nb@lister.ping.uio.no>
almanah,33,2,380,21,1,34,36,415,7.951807228915662,Norsk bokal <i18n-nb@lister.ping.uio.no>
amarok,8852,19,559,1816,1,72,8601,9430,93.87062566277837,Norwegian Bokmål <i18n-nb@lister.ping.uio.no>
anaconda,9628,380,408,1270,17,18,8968,10416,92.4347158218126,Norwegian/Bokmaal <i18n-nb@lister.ping.uio.no>
anjuta,2199,1277,3851,936,395,668,2218,7327,30.012283335608025,Norwegian/Bokmaal <i18n-nb@lister.ping.uio.no>
apollon,1566,24,0,252,13,0,1501,1590,98.49056603773585,Norsk <nb@li.org>
arm-gp2x-linux-glibc,3795,1370,1006,810,272,153,3687,6171,61.49732620320856,Norwegian <i18n-nb@lister.ping.uio.no>
asunder,355,44,21,67,8,3,342,420,84.52380952380952,Ubuntu Norwegian Translators <oversettelse@ubuntu.no>
at-spi,20,0,0,4,0,0,17,20,100.0,Norwegian
atk,370,0,0,123,0,0,304,370,100.0,Norwegian <i18n-nb@lister.ping.uio.no>
atomix,292,0,0,118,0,0,304,292,100.0,Norwegian <i18n-nb@lister.ping.uio.no>
audacity,8157,456,2020,1634,28,407,7739,10633,76.71400357377975,Translators-Norway <unhammer@gmail.com>
audit-viewer,82,0,521,64,0,119,84,603,13.598673300165837,Norwegian bokmal <i18n-nb@lister.ping.uio.no>
authconfig,1248,40,63,234,5,4,1162,1351,92.3760177646188,Norwegian <i18n-nb@lister.ping.uio.no>
avant-window-navigator,173,0,420,65,0,75,169,593,29.17369308600337,Norwegian Bokmal <nb@li.org>
