package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
file-roller,1159,0,0,259,0,0,1332,1159,100.0,Urdu <makki.ma@gmail.com>
gpicview,219,0,0,44,0,0,309,219,100.0,Urdu <makki.ma@gmail.com>
lxappearance,96,0,0,39,0,0,108,96,100.0,Urdu <makki.ma@gmail.com>
lxlauncher,51,0,0,11,0,0,59,51,100.0,Urdu <makki.ma@gmail.com>
lxmenu-data,97,0,0,37,0,0,117,97,100.0,Urdu <makki.ma@gmail.com>
lxrandr,102,0,0,22,0,0,137,102,100.0,Urdu <makki.ma@gmail.com>
lxsession-edit,58,0,0,10,0,0,86,58,100.0,Urdu <makki.ma@gmail.com>
lxshortcut,43,0,0,19,0,0,51,43,100.0,Urdu <makki.ma@gmail.com>
lxtask,112,0,0,43,0,0,163,112,100.0,Urdu <makki.ma@gmail.com>
lxterminal,100,0,0,67,0,0,133,100,100.0,Urdu <makki.ma@gmail.com>
minbar,418,0,0,105,0,0,470,418,100.0,Urdu <makki.ma@gmail.com>
pcmanfm,1520,0,0,388,0,0,1794,1520,100.0,Urdu <makki.ma@gmail.com>
pgadmin3,1373,2642,4963,552,860,1113,1615,8978,15.292938293606595,urdu <pgadmin-hackers@postgresql.org>
thunar-vcs-plugin,367,91,40,207,53,19,491,498,73.69477911646585,Urdu <makki.ma@gmail.com>
xfburn,294,290,712,122,63,96,409,1296,22.685185185185187,Urdu <makki.ma@gmail.com>
xfce4-sensors-plugin,36,53,10,20,18,4,41,99,36.36363636363637,Urdu <makki.ma@gmail.com>
xfce4-weather-plugin,511,31,13,240,10,7,584,555,92.07207207207207,Urdu <makki.ma@gmail.com>
