package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2-dbus,4017,0,0,479,0,0,4178,4017,100.0,Serbian (sr) <gnom@prevod.org>
LabPlot,0,0,3273,0,0,1360,0,3273,0.0,
NetworkManager,705,13,4,149,2,3,701,722,97.64542936288089,Serbian <gnu@prevod.org>
ORBit,8,0,0,2,0,0,2,8,100.0,TLDN
PySolFC,4609,133,266,2031,57,115,4755,5008,92.03274760383387,Russian <ru@li.org>
R,119674,5494,7359,18061,667,1030,101341,132527,90.30159891946546,Chinese (traditional) <zh-l10n@linux.org.tw>
alleyoop,342,0,0,87,0,0,347,342,100.0,Serbian (sr) <serbiangnome-lista@nongnu.org>
aria2,9260,0,0,640,0,0,9274,9260,100.0,none
at-spi,15,0,0,4,0,0,11,15,100.0,Low(lands) Saxon - (Nothern) Germany
atomix,146,0,0,59,0,0,153,146,100.0,Serbian (sr) <gnom@prevod.org>
audacious,2378,0,0,685,0,0,2404,2378,100.0,<en@li.org>
balsa,3793,1041,514,956,251,80,3751,5348,70.92370979805534,Serbian (sr) <gnom@prevod.org>
bash,20990,0,0,1062,0,0,21021,20990,100.0,none
beagle,997,0,0,298,0,0,1035,997,100.0,Serbian (sr) <serbiangnome-lista@nongnu.org>
bittorrent,1041,0,2386,267,0,308,1043,3427,30.376422526991536,Pig Latin <matt-bittorrent@theory.org>
blam,67,0,0,26,0,0,58,67,100.0,Serbian (sr) <serbiangnome-lista@nongnu.org>
blender,4292,1120,10485,1313,654,3136,3798,15897,26.998804805938224,
boswars,3980,358,2502,1776,135,639,4031,6840,58.187134502923975,<tr@li.org>
bzflag,3875,0,0,646,0,0,3923,3875,100.0,
cadaver,1553,0,0,340,0,0,1553,1553,100.0,none
camorama,559,0,0,133,0,0,576,559,100.0,Serbian (sr) <serbiangnome-lista@nongnu.org>
ccsm,399,50,100,101,12,22,388,549,72.6775956284153,Mandingo
childsplay,1226,0,0,212,0,0,1173,1226,100.0,<reinhard@foessmeier.de>
compat-libgda,1713,158,416,345,40,91,1775,2287,74.90161783996501,Serbian (sr) <serbiangnome-lista@nongnu.org>
compat-wxGTK26,0,0,5334,0,0,1113,0,5334,0.0,LANGUAGE <LL@li.org>
compiz,66,0,0,11,0,0,82,66,100.0,Serbian (sr) <fedora@prevod.org>
conglomerate,2480,371,3466,383,207,548,2286,6317,39.25914199778376,Serbian (sr) <gnom@prevod.org>
contact-lookup-applet,260,0,0,56,0,0,227,260,100.0,Serbian (sr) <gnom@prevod.org>
