package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Miro,2,0,2772,1,0,600,4,2774,0.07209805335255948,Urdu <ur@li.org>
Terminal,1549,1,3,279,1,1,1785,1553,99.74243399871216,urdu <makki.ma@gmail.com>
Thunar,3676,142,47,664,17,4,4138,3865,95.10996119016818,urdu <makki.ma@gmail.com>
anaconda,3644,3262,2091,580,353,200,4622,8997,40.50238968545071,SCS GIFT UNIVERSITY (http://cs.gift.edu.pk) <urdu.desktop@gmail.com>
authconfig,924,166,267,180,25,37,1279,1357,68.09137803979365,SCS GIFT UNIVERSITY (http://cs.gift.edu.pk) <urdu.scs.gift@gmail.com>
chkconfig,410,22,16,84,4,2,432,448,91.51785714285714,SCS GIFT UNIVERSITY (http://cs.gift.edu.pk) <urdu.desktop@gmail.com>
compiz,0,0,66,0,0,11,0,66,0.0,none
etoys,1828,178,25683,455,69,3903,2141,27689,6.601899671349633,Urdu <ur@li.org>
exo,1598,0,0,301,0,0,1845,1598,100.0,Urdu <makki.ma@gmail.com>
file-roller,1159,0,0,259,0,0,1332,1159,100.0,Urdu <makki.ma@gmail.com>
firstboot,132,107,415,13,6,35,167,654,20.18348623853211,SCS GIFT UNIVERSITY (http://cs.gift.edu.pk) <urdu.scs.gift@gmail.com>
gcompris,0,0,0,0,0,0,0,0,0.0,
gnome-desktop,15,3,305,9,3,61,16,323,4.643962848297214,UrduWeb Localization Team <l10n@urduweb.org>
gnomebaker,53,0,1133,21,0,270,34,1186,4.4688026981450255,Urdu <urd@li.org>
gpicview,219,0,0,44,0,0,309,219,100.0,Urdu <makki.ma@gmail.com>
gtk2,16,101,12811,16,75,2552,18,12928,0.12376237623762376,UrduWeb Localization Team <l10n@urduweb.org>
hwbrowser,0,0,117,0,0,52,0,117,0.0,none
im-chooser,0,0,152,0,0,34,0,152,0.0,none
imsettings,0,0,979,0,0,155,0,979,0.0,none
initscripts,0,0,4169,0,0,991,0,4169,0.0,none
kexec-tools,0,0,132,0,0,11,0,132,0.0,LANGUAGE <LL@li.org>
klavaro,673,304,926,104,58,64,787,1903,35.36521282186022,<en@li.org>
libgxim,0,0,130,0,0,26,0,130,0.0,none
libvirt,1165,5089,3159,271,995,568,1165,9413,12.376500584298311,none
libxfce4menu,9,16,6,1,2,2,9,31,29.03225806451613,Urdu <makki.ma@gmail.com>
libxfce4util,184,229,0,2,2,0,185,413,44.55205811138014,Urdu <makki.ma@gmail.com>
libxfcegui4,234,0,0,61,0,0,279,234,100.0,Urdu <makki.ma@gmai.com>
lxappearance,96,0,0,39,0,0,108,96,100.0,Urdu <makki.ma@gmail.com>
lxdm,0,0,11,0,0,10,0,11,0.0,LANGUAGE <LL@li.org>
lxlauncher,51,0,0,11,0,0,59,51,100.0,Urdu <makki.ma@gmail.com>
lxmenu-data,97,0,0,37,0,0,117,97,100.0,Urdu <makki.ma@gmail.com>
lxpanel,874,14,7,294,3,2,1135,895,97.6536312849162,Urdu <makki.ma@gmail.com>
lxrandr,102,0,0,22,0,0,137,102,100.0,Urdu <makki.ma@gmail.com>
lxsession-edit,58,0,0,10,0,0,86,58,100.0,Urdu <makki.ma@gmail.com>
lxshortcut,43,0,0,19,0,0,51,43,100.0,Urdu <makki.ma@gmail.com>
lxtask,112,0,0,43,0,0,163,112,100.0,Urdu <makki.ma@gmail.com>
lxterminal,100,0,0,67,0,0,133,100,100.0,Urdu <makki.ma@gmail.com>
minbar,289,0,129,95,0,10,316,418,69.13875598086125,Urdu <LL@li.org>
mingw32-gtk2,16,101,12811,16,75,2552,18,12928,0.12376237623762376,UrduWeb Localization Team <l10n@urduweb.org>
