package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,1983,0,903,846,0,94,1854,2886,68.71101871101871,Telugu <indlinux-telugu@lists.sourceforge.net>
GConf2,4035,0,0,484,0,0,3554,4035,100.0,Telugu <en@li.org>
Miro,2770,0,566,554,0,170,2253,3336,83.03357314148681,Telugu <te@li.org>
NetworkManager,2433,3,0,499,1,0,2157,2436,99.8768472906404,Telugu <en@li.org>
NetworkManager-openconnect,52,0,0,19,0,0,52,52,100.0,Telugu <en@li.org>
NetworkManager-openvpn,189,0,0,59,0,0,183,189,100.0,Telugu <en@li.org>
NetworkManager-pptp,118,0,0,43,0,0,127,118,100.0,Telugu <en@li.org>
NetworkManager-vpnc,139,0,0,36,0,0,129,139,100.0,Telugu <en@li.org>
PackageKit,1490,0,0,353,0,0,1181,1490,100.0,Telugu <en@li.org>
abrt,1588,0,0,278,0,0,1354,1588,100.0,Telugu <en@li.org>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
alacarte,85,0,0,32,0,0,87,85,100.0,Swecha <localisation@swecha.org>
anaconda,8869,0,8,1111,0,1,6871,8877,99.90987946378281,Telugu <en@li.org>
anjuta,475,0,7408,330,0,1821,506,7883,6.025624762146391,Telugu <en@li.org>
at-spi,24,0,0,5,0,0,21,24,100.0,Telugu <en@li.org>
atk,375,0,0,126,0,0,304,375,100.0,Telugu <en@li.org>
authconfig,1357,0,0,242,0,0,1152,1357,100.0,Telugu <en@li.org>
avant-window-navigator,0,0,1655,0,0,279,0,1655,0.0,Telugu <te@li.org>
brasero,5502,0,0,992,0,0,4468,5502,100.0,Telugu <en@li.org>
calibre,88,0,11106,61,0,1514,83,11194,0.7861354296944792,Telugu <te@li.org>
cheese,659,0,0,122,0,0,505,659,100.0,Telugu <en@li.org>
chkconfig,448,0,0,90,0,0,372,448,100.0,Telugu <en@li.org>
control-center,3245,0,0,786,0,0,2696,3245,100.0,Telugu <en@li.org>
dasher,528,0,0,199,0,0,489,528,100.0,Telugu <en@li.org>
deskbar-applet,1665,0,0,357,0,0,1410,1665,100.0,Telugu <en@li.org>
desktop-effects,148,0,0,25,0,0,127,148,100.0,Telugu <en@li.org>
devhelp,309,0,0,71,0,0,277,309,100.0,Swecha Telugu Localisation Team <localisation@swecha.org>
ekiga,4043,0,0,667,0,0,3168,4043,100.0,Telugu <en@li.org>
empathy,2687,0,0,621,0,0,2174,2687,100.0,Telugu <en@li.org>
eog,1440,0,0,294,0,0,1207,1440,100.0,Telugu <en@li.org>
eog-plugins,28,0,0,7,0,0,21,28,100.0,Telugu <en@li.org>
epiphany,3033,0,0,741,0,0,2816,3033,100.0,Telugu <en@li.org>
epiphany-extensions,871,0,0,240,0,0,791,871,100.0,Telugu <en@li.org>
etoys,134,31,27524,62,20,4345,129,27689,0.4839466936328506,Telugu <LL@li.org>
evince,1260,0,0,325,0,0,1127,1260,100.0,Telugu <en@li.org>
evolution,22319,0,0,4771,0,0,18419,22319,100.0,Telugu <en@li.org>
evolution-data-server,5099,0,0,1039,0,0,4481,5099,100.0,Telugu <en@li.org>
evolution-exchange,1339,0,0,196,0,0,1030,1339,100.0,Telugu <en@li.org>
evolution-mapi,333,0,0,65,0,0,279,333,100.0,Telugu <en@li.org>
evolution-rss,694,0,0,190,0,0,652,694,100.0,Telugu <en@li.org>
exaile,33,0,2143,30,0,557,36,2176,1.5165441176470589,Telugu <te@li.org>
f-spot,3553,0,0,886,0,0,3193,3553,100.0,Telugu <en@li.org>
file-roller,1277,0,0,286,0,0,1042,1277,100.0,Telugu <en@li.org>
firstboot,654,0,0,54,0,0,487,654,100.0,Telugu <en@li.org>
fuse-encfs,357,0,958,37,0,102,355,1315,27.148288973384034,Telugu <te@li.org>
gcalctool,1677,0,0,452,0,0,1518,1677,100.0,Telugu <en@li.org>
gconf-editor,336,0,0,98,0,0,353,336,100.0,Telugu <en@li.org>
gdm,1368,0,0,241,0,0,1091,1368,100.0,Telugu <en@li.org>
gedit,4966,0,0,1105,0,0,4127,4966,100.0,Telugu <en@li.org>
gedit-plugins,230,0,0,63,0,0,210,230,100.0,Telugu <en@li.org>
ggz-base-libs,5,0,0,2,0,0,5,5,100.0,Swecha Telugu Localisation Team <localisation@swecha.org>
ggz-gtk-client,447,0,0,183,0,0,414,447,100.0,Swecha Telugu Localisation Team <localisation@swecha.org>
glade3,1833,609,2171,671,211,317,1659,4613,39.735530023845655,Telugu <en@li.org>
glib2,2449,0,4,399,0,1,2063,2453,99.83693436608235,Telugu <en@li.org>
gnome-applets,3367,0,0,791,0,0,3047,3367,100.0,Telugu <en@li.org>
gnome-backgrounds,23,0,0,17,0,0,22,23,100.0,Telugu <en@li.org>
gnome-bluetooth,593,0,0,157,0,0,528,593,100.0,Telugu <en@li.org>
gnome-desktop,351,0,0,53,0,0,284,351,100.0,Telugu <en@li.org>
