package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,3705,0,11,1184,0,1,3020,3716,99.70398277717976,Django I18N <Django-I18N@googlegroups.com>
GConf2,4035,0,0,484,0,0,3259,4035,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
Miro,3153,0,183,668,0,56,2523,3336,94.51438848920863,Finnish <fi@li.org>
NetworkManager,2306,0,121,498,0,7,1824,2427,95.0144210960033,Finnish <gnome-fi-laatu@lists.sourceforge.net>
NetworkManager-openvpn,175,0,0,52,0,0,139,175,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
NetworkManager-pptp,114,0,0,41,0,0,92,114,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
NetworkManager-vpnc,144,0,0,39,0,0,121,144,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
PackageKit,1584,0,0,370,0,0,1231,1584,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
Terminal,1193,0,0,270,0,0,882,1193,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
Thunar,3865,0,0,685,0,0,2706,3865,100.0,Finnish <xfce-i18n@xfce.org>
TurboGears,9,0,0,3,0,0,9,9,100.0,LANGUAGE <LL@li.org>
WindowMaker,4178,134,49,773,32,19,3311,4361,95.8037147443247,Finnish <fi@li.org>
Zim,1247,0,0,346,0,0,976,1247,100.0,Finnish <fi@li.org>
abrt,1552,47,32,275,7,5,1215,1631,95.15634580012262,Finnish <gnome-fi-laatu@lists.sourceforge.net>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
alacarte,42,0,0,16,0,0,34,42,100.0,Finnish <fi@li.org>
alleyoop,351,0,0,89,0,0,251,351,100.0,GFTT <gnome-fi-laatu@lists.sourceforge.net>
almanah,241,0,174,51,0,5,188,415,58.07228915662651,Finnish <gnome-fi-laatu@lists.sourceforge.net>
anaconda,9743,3,6,1200,1,1,6708,9752,99.90771123872027,Finnish <laatu@lokalisointi.org>
anerley,5,0,0,5,0,0,6,5,100.0,
anjal,742,0,0,186,0,0,547,742,100.0,
anjuta,7357,18,443,2054,2,68,5885,7818,94.10335124072652,GFTT <gnome-fi-laatu@lists.sourceforge.net>
aria2,1279,2396,955,167,100,53,987,4630,27.624190064794817,Finnish <fi@li.org>
arm-gp2x-linux-glibc,6171,0,0,1235,0,0,5296,6171,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
asunder,336,72,42,62,16,4,262,450,74.66666666666667,Finnish
at-spi,61,0,0,7,0,0,43,61,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
atk,375,0,0,126,0,0,262,375,100.0,Gnome Finnish Translation Team <gnome-fi-laatu@lists.sourceforge.net>
atomix,146,0,0,59,0,0,130,146,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
audacious,599,59,639,332,21,60,546,1297,46.18350038550501,Finnish <fi@li.org>
audacity,3613,782,5233,1166,202,798,3033,9628,37.5259659326963,American English <kde-i18n-doc@kde.org>
authconfig,1325,0,0,239,0,0,909,1325,100.0,Finnish <>
avahi,826,0,0,155,0,0,666,826,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
avant-window-navigator,187,3,1465,22,2,255,137,1655,11.299093655589123,Finnish <fi@li.org>
avogadro,1112,0,3150,541,0,1004,1134,4262,26.09103707179728,Finnish <fi@li.org>
avr-binutils,18073,0,0,2698,0,0,15087,18073,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
avr-gcc,8575,8303,42217,1430,1289,5348,6843,59095,14.510533886115576,Finnish <translation-team-fi@lists.sourceforge.net>
avr-gdb,7765,0,0,1106,0,0,6591,7765,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
awn-extras-applets,54,0,7151,17,0,898,41,7205,0.7494795281054822,Finnish <fi@li.org>
bacula,0,0,20287,0,0,3178,0,20287,0.0,Finnish <translation-team-fi@lists.sourceforge.net>
bacula2,0,0,20287,0,0,3178,0,20287,0.0,Finnish <translation-team-fi@lists.sourceforge.net>
bakery,72,0,0,20,0,0,59,72,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
balsa,5741,0,0,1372,0,0,4648,5741,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
banshee,5026,41,4,1326,7,4,3946,5071,99.11260106487873,Finnish <laatu@lokalisointi.org>
banshee-community-extensions,117,0,561,28,0,105,89,678,17.25663716814159,LANGUAGE <LL@li.org>
bash,9682,952,81,515,23,8,7131,10715,90.35930937937471,Finnish <translation-team-fi@lists.sourceforge.net>
beagle,1200,0,38,299,0,5,941,1238,96.93053311793214,Finnish <gnome-fi-laatu@lists.sourceforge.net>
bibletime,5012,1598,3037,348,105,177,3655,9647,51.95397532911786,Finnish <fi@li.org>
binutils,18073,0,0,2698,0,0,15087,18073,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
bisho,131,0,0,22,0,0,98,131,100.0,Finnish <laatu@lokalisointi.org>
bison,52,0,0,9,0,0,46,52,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
bittorrent,2832,0,1072,493,0,140,2265,3904,72.54098360655738,LANGUAGE <LL@li.org>
blam,357,0,0,103,0,0,246,357,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
blender,223,7,22,145,4,14,216,252,88.4920634920635,
bluefish,1418,803,1598,681,297,307,1285,3819,37.130138779785284,Not a member <LL@li.org>
blueman,1216,0,160,325,0,27,1000,1376,88.37209302325581,Finnish <fi@li.org>
bognor-regis,27,0,0,3,0,0,20,27,100.0,
boinc-client,478,9,3643,166,2,625,383,4130,11.573849878934626,Finnish <kde-i18n-doc@kde.org>
boswars,627,35,252,281,15,41,531,914,68.5995623632385,Kimmo Kalevi Merikivi <fi@li.org>
brasero,8911,0,0,1247,0,0,6280,8911,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
byzanz,249,0,0,42,0,0,191,249,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
bzr-explorer,273,0,1303,91,0,332,241,1576,17.32233502538071,Finnish <fi@li.org>
cairo-clock,270,0,0,60,0,0,201,270,100.0,Heikki Mäntysaari <heikki.mantysaari@linux.fi>
calibre,1987,0,18011,231,0,2476,1393,19998,9.935993599359936,Finnish <fi@li.org>
camorama,586,0,0,137,0,0,426,586,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
catfish,76,0,0,28,0,0,64,76,100.0,Finnish <fi@li.org>
ccsm,549,0,0,135,0,0,462,549,100.0,Finnish <laatu@lokalisointi.org>
cheese,651,0,0,120,0,0,486,651,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
chkconfig,448,0,0,90,0,0,402,448,100.0,Finnish <laatu@lokalisointi.org>
choqok,752,276,826,182,102,171,599,1854,40.56094929881338,Finnish <kde-i18n-doc@kde.org>
chronojump,1581,0,319,528,0,59,1336,1900,83.21052631578948,Finnish <gnome-fi-laatu@lists.sourceforge.net>
cinepaint,1244,1354,4807,477,561,897,1077,7405,16.799459824442945,fi <fi@li.org>
clamtk,659,0,146,196,0,23,532,805,81.86335403726707,Finnish <fi@li.org>
claws-mail,14672,18,0,2960,3,0,10599,14690,99.87746766507829,Finnish <laatu@lokalisointi.org>
claws-mail-plugins,3493,173,231,679,6,27,2508,3897,89.63305106492173,Finnish <laatu@lokalisointi.org>
clementine,444,0,2130,217,0,553,398,2574,17.24941724941725,Finnish <fi@li.org>
common-lisp-controller,57,0,0,7,0,0,46,57,100.0,Finnish <debian-l10n-finnish@lists.debian.org>
compat-libgda,6198,0,45,1174,0,4,4801,6243,99.27919269581932,Finnish <gnome-fi-laatu@lists.sourceforge.net>
compiz,3250,0,0,717,0,0,2466,3250,100.0,Finnish <laatu@lokalisointi.org>
compiz-fusion,7016,386,1544,1454,75,200,5106,8946,78.42611222892913,Finnish <laatu@lokalisointi.org>
compiz-fusion-extras,7016,386,1544,1454,75,200,5106,8946,78.42611222892913,Finnish <laatu@lokalisointi.org>
compiz-fusion-unsupported,7016,386,1544,1454,75,200,5106,8946,78.42611222892913,Finnish <laatu@lokalisointi.org>
conduit,681,40,113,268,12,17,536,834,81.65467625899281,Finnish <gnome-fi-laatu@lists.sourceforge.net>
contact-lookup-applet,259,0,0,55,0,0,188,259,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
contacts,117,0,4,52,0,3,101,121,96.69421487603306,Finnish <gnome-fi-laatu@lists.sourceforge.net>
control-center,3245,0,0,781,0,0,2449,3245,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
coreutils,9429,6210,2890,885,346,235,7951,18529,50.88779750661126,Finnish <translation-team-fi@lists.sourceforge.net>
cowbell,252,74,320,86,19,18,230,646,39.0092879256966,Finnish <fi@li.org>
cracklib,93,0,0,15,0,0,51,93,100.0,<fi@li.org>
cups,6981,0,366,1415,0,30,6246,7347,95.01837484687627,Finnish
dalston,266,0,0,56,0,0,177,266,100.0,Finnish <laatu@lokalisointi.org>
darktable,2048,327,721,572,57,109,1653,3096,66.1498708010336,Finnish Translators <mikko@ruohola.org>
dasher,526,0,0,198,0,0,432,526,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
dates,239,0,0,72,0,0,197,239,100.0,
dc3dd,146,401,385,16,34,38,123,932,15.665236051502147,Finnish <translation-team-fi@lists.sourceforge.net>
deja-dup,845,0,264,156,0,43,701,1109,76.19477006311993,
deskbar-applet,1670,0,0,356,0,0,1255,1670,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
desktop-effects,148,0,0,25,0,0,114,148,100.0,Finnish <laatu@lokalisointi.org>
devhelp,414,0,0,105,0,0,287,414,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
dexter,221,0,7,91,0,1,167,228,96.9298245614035,Finnish <fi@li.org>
dia,6084,27,549,2260,7,96,4842,6660,91.35135135135135,Finnish <gnome-fi-laatu@lists.sourceforge.net>
dialog,13,1,11,13,1,9,13,25,52.0,Finnish <translation-team-fi@lists.sourceforge.net>
digikam,11454,1258,10941,2050,249,998,7843,23653,48.42514691582463,Finnish <en@li.org>
drupal6-image,918,0,0,129,0,0,643,918,100.0,
ekiga,4471,21,4805,770,2,116,3263,9297,48.09078197267936,Finnish <gnome-fi-laatu@lists.sourceforge.net>
elinks,3683,214,8337,907,57,661,2925,12234,30.104626450874612,Finnish <translation-team-fi@lists.sourceforge.net>
emerald,774,0,0,215,0,0,683,774,100.0,Birunthan Mohanathas <biru@inbox.com>
empathy,4504,0,514,825,0,49,3214,5018,89.75687524910323,Finnish <gnome-fi-laatu@lists.sourceforge.net>
enigma,5049,38,208,613,7,37,3949,5295,95.35410764872522,Finnish
enlightenment,5357,421,204,1148,131,67,4181,5982,89.55198930123704,Finnish <janivayrynen@gmail.com>
eog,1527,0,0,305,0,0,1121,1527,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
eog-plugins,80,0,0,28,0,0,57,80,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
epiphany,9358,0,0,1227,0,0,6507,9358,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
epiphany-extensions,746,0,0,227,0,0,603,746,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
etckeeper,23,0,41,3,0,2,16,64,35.9375,Finnish <debian-l10n-finnish@lists.debian.org>
evince,3307,0,0,544,0,0,2286,3307,100.0,Finnish
evolution,21053,344,1101,4622,12,81,15897,22498,93.57720686283226,Finnish <gnome-fi-laatu@lists.sourceforge.net>
evolution-data-server,5099,0,0,1039,0,0,4348,5099,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
evolution-exchange,1347,0,0,197,0,0,1074,1347,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
evolution-mapi,332,0,0,65,0,0,270,332,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
exaile,1387,0,1430,426,0,338,1148,2817,49.23677671281505,Finnish <fi@li.org>
exiv2,850,173,21412,314,73,3458,748,22435,3.788722977490528,<fi@li.org>
exo,1598,0,0,301,0,0,1077,1598,100.0,os-cillation <info@os-cillation.com>
f-spot,3283,40,82,811,19,9,2712,3405,96.41703377386197,Finnish <gnome-fi-laatu@lists.sourceforge.net>
fantasdic,398,0,0,128,0,0,334,398,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
fetchmail,567,393,3366,116,52,516,502,4326,13.106796116504855,Finnish <translation-team-fi@lists.sourceforge.net>
file-roller,7115,0,0,763,0,0,4506,7115,100.0,Finnish <gnome-fi-laatu@lists.sourceforge.net>
filezilla,9016,69,17,1530,7,3,6959,9102,99.0551527136893,Kari Saariniemi <kari.saariniemi@pp.inet.fi>
findutils,236,318,1551,64,33,122,207,2105,11.211401425178147,Finnish <translation-team-fi@lists.sourceforge.net>
firstboot,654,0,0,54,0,0,450,654,100.0,Finnish
flush,25,0,2615,5,0,598,23,2640,0.946969696969697,Finnish <fi@li.org>
fluxconf,419,0,0,68,0,0,326,419,100.0,Finnish <fi@li.org>
freeciv,39645,4054,9993,4878,208,184,29968,53692,73.8378156894882,Finnish <laatu@lokalisointi.org>
freedink,73,6,0,14,1,0,66,79,92.40506329113924,Finnish <translation-team-fi@lists.sourceforge.net>
freedink-dfarc,741,0,0,129,0,0,582,741,100.0,Finnish <translation-team-fi@lists.sourceforge.net>
frozen-bubble,567,82,49,130,9,9,449,698,81.23209169054442,Finnish
