package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,3637,0,0,1181,0,0,3472,3637,100.0,Django i18n team <django-i18n@googlegroups.com>
GConf2,3478,52,432,415,6,51,3446,3962,87.78394750126199,Croatian <lokalizacija@linux.hr>
Miro,1960,0,1376,526,0,198,2056,3336,58.752997601918466,Croatian <hr@li.org>
NetworkManager,193,0,0,41,0,0,174,193,100.0,Croatian <hr@li.org>
Terminal,399,13,1974,186,5,349,391,2386,16.72254819782062,Croatian <>
WindowMaker,2676,0,20,548,0,2,2554,2696,99.25816023738872,Croatian
alacarte,42,0,0,16,0,0,39,42,100.0,Croatian <hr@li.org>
alleyoop,342,0,0,87,0,0,347,342,100.0,Croatian <lokalizacija@linux.hr>
anaconda,4378,2884,2490,642,345,215,4017,9752,44.89335520918786,CROATIAN <www.translator-shop.org>
anjuta,399,712,5958,261,384,1296,413,7069,5.644362710425803,Croatian <lokalizacija@linux.hr>
arm-gp2x-linux-glibc,2524,0,3308,573,0,599,2618,5832,43.27846364883402,Croatian <lokalizacija@linux.hr>
asunder,443,7,0,81,1,0,429,450,98.44444444444444,Hrvatski <LL@li.org>
at-spi,4,0,0,2,0,0,4,4,100.0,Croatian <lokalizacija@linux.hr>
atk,370,1,4,123,1,2,355,375,98.66666666666667,Croatian <lokalizacija@linux.hr>
audacious,411,160,726,138,76,199,434,1297,31.688511950655357,<en@li.org>
authconfig,778,281,266,154,56,29,852,1325,58.716981132075475,Croatian <renato@translator-shop.org>
avant-window-navigator,227,15,1413,43,9,227,209,1655,13.716012084592144,Croatian <hr@li.org>
avogadro,416,0,190,142,0,107,448,606,68.64686468646865,Croatian <hr@li.org>
balsa,456,405,4487,293,150,844,475,5348,8.526551982049364,Croatian <lokalizacija@linux.hr>
bison,232,281,499,43,46,66,223,1012,22.92490118577075,Croatian <lokalizacija@linux.hr>
bittorrent,795,0,3111,232,0,402,810,3906,20.353302611367127,LANGUAGE <LL@li.org>
blam,67,0,0,26,0,0,57,67,100.0,Croatian <lokalizacija@linux.hr>
blender,2538,0,816,531,0,346,2037,3354,75.67084078711986,
blueman,1257,0,119,333,0,19,1246,1376,91.35174418604652,Croatian <hr@li.org>
boinc-client,394,396,3340,131,71,591,384,4130,9.53995157384988,BOINC Development Team <boinc_loc@ssl.berkeley.edu>
calibre,9859,0,10139,1494,0,1213,8688,19998,49.299929992999296,Croatian <hr@li.org>
camorama,42,0,517,28,0,105,41,559,7.5134168157423975,Croatian <lokalizacija@linux.hr>
ccsm,416,3,130,113,1,21,369,549,75.77413479052824,Matija Folnovic <matijafolnovic@gmail.com>
cheese,1,0,514,1,0,98,6,515,0.1941747572815534,Croatian <hr@li.org>
chkconfig,423,9,16,86,2,2,422,448,94.41964285714286,Renato Pavicic <renato@translator-shop.org>
choqok,820,264,770,210,96,149,813,1854,44.228694714131606,Croatian <kde-croatia-list@lists.sourceforge.net>
