package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,15,349,776,6,69,118,18,1140,1.3157894736842104,Greek <nls@tux.hellug.gr>
Django,3975,2,0,1268,1,0,4351,3977,99.94971083731456,Greek <>
GConf2,4035,0,0,484,0,0,4339,4035,100.0,Greek <team@gnome.gr>
Miro,3336,0,0,724,0,0,3757,3336,100.0,LANGUAGE <LL@li.org>
NetworkManager,2241,0,0,478,0,0,2383,2241,100.0,Greek <team@gnome.gr>
NetworkManager-openconnect,53,0,0,16,0,0,61,53,100.0,Greek <team@gnome.gr>
NetworkManager-openswan,139,0,0,36,0,0,159,139,100.0,Greek <team@gnome.gr>
NetworkManager-openvpn,238,0,0,70,0,0,255,238,100.0,Greek <team@gnome.gr>
NetworkManager-pptp,144,0,0,44,0,0,158,144,100.0,Greek <team@gnome.gr>
NetworkManager-vpnc,143,0,0,37,0,0,164,143,100.0,Greek <team@gnome.gr>
ORBit,8,0,0,2,0,0,9,8,100.0,Greek <nls@tux.hellug.gr>
PackageKit,1193,0,426,275,0,100,1287,1619,73.68746139592342,LANGUAGE <LL@li.org>
Terminal,1152,6,33,264,1,4,1238,1191,96.72544080604534,Greek <nls@tux.hellug.gr>
Thunar,3865,0,0,685,0,0,3915,3865,100.0,Greek <nls@tux.hellug.gr>
WindowMaker,1038,0,972,195,0,141,1137,2010,51.64179104477612,Greek
Zim,1610,0,572,400,0,84,1763,2182,73.78551787351054,Greek <el@li.org>
abrt,313,398,1023,85,77,149,352,1734,18.050749711649367,Greek Fedora team <fedora-trans-el@redhat.com>
accountsdialog,744,9,24,153,1,3,798,777,95.75289575289575,Greek <team@gnome.gr>
ailurus,821,0,7457,181,0,1072,888,8278,9.917854554240154,none
alacarte,42,0,0,16,0,0,42,42,100.0,Greek <team@gnome.gr>
alexandria,1177,4,0,304,2,0,1242,1181,99.66130397967824,Greek
alleyoop,323,13,15,82,3,4,344,351,92.02279202279202,Greek <nls@tux.hellug.gr>
almanah,714,0,0,146,0,0,768,714,100.0,Greek <team@gnome.gr>
amarok,14395,5,0,2591,2,0,15519,14400,99.96527777777777,Greek <kde-i18n-el@kde.org>
anaconda,7097,1432,1212,1020,108,76,7617,9741,72.85699620162201,Greek Fedora team <fedora-trans-el@redhat.com>
anjuta,21858,0,0,2776,0,0,23289,21858,100.0,Greek <team@gnome.gr>
ardour,6891,184,397,1540,56,187,7401,7472,92.22430406852249,Hellenic
aria2,451,19,4160,39,1,280,502,4630,9.740820734341254,Greek <el@li.org>
arm-gp2x-linux-gcc,459,10581,30003,93,1872,4127,483,41043,1.1183393026825523,Greek <nls@tux.hellug.gr>
arm-gp2x-linux-glibc,4052,613,984,903,104,138,4753,5649,71.72950964772527,Greek <nls@tux.hellug.gr>
asunder,404,27,21,74,7,1,451,452,89.38053097345133,<LL@li.org>
at-spi,61,0,0,7,0,0,76,61,100.0,Greek <team@gnome.gr>
at-spi2-atk,61,0,0,7,0,0,76,61,100.0,Greek <team@gnome.gr>
atk,375,0,0,126,0,0,380,375,100.0,Greek <team@gnome.gr>
atomix,125,0,0,44,0,0,129,125,100.0,Greek <nls@tux.hellug.gr>
audacious,466,204,528,246,98,73,503,1198,38.898163606010016,Greek <nls@tux.hellug.gr>
audacity,3586,450,5592,1015,165,986,3895,9628,37.245533859576234,Greek <audacity-translation@lists.sourceforge.net>
audit-viewer,111,477,23,66,114,5,124,611,18.16693944353519,Greek Fedora team <fedora-trans-el@redhat.com>
aumix,73,0,167,36,0,56,79,240,30.416666666666664,Greek <nls@hellug.gr>
authconfig,1058,173,111,182,42,15,1130,1342,78.83755588673621,Greek Fedora team <fedora-trans-el@redhat.com>
