package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,1076,38,26,182,7,4,1335,1140,94.38596491228071,French <traduc@traduc.org>
DivFix++,549,0,0,102,0,0,719,549,100.0,FRENCH <LL@li.org>
Django,3998,0,0,1273,0,0,4424,3998,100.0,French <None>
GConf2,4025,0,0,483,0,0,4987,4025,100.0,GNOME French Team <gnomefr@traduc.org>
LabPlot,14891,1317,476,2955,114,60,16662,16684,89.25317669623591,français <fr@li.org>
Miro,3366,0,0,731,0,0,3982,3366,100.0,French <kde-francophone@kde.org>
NetworkManager,2459,0,0,529,0,0,2978,2459,100.0,GNOME French TEAM <gnomefr@traduc.org>
NetworkManager-openconnect,53,0,0,16,0,0,60,53,100.0,GNOME French Team <gnomefr@traduc.org>
NetworkManager-openswan,139,0,0,36,0,0,192,139,100.0,GNOME French Team <gnomefr@traduc.org>
NetworkManager-openvpn,238,0,0,70,0,0,301,238,100.0,GNOME French Team <gnomefr@traduc.org>
NetworkManager-pptp,144,0,0,44,0,0,186,144,100.0,GNOME French Team <gnomefr@traduc.org>
NetworkManager-vpnc,143,0,0,37,0,0,196,143,100.0,GNOME French Team <gnomefr@traduc.org>
PackageKit,1494,0,125,357,0,18,1890,1619,92.27918468190241,LANGUAGE <LL@li.org>
PyXML,115,0,0,19,0,0,139,115,100.0,French <traduc@traduc.org>
R,33387,20,6,5140,3,1,40243,33413,99.9221859755185,French <R-core@r-project.org>
Terminal,5758,266,170,572,36,38,6138,6194,92.96092993219244,French <xfce-i18n@xfce.org>
Thunar,3865,0,0,685,0,0,4160,3865,100.0,French <xfce-i18n@xfce.org>
WindowMaker,5098,0,0,998,0,0,5853,5098,100.0,French <fr@li.org>
Zim,2182,0,0,484,0,0,2464,2182,100.0,French <fr@li.org>
a2ps,1384,128,0,175,4,0,1472,1512,91.53439153439153,French <bug-a2ps@gnu.org>
abook,721,0,6,190,0,2,870,727,99.17469050894086,french
abrt,1597,30,107,285,5,21,1877,1734,92.09919261822375,French <French fedora-trans-fr@fedoraproject.org>
acheck,274,0,0,30,0,0,317,274,100.0,French translators <debian-l10n-french@lists.debian.org>
acl,484,0,0,51,0,0,544,484,100.0,french <debian-l10n-french@lists.debian.org>
agave,115,0,0,42,0,0,131,115,100.0,French <mailto:yanbrodeur@videotron.ca>
ailurus,5006,0,3272,882,0,371,5774,8278,60.47354433438028,none
akonadi-googledata,78,8,0,17,1,0,102,86,90.69767441860465,French <kde-francophone@kde.org>
alacarte,42,0,0,16,0,0,44,42,100.0,GNOME French Team <gnomefr@traduc.org>
alexandria,1073,39,69,281,11,14,1188,1181,90.85520745131245,Lígia Moreira <ligia.moreira@netvisao.pt>
alleyoop,351,0,0,92,0,0,436,351,100.0,GNOME French Team <gnomefr@traduc.org>
almanah,714,0,0,146,0,0,947,714,100.0,GNOME French Team <gnomefr@traduc.org>
amarok,9554,4205,641,1860,670,63,11412,14400,66.34722222222223,French <kde-francophone@kde.org>
anaconda,9581,129,31,1179,23,2,11101,9741,98.35745816651269,French <trans-fr@lists.fedoraproject.org>
anerley,11,0,0,10,0,0,13,11,100.0,
anjuta,21857,0,0,2776,0,0,25122,21857,100.0,GNOME French Team <gnomefr@traduc.org>
ardour,8055,41,2445,2024,4,312,10164,10541,76.41589981975144,
aria2,2967,574,1089,255,28,37,3478,4630,64.08207343412528,Fran&ccedil;ais
ario,780,0,0,279,0,0,948,780,100.0,French
arm-gp2x-linux-binutils,29442,0,0,4719,0,0,35695,29442,100.0,French <traduc@traduc.org>
arm-gp2x-linux-gcc,13652,18022,9374,2229,2670,1197,17281,41048,33.25862404989281,French <traduc@traduc.org>
