package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Miro,2339,0,997,540,0,184,2332,3336,70.11390887290167,"German, Low <nds@li.org>"
akonadi-googledata,86,0,0,18,0,0,94,86,100.0,Low Saxon <kde-i18n-nds@kde.org>
alacarte,42,0,0,16,0,0,33,42,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
ario,591,0,189,231,0,48,625,780,75.76923076923077,"German, Low <nds@li.org>"
at-spi,24,0,0,5,0,0,26,24,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
avant-window-navigator,5,2,1648,3,1,275,5,1655,0.3021148036253776,"German, Low <nds@li.org>"
bluedevil,546,5,53,183,3,8,520,604,90.39735099337747,Low Saxon <kde-i18n-nds@kde.org>
blueman,2,0,1374,2,0,350,6,1376,0.14534883720930233,"German, Low <nds@li.org>"
brasero,1332,0,4070,466,0,518,1259,5402,24.65753424657534,Low German <nds-lowgerman@lists.sourceforge.net>
calibre,9550,0,10448,1366,0,1341,9264,19998,47.75477547754775,German
cheese,104,0,556,54,0,68,96,660,15.757575757575756,Low German <nds-lowgerman@lists.sourceforge.net>
choqok,1409,99,406,399,24,50,1380,1914,73.61546499477534,Low Saxon <kde-i18n-doc@kde.org>
conduit,543,0,291,240,0,57,519,834,65.10791366906474,Low German <nds-lowgerman@lists.sourceforge.net>
control-center,703,0,2519,388,0,390,655,3222,21.818746120422098,Low German <nds-lowgerman@lists.sourceforge.net>
digikam,17176,3061,3416,2728,345,224,15744,23653,72.61658140616413,Low Saxon <kde-i18n-doc@kde.org>
eog,293,0,1220,143,0,160,274,1513,19.365499008592202,Low German <nds-lowgerman@lists.sourceforge.net>
epiphany,1047,52,1954,468,15,257,987,3053,34.29413691451032,Low German <nds-lowgerman@lists.sourceforge.net>
evince,621,38,603,242,6,76,626,1262,49.20760697305864,Low German <nds-lowgerman@lists.sourceforge.net>
evolution,2292,7,19518,1477,3,3196,2173,21817,10.505569051656964,Low German <nds-lowgerman@lists.sourceforge.net>
evolution-couchdb,9,0,0,5,0,0,9,9,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
f-spot,408,0,2916,252,0,573,388,3324,12.274368231046932,Low German <nds-lowgerman@lists.sourceforge.net>
file-roller,352,0,966,146,0,145,339,1318,26.707132018209407,Low German <nds-lowgerman@lists.sourceforge.net>
firstboot,25,0,629,15,0,39,24,654,3.82262996941896,Low German <nds-lowgerman@lists.sourceforge.net>
fuse-encfs,391,4,920,55,1,83,394,1315,29.733840304182507,"German, Low <nds@li.org>"
gdk-pixbuf2,257,0,1056,49,0,151,283,1313,19.573495811119574,"German, Low <nds-lowgerman@lists.sourceforge.net>"
gdm,395,0,915,130,0,105,370,1310,30.15267175572519,Low German <nds-lowgerman@lists.sourceforge.net>
gedit,438,0,4515,239,0,861,408,4953,8.84312537855845,Low German <nds-lowgerman@lists.sourceforge.net>
gimp,445,1104,10550,291,510,2031,409,12099,3.6779899165220264,Low German <nds-lowgerman@lists.sourceforge.net>
glib2,224,119,3347,65,23,472,243,3690,6.070460704607046,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-backgrounds,23,0,0,17,0,0,22,23,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-desktop,816,2087,0,92,31,0,849,2903,28.108852910781952,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-desktop3,816,2087,0,92,31,0,849,2903,28.108852910781952,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-do,151,0,461,63,0,81,144,612,24.673202614379086,"German, Low <nds@li.org>"
gnome-icon-theme,20,0,0,16,0,0,20,20,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-media,475,0,715,209,0,78,428,1190,39.91596638655462,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-menus,161,0,0,57,0,0,146,161,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-panel,738,0,3738,284,0,329,672,4476,16.487935656836463,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-screensaver,977,12,0,154,3,0,916,989,98.78665318503539,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-session,209,0,429,68,0,43,176,638,32.758620689655174,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-settings-daemon,123,0,1501,54,0,191,98,1624,7.573891625615764,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-system-monitor,97,0,836,56,0,188,89,933,10.39657020364416,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-terminal,1064,29,2835,233,8,211,1029,3928,27.08757637474542,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-themes,109,0,0,30,0,0,131,109,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-utils,340,0,3581,155,0,533,328,3921,8.671257332313186,Low German <nds-lowgerman@lists.sourceforge.net>
gnome-video-effects,26,0,0,23,0,0,28,26,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
griffith,1840,10,4,448,4,2,1796,1854,99.24487594390507,"German, Low <nds@li.org>"
gtg,0,0,1780,0,0,247,0,1780,0.0,"German, Low <nds@li.org>"
gthumb,575,0,1904,361,0,462,536,2479,23.194836627672448,Low German <nds-lowgerman@lists.sourceforge.net>
gtk-vnc,8,0,0,3,0,0,7,8,100.0,Low German <nds-lowgerman@lists.sourceforge.net>
gtk2,2958,8239,2507,1238,1153,393,2778,13704,21.58493870402802,"German, Low <nds-lowgerman@lists.sourceforge.net>"
gtk3,2560,8023,1415,1125,1123,241,2330,11998,21.33688948158026,"German, Low <nds-lowgerman@lists.sourceforge.net>"
gvfs,594,0,1342,222,0,236,641,1936,30.681818181818183,Low German <nds-lowgerman@lists.sourceforge.net>
homebank,1379,0,130,497,0,37,1277,1509,91.38502319416833,"German, Low <nds@li.org>"
k3b,20429,0,0,2522,0,0,18622,20429,100.0,Low Saxon <kde-i18n-nds@kde.org>
kaffeine,496,47,47,221,29,7,423,590,84.06779661016948,Low Saxon <kde-i18n-nds@kde.org>
kamoso,55,17,81,21,6,22,45,153,35.947712418300654,Low Saxon <kde-i18n-nds@kde.org>
kaudiocreator,1128,8,0,272,1,0,1089,1136,99.29577464788733,Low Saxon <kde-i18n-nds@kde.org>
kbluetooth,37,10,294,28,5,70,35,341,10.850439882697946,Low Saxon <kde-i18n-nds@kde.org>
kcoloredit,274,4,0,93,2,0,257,278,98.56115107913669,Low Saxon <kde-i18n-doc@kde.org>
kde-l10n,1819,0,0,284,0,0,1772,1819,100.0,Low Saxon <kde-i18n-nds@kde.org>
kde-partitionmanager,2732,0,0,453,0,0,2804,2732,100.0,Low Saxon <kde-i18n-nds@kde.org>
kde-plasma-networkmanagement,2178,268,424,760,60,55,1871,2870,75.88850174216027,Low Saxon <kde-i18n-nds@kde.org>
kdevelop,3546,0,0,668,0,0,3452,3546,100.0,Low Saxon <kde-i18n-nds@kde.org>
kdevelop-php,359,0,0,59,0,0,355,359,100.0,Low Saxon <kde-i18n-nds@kde.org>
kdevplatform,7249,0,0,1569,0,0,6971,7249,100.0,Low Saxon <kde-i18n-nds@kde.org>
kdiff3,3580,33,157,649,5,9,3550,3770,94.9602122015915,Low Saxon <kde-i18n-nds@kde.org>
kgrab,370,0,0,53,0,0,348,370,100.0,Low Saxon <kde-i18n-nds@kde.org>
kiconedit,726,0,0,155,0,0,685,726,100.0,Low Saxon <kde-i18n-nds@kde.org>
kile,10936,94,84,1864,20,12,10343,11114,98.39841641173295,Low Saxon <kde-i18n-nds@kde.org>
kio_gopher,17,0,0,5,0,0,18,17,100.0,Low Saxon <kde-i18n-nds@kde.org>
kio_sysinfo,168,0,0,72,0,0,155,168,100.0,Low Saxon <kde-i18n-nds@kde.org>
kipi-plugins,14701,187,1189,2930,39,112,14140,16077,91.44118927660632,Low Saxon <kde-i18n-nds@kde.org>
kmldonkey,1830,0,0,436,0,0,1776,1830,100.0,Low Saxon <kde-i18n-doc@kde.org>
kmplayer,1246,2,0,369,1,0,1146,1248,99.83974358974359,Low Saxon <kde-i18n-nds@kde.org>
kmymoney,5014,341,13438,1671,138,1340,4713,18793,26.680146863193745,Low Saxon <kde-i18n-doc@kde.org>
knemo,582,124,480,275,19,53,522,1186,49.0725126475548,Low Saxon <kde-i18n-doc@kde.org>
knights,555,0,0,168,0,0,490,555,100.0,Low Saxon <kde-i18n-doc@kde.org>
koffice-kivio,8417,0,0,2361,0,0,7616,8417,100.0,Low Saxon <kde-i18n-nds@kde.org>
konq-plugins,1692,0,0,546,0,0,1607,1692,100.0,Low Saxon <kde-i18n-nds@kde.org>
