package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,1181,0,2794,337,0,931,971,3975,29.71069182389937,Tamil <None>
GConf2,4035,0,0,484,0,0,3201,4035,100.0,Tamil <fedora-trans-ta@redhat.com>
LabPlot,0,1535,1715,0,808,541,0,3250,0.0,LANGUAGE <LL@li.org>
Miro,194,0,3142,104,0,620,187,3336,5.815347721822542,Tamil <ta@li.org>
NetworkManager,2394,0,0,497,0,0,2127,2394,100.0,Tamil <kde-i18n-doc@kde.org>
NetworkManager-openconnect,52,0,0,19,0,0,53,52,100.0,Tamil <fedora-trans-ta@redhat.com>
NetworkManager-openswan,139,0,0,36,0,0,142,139,100.0,Tamil <fedora-trans-ta@redhat.com>
NetworkManager-openvpn,189,0,0,59,0,0,185,189,100.0,Tamil <fedora-trans-ta@redhat.com>
NetworkManager-pptp,144,0,0,44,0,0,151,144,100.0,Tamil <fedora-trans-ta@redhat.com>
NetworkManager-vpnc,139,0,0,36,0,0,142,139,100.0,Tamil <fedora-trans-ta@redhat.com>
PackageKit,1494,0,125,357,0,18,1170,1619,92.27918468190241,LANGUAGE <LL@li.org>
abrt,1597,30,107,285,5,21,1436,1734,92.09919261822375,American English <kde-i18n-doc@kde.org>
alacarte,42,0,0,16,0,0,45,42,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
anaconda,8537,1032,172,1111,79,14,6633,9741,87.63987270300791,Tamil <kde-i18n-doc@kde.org>
at-spi,50,0,0,7,0,0,38,50,100.0,Tamil <fedora-trans-ta@redhat.com>
at-spi2-atk,50,0,0,7,0,0,38,50,100.0,Tamil <fedora-trans-ta@redhat.com>
atk,375,0,0,126,0,0,303,375,100.0,Tamil <fedora-trans-ta@redhat.com>
atomix,123,0,2,43,0,1,118,125,98.4,Tamil <tamilinix@yahoogroups.com>
authconfig,1282,44,16,233,4,2,1032,1342,95.52906110283159,Tamil <kde-i18n-doc@kde.org>
avant-window-navigator,0,0,1655,0,0,279,0,1655,0.0,Tamil <ta@li.org>
bluefish,1416,926,1477,698,342,245,1581,3819,37.0777690494894,Not a member <LL@li.org>
blueman,12,0,1364,10,0,342,16,1376,0.872093023255814,Tamil <ta@li.org>
brasero,5552,0,0,993,0,0,4628,5552,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
calibre,66,0,19932,12,0,2695,55,19998,0.33003300330033003,Tamil <ta@li.org>
camorama,559,0,0,133,0,0,451,559,100.0,Tamil <zhakanini@yahoogroups.com>
caribou,16,0,0,6,0,0,20,16,100.0,American English <kde-i18n-doc@kde.org>
cheese,660,0,0,123,0,0,562,660,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
chkconfig,448,0,0,90,0,0,389,448,100.0,Tamil <fedora-trans-ta@redhat.com>
compiz,4,69,3177,4,30,683,4,3250,0.12307692307692308,Tamil <i18n@suse.de>
control-center,3245,0,0,781,0,0,2848,3245,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
cracklib,93,0,0,15,0,0,72,93,100.0,Tamil <fedora-trans-ta@redhat.com>
dasher,526,0,0,198,0,0,528,526,100.0,<en@li.org>
dbmail,457,0,0,39,0,0,360,457,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
deskbar-applet,1670,0,0,356,0,0,1465,1670,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
desktop-effects,148,0,0,25,0,0,123,148,100.0,Tamil <fedora-trans-ta@redhat.com>
devhelp,318,0,1,80,0,1,270,319,99.68652037617555,<en@li.org>
ekiga,4043,0,0,667,0,0,3238,4043,100.0,Tamil <fedora-trans-ta@redhat.com>
empathy,3623,0,0,802,0,0,3190,3623,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
eog,1527,0,0,305,0,0,1270,1527,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
eog-plugins,100,0,0,32,0,0,87,100,100.0,Tamil <fedora-trans-ta@redhat.com>
epiphany,3073,0,0,741,0,0,2871,3073,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
epiphany-extensions,888,0,0,244,0,0,795,888,100.0,Tamil <fedora-trans-ta@redhat.com>
etoys,30063,0,0,5107,0,0,22122,30063,100.0,
evince,1491,0,0,370,0,0,1289,1491,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
evolution,16398,3746,1424,3621,758,157,13958,21568,76.02930267062314,Tamil <kde-i18n-doc@kde.org>
evolution-data-server,4584,0,0,963,0,0,4265,4584,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
evolution-exchange,2204,0,0,360,0,0,1844,2204,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
evolution-mapi,518,0,0,107,0,0,492,518,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
evolution-rss,728,0,0,198,0,0,681,728,100.0,Tamil <fedora-trans-ta@redhat.com>
exaile,220,0,2597,127,0,637,206,2817,7.809726659566915,Tamil <ta@li.org>
f-spot,3553,0,0,886,0,0,3187,3553,100.0,Tamil <fedora-trans-ta@redhat.com>
file-roller,1383,0,0,305,0,0,1157,1383,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
firstboot,654,0,0,54,0,0,498,654,100.0,Tamil <fedora-trans-ta@redhat.com>
fuse-encfs,13,0,1302,3,0,136,9,1315,0.988593155893536,Tamil <ta@li.org>
galeon,24,284,3744,19,106,960,23,4052,0.5923000987166831,Tamil <tamilinix@yahoogroups.com>
gcalctool,1128,0,0,256,0,0,959,1128,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gcompris,10596,0,0,1223,0,0,7787,10596,100.0,American English <Ubuntu-l10n-tam@lists.ubuntu.com>
gconf-editor,336,0,0,98,0,0,318,336,100.0,Tamil <fedora-trans-ta@redhat.com>
gdesklets,106,0,1422,50,0,154,100,1528,6.9371727748691105,Tamil <ta@li.org>
gdk-pixbuf2,1198,55,60,185,8,7,1004,1313,91.24143183549124,Tamil <fedora-trans-ta@redhat.com>
gdm,1306,0,0,236,0,0,1096,1306,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gedit,5004,0,0,1108,0,0,4328,5004,100.0,American English <Ubuntu-l10n-tam@lists.ubuntu.com>>
gedit-plugins,250,0,0,69,0,0,241,250,100.0,Tamil <fedora-trans-ta@redhat.com>
gftp,2544,473,358,478,121,35,1986,3375,75.37777777777778,Tamil <en@li.org>
ggz-base-libs,74,0,0,17,0,0,62,74,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
ggz-gtk-client,773,0,0,244,0,0,665,773,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
gimp,12099,0,0,2832,0,0,11357,12099,100.0,<en@li.org>
glade3,17,190,2742,11,92,689,16,2949,0.5764665988470667,Tamil <tamilinix@yahoogroups.com>
glib2,2420,263,1007,393,54,113,2123,3690,65.58265582655827,<en@li.org>
gnome-applets,3407,0,0,796,0,0,2964,3407,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-backgrounds,23,0,0,17,0,0,22,23,100.0,Tamil <fedora-trans-ta@redhat.com>
gnome-bluetooth,664,0,0,181,0,0,607,664,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-color-manager,2169,0,0,369,0,0,1713,2169,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-desktop,349,0,0,53,0,0,263,349,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-desktop3,349,0,0,53,0,0,263,349,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-disk-utility,4544,0,0,1075,0,0,4041,4544,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-do,40,0,572,23,0,121,43,612,6.535947712418301,Tamil <ta@li.org>
gnome-doc-utils,251,0,0,101,0,0,251,251,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-games,6985,0,0,1603,0,0,5886,6985,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-gmail,268,0,91,39,0,8,199,359,74.65181058495823,LANGUAGE <LL@li.org>
gnome-icon-theme,51,0,0,46,0,0,52,51,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
gnome-keyring,1157,0,0,242,0,0,950,1157,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-libs,917,3,165,327,3,65,836,1085,84.51612903225806,Tamil
gnome-mag,298,0,0,42,0,0,251,298,100.0,TAMIL <ubuntu-l10n-tam@lists.ubuntu.com>
gnome-media,1211,0,0,302,0,0,1006,1211,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-menus,161,0,0,57,0,0,156,161,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>
gnome-mime-data,887,0,0,362,0,0,926,887,100.0,Tamil <zhakanini@yahoogroups.com>
gnome-netstatus,418,0,0,106,0,0,361,418,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>
gnome-nettool,617,0,0,213,0,0,565,617,100.0,Tamil <fedora-trans-ta@redhat.com>
gnome-packagekit,5361,0,0,872,0,0,4021,5361,100.0,Tamil <Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-panel,4469,0,0,606,0,0,3194,4469,100.0,Tamil <<Ubuntu-l10n-tam@lists.ubuntu.com>>
gnome-pilot,1782,0,0,340,0,0,1508,1782,100.0,Tamil <fedora-trans-ta@redhat.com>
