package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3428,0,596,453,0,32,3238,4024,85.18886679920477,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
NetworkManager,2497,0,0,543,0,0,2249,2497,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
NetworkManager-openconnect,38,0,18,13,0,4,37,56,67.85714285714286,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
NetworkManager-openvpn,96,0,5,36,0,1,90,101,95.04950495049505,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
NetworkManager-pptp,102,0,42,38,0,6,106,144,70.83333333333334,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
NetworkManager-vpnc,114,0,42,38,0,3,118,156,73.07692307692307,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
Terminal,2100,0,4096,465,0,182,1827,6196,33.89283408650742,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
Thunar,5433,8,5099,836,4,132,4131,10540,51.54648956356736,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
alacarte,42,0,0,16,0,0,38,42,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
anjuta,7042,0,992,1863,0,180,6269,8034,87.65247697286533,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
at-spi,24,3,34,5,1,1,28,61,39.34426229508197,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
at-spi2-atk,7,0,0,1,0,0,5,7,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
at-spi2-core,96,0,0,14,0,0,115,96,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
atk,375,0,0,126,0,0,325,375,100.0,Gnome Uighur Translation Project <gnome-uighur@yahoogroups.com>
avogadro,8,0,4254,4,0,1541,4,4262,0.18770530267480057,Uyghur <ug@li.org>
bluedevil,549,0,68,185,0,13,501,617,88.97893030794165,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
brasero,5447,0,46,970,0,1,4282,5493,99.16257054432914,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
caribou,23,0,0,11,0,0,24,23,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
cheese,294,0,0,72,0,0,273,294,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
clamtk,769,0,0,210,0,0,665,769,100.0,Uyghur <ug@li.org>
control-center,2276,8,6,732,3,3,2067,2290,99.3886462882096,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
dasher,327,38,58,127,18,22,317,423,77.30496453900709,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
deskbar-applet,1670,0,0,356,0,0,1397,1670,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
devhelp,456,0,0,119,0,0,406,456,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
drwright,125,7,59,18,2,9,104,191,65.44502617801047,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
duplicity,94,0,3162,68,0,406,98,3256,2.886977886977887,Uyghur <ug@li.org>
ekiga,4179,0,85,713,0,3,3423,4264,98.00656660412757,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
empathy,3874,0,0,849,0,0,3107,3874,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
eog,1552,0,14,309,0,3,1203,1566,99.10600255427842,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
epiphany,2268,0,0,638,0,0,2004,2268,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
evince,1419,0,0,364,0,0,1223,1419,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
evolution,21418,57,21,4413,7,4,17773,21496,99.63714179382211,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
evolution-data-server,4663,2,0,1006,1,0,4519,4665,99.95712754555198,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
evolution-exchange,859,0,1345,205,0,155,792,2204,38.97459165154265,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
evolution-mapi,516,0,0,106,0,0,444,516,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
exo,1921,0,293,313,0,8,1498,2214,86.76603432700993,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
file-roller,1519,0,0,335,0,0,1164,1519,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
garcon,85,0,4,28,0,1,81,89,95.50561797752809,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gcalctool,318,0,887,106,0,180,290,1205,26.390041493775936,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gconf-editor,336,0,0,98,0,0,288,336,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gdk-pixbuf2,1313,0,0,200,0,0,1093,1313,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gdm,1094,0,0,205,0,0,978,1094,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gedit,4216,0,88,728,0,4,3154,4304,97.95539033457248,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gigolo,327,4,113,111,1,18,292,444,73.64864864864865,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
glade3,3148,0,1057,922,0,164,2882,4205,74.86325802615933,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
glib-networking,86,0,0,16,0,0,83,86,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
glib2,4594,0,0,719,0,0,4382,4594,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-applets,3303,0,0,781,0,0,3205,3303,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-backgrounds,23,0,0,17,0,0,24,23,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-bluetooth,662,0,0,192,0,0,566,662,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-color-manager,330,0,1613,123,0,219,308,1943,16.984045290787442,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-desktop,189,6,128,64,1,8,186,323,58.51393188854489,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-desktop3,207,0,0,23,0,0,171,207,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-disk-utility,2794,0,1750,813,0,264,2550,4544,61.487676056338024,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-doc-utils,251,0,0,101,0,0,261,251,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-games,915,0,5458,379,0,1076,840,6373,14.357445473089598,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-icon-theme,4,0,0,2,0,0,5,4,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-keyring,1174,0,0,243,0,0,1025,1174,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-mag,5,0,0,2,0,0,5,5,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-media,1234,0,0,310,0,0,1131,1234,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-menus,95,0,0,37,0,0,91,95,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-packagekit,4690,0,4,790,0,1,3477,4694,99.91478483170005,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-panel,4240,0,39,574,0,3,3383,4279,99.08857209628418,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-power-manager,2133,0,0,376,0,0,1751,2133,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-screensaver,291,0,0,58,0,0,217,291,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-session,354,0,92,79,0,13,280,446,79.37219730941703,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-settings-daemon,2916,0,0,394,0,0,2262,2916,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-shell,964,0,0,239,0,0,828,964,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-system-monitor,935,0,0,244,0,0,909,935,100.0,Gnome Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-terminal,4145,0,0,487,0,0,3180,4145,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-themes,101,0,0,34,0,0,120,101,100.0,GNOME Uighur Translation Project <gnome-uighur@yahoogroups.com>
gnome-themes-standard,24,0,0,9,0,0,23,24,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-user-share,326,0,0,51,0,0,291,326,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gnome-utils,3555,0,21,680,0,3,2762,3576,99.41275167785236,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gtk2,2577,616,9188,878,253,1451,2330,12381,20.814150714804942,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gtk3,12556,0,16,2646,0,1,10376,12572,99.87273305758829,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gtkhtml3,488,0,0,310,0,0,514,488,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gtksourceview3,1481,0,0,589,0,0,1425,1481,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gucharmap,896,0,0,337,0,0,1009,896,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
gvfs,2011,0,0,469,0,0,1889,2011,100.0,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
kamoso,20,0,133,20,0,29,20,153,13.071895424836603,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
kaudiocreator,95,0,1041,79,0,194,104,1136,8.362676056338028,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
kdiff3,155,0,3489,101,0,549,167,3644,4.253567508232711,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
kile,539,0,10626,355,0,1548,545,11165,4.827586206896552,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
kmymoney,939,0,18140,679,0,2481,999,19079,4.921641595471461,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
knemo,226,0,960,154,0,193,221,1186,19.05564924114671,Uyghur Computer Science Association <UKIJ@yahoogroups.com>
