package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
NetworkManager,2615,0,0,576,0,0,3382,2615,100.0,Catalan <tradgnome@softcatala.org>
NetworkManager-openconnect,34,8,11,9,4,3,38,53,64.15094339622641,Catalan
NetworkManager-openvpn,185,22,67,58,10,13,212,274,67.51824817518248,Catalan <tradgnome@softcatala.org>
NetworkManager-pptp,115,3,26,42,1,1,145,144,79.86111111111111,Catalan <tradgnome@softcatala.org>
NetworkManager-vpnc,135,2,6,34,1,2,167,143,94.4055944055944,Catalan <tradgnome@softcatala.org>
PackageKit,0,0,1573,0,0,369,0,1573,0.0,Catalan (Valencian) (http://www.transifex.net/projects/p/freedesktop/team/ca@valencia/)
accerciser,627,0,0,221,0,0,765,627,100.0,Catalan <tradgnome@softcatala.org>
accountsservice,0,0,59,0,0,10,0,59,0.0,Catalan (Valencian) (http://www.transifex.net/projects/p/freedesktop/language/ca@valencia/)
aisleriot,1900,0,0,528,0,0,2180,1900,100.0,Catalan <tradgnome@softcatala.org>
akonadi-googledata,57,29,0,12,6,0,77,86,66.27906976744185,Catalan <kde-i18n-ca@kde.org>
alacarte,42,0,0,16,0,0,51,42,100.0,catalan <tradgnome@softcatala.org>
anjuta,7967,0,0,2003,0,0,9719,7967,100.0,Catalan <tradgnome@softcatala.org>
at-spi,61,0,0,7,0,0,82,61,100.0,Catalan <tradgnome@softcatala.org>
atk,398,0,0,139,0,0,479,398,100.0,català; valencià <<tradgnome@softcatala.org>>
audacity,5023,305,5315,1333,46,931,6564,10643,47.19533965987034,Catalan <ca@li.org>
avogadro,4085,0,177,1515,0,30,4733,4262,95.84702017832004,Catalan valencia <ca@valencia@li.org>
banshee,5840,37,15,1502,9,3,7162,5892,99.1174473862865,tradgnome@softcatala.net
baobab,549,0,0,126,0,0,691,549,100.0,Catalan <tradgnome@softcatala.org>
bisho,85,0,0,20,0,0,92,85,100.0,Catalan <tradgnome@softcatala.org>
caribou,200,0,0,60,0,0,236,200,100.0,Catalan <tradgnome@llistes.softcatala.org>
cheese,566,0,0,119,0,0,645,566,100.0,Catalan <tradgnome@softcatala.org>
choqok,1807,198,27,472,33,15,2203,2032,88.92716535433071,Catalan <kde-i18n-ca@kde.org>
clutter,2690,0,0,595,0,0,3106,2690,100.0,català; valencià <tradgnome@softcatala.org>
cogl,15,0,346,4,0,71,25,361,4.1551246537396125,Catalan <tradgnome@softcatala.org>
control-center,3072,0,0,1004,0,0,3748,3072,100.0,Catalan <tradgnome@softcatala.org>
deja-dup,1635,0,40,279,0,7,2133,1675,97.61194029850746,Catalan (Valencian) <ca@valencia@li.org>
dia,6592,7,0,2356,1,0,8499,6599,99.89392332171542,Català (València) <tradgnome@softcatala.org>
drwright,116,0,0,23,0,0,139,116,100.0,Catalan <tradgnome@softcatala.org>
ekiga,4479,0,0,743,0,0,5278,4479,100.0,Catalan <tradgnome@softcatala.org>
empathy,4348,0,0,976,0,0,5160,4348,100.0,català; valencià <tradgnome@softcatala.org>
eog,1608,0,0,324,0,0,1906,1608,100.0,Catalan <tradgnome@softcatala.org>
eog-plugins,149,0,0,55,0,0,191,149,100.0,Catalan <tradgnome@softcatala.org>
epiphany,1753,0,0,492,0,0,2047,1753,100.0,Catalan <tradgnome@softcatala.org>
epiphany-extensions,746,0,0,227,0,0,989,746,100.0,Catalan <tradgnome@softcatala.org>
evince,1437,0,0,366,0,0,1716,1437,100.0,Catalan <tradgnome@softcatala.org>
evolution,23205,0,0,4586,0,0,27839,23205,100.0,Catalan <tradgnome@softcatala.org>
evolution-couchdb,9,0,0,5,0,0,10,9,100.0,Catalan <tradgnome@softcatala.org>
evolution-data-server,4960,0,0,1042,0,0,7092,4960,100.0,català; valencià <tradgnome@softcatala.org>
f-spot,3402,0,0,773,0,0,4186,3402,100.0,Catalan <tradgnome@softcatala.net>
file-roller,1555,0,0,340,0,0,1778,1555,100.0,Catalan <tradgnome@softcatala.org>
filezilla,8149,545,408,1382,101,57,9729,9102,89.52977367611514,Català
fprintd,0,0,219,0,0,33,0,219,0.0,Catalan (Valencian) <None>
gcalctool,1399,0,0,433,0,0,1607,1399,100.0,Catalan  <tradgnome@softcatala.org>
gcr,423,116,83,154,38,35,531,622,68.0064308681672,Catalan <tradgnome@softcatala.org>
gdk-pixbuf2,1345,0,0,201,0,0,1882,1345,100.0,Catalan <tradgnome@softcatala.org>
gdm,956,0,0,176,0,0,1226,956,100.0,català; valencià <tradgnome@softcatala.org>
gedit,4351,0,0,748,0,0,5010,4351,100.0,Catalan <tradgnome@softcatala.org>
giggle,497,18,173,153,8,16,639,688,72.23837209302324,Catalan <tradgnome@softcatala.org>
gimp,28565,5,29,7311,2,3,35731,28599,99.88111472429107,Catalan <gnome@lists.softcatala.org>
glabels,1631,201,24,542,58,12,2156,1856,87.8771551724138,Catalan <tradgnome@softcatala.org>
glade,4266,0,0,1104,0,0,5228,4266,100.0,Catalan <tradgnome@softcatala.org>
glib-networking,135,0,0,24,0,0,203,135,100.0,Catalan <gnome-dl@llistes.softcatala.org>
glib2,5208,0,0,803,0,0,7332,5208,100.0,Catalan <tradgnome@softcatala.org>
gnome-backgrounds,30,0,0,18,0,0,34,30,100.0,Catalan <tradgnome@softcatala.org>
gnome-bluetooth,462,0,0,144,0,0,556,462,100.0,Catalan <tradgnome@softcatala.org>
gnome-boxes,379,0,0,99,0,0,464,379,100.0,Catalan <tradgnome@softcatala.org>
gnome-contacts,329,0,0,147,0,0,405,329,100.0,Catalan <tradgnome@softcatala.org>
gnome-desktop,349,0,0,53,0,0,443,349,100.0,Catalan <tradgnome@softcatala.org>
gnome-dictionary,833,0,0,183,0,0,1060,833,100.0,Catalan <tradgnome@softcatala.org>
gnome-disk-utility,2280,0,0,423,0,0,2817,2280,100.0,Catalan <tradgnome@softcatala.org>
gnome-documents,188,0,0,72,0,0,218,188,100.0,Catalan <tradgnome@softcatala.org>
gnome-font-viewer,32,0,0,18,0,0,46,32,100.0,Catalan <tradgnome@softcatala.org>
gnome-games,4261,0,0,908,0,0,4827,4261,100.0,Catalan <tradgnome@softcatala.org>
gnome-keyring,553,0,0,112,0,0,652,553,100.0,Catalan <tradgnome@softcatala.org>
gnome-mag,298,0,0,42,0,0,336,298,100.0,Catalan <tradgnome@softcatala.org>
