package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4025,0,0,483,0,0,3888,4025,100.0,<norik@freenet.am>
WindowMaker,369,0,1917,102,0,266,341,2286,16.141732283464567,Armenian <norik@freenet.am>
accerciser,535,0,0,205,0,0,531,535,100.0,<norik@freenet.am>
alacarte,42,0,0,16,0,0,39,42,100.0,<norik@freenet.am>
anaconda,89,0,8208,68,0,960,92,8297,1.07267687115825,LANGUAGE <LL@li.org>
anjuta,7981,0,0,2154,0,0,7563,7981,100.0,<norik@freenet.am>
at-spi,61,0,0,7,0,0,65,61,100.0,<norik@freenet.am>
atk,375,0,0,126,0,0,338,375,100.0,<norik@freenet.am>
authconfig,0,0,1638,0,0,285,0,1638,0.0,LANGUAGE <LL@li.org>
chkconfig,0,0,487,0,0,93,0,487,0.0,LANGUAGE <LL@li.org>
clementine,59,0,3880,39,0,1058,64,3939,1.4978420919014979,
console-setup,10,6,963,7,1,163,9,979,1.0214504596527068,Armenian
control-center,1906,0,0,480,0,0,1762,1906,100.0,<norayr@arnet.am>
devhelp,414,0,0,105,0,0,369,414,100.0,<norik@freenet.am>
drwright,125,11,55,18,3,8,109,191,65.44502617801047,<norayr@arnet.am>
epiphany,1241,0,1760,367,0,385,1046,3001,41.35288237254249,ARMENIAN <armenian-gnome@arnet.am>
file-roller,955,0,3,239,0,2,837,958,99.68684759916493,<norik@freenet.am>
filezilla,9236,12,0,1566,2,0,7269,9248,99.87024221453287,Hrant Ohanyan <hrantohanyan@mail.am>
firstboot,124,0,447,12,0,38,94,571,21.71628721541156,LANGUAGE <LL@li.org>
gcalctool,361,0,767,119,0,137,351,1128,32.00354609929078,<norik@freenet.am>
gdk-pixbuf2,1247,98,0,193,8,0,1183,1345,92.71375464684016,<norik@freenet.am>
gdm,444,0,4970,132,0,633,367,5414,8.200960472848172,Armenian <norik@freenet.am>
gedit,416,0,3917,157,0,877,358,4333,9.600738518347566,Armenian <norik@@freenet.am>
