package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Django,5051,0,5,1583,0,5,5124,5056,99.90110759493672,Macedonian (http://www.transifex.net/projects/p/django/language/mk/)
GConf2,4004,0,0,477,0,0,4344,4004,100.0,Macedonian <mkde-l10n@lists.sourceforge.net>
NetworkManager,2508,0,0,549,0,0,2876,2508,100.0,Macedonian <ossm-members@hedona.on.net.mk>
NetworkManager-l2tp,4,67,692,3,22,109,4,763,0.5242463958060288,Macedonian <ossm-members@hedona.on.net.mk>
NetworkManager-openswan,129,0,4,32,0,1,146,133,96.99248120300751,Macedonian <ossm-members@hedona.on.net.mk>
NetworkManager-openvpn,323,0,0,90,0,0,375,323,100.0,Macedonian <ossm-members@hedona.on.net.mk>
NetworkManager-pptp,584,0,0,129,0,0,617,584,100.0,Macedonian <ossm-members@hedona.on.net.mk>
NetworkManager-vpnc,129,0,4,32,0,1,146,133,96.99248120300751,Macedonian <ossm-members@hedona.on.net.mk>
Thunar,3223,368,295,580,63,35,3593,3886,82.93875450334535,Macedonian <ossm-members@hedona.on.net.mk>
accerciser,363,0,0,166,0,0,407,363,100.0,Macedonian <ossm-members@hedona.on.net.mk>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,1455,419,113,403,111,35,1303,1987,73.22596879718168,Macedonian <ossm-members@hedona.on.net.mk>
alacarte,42,0,0,16,0,0,46,42,100.0,Macedonian <ossm-members@hedona.on.net.mk>
alexandria,1177,4,0,304,2,0,1204,1181,99.66130397967824,Macedonian <ufo@linux.net.mk>
alleyoop,348,0,0,89,0,0,370,348,100.0,Macedonian <ossm-members@hedona.on.net.mk>
anaconda,2689,0,5608,434,0,594,2822,8297,32.40930456791612,LANGUAGE <LL@li.org>
anjuta,4666,1279,768,1233,445,117,5285,6713,69.50692685833457,Macedonian <ossm-members@hedona.on.net.mk>
at-spi,4,0,0,2,0,0,6,4,100.0,Macedonian <ossm-members@hedona.on.net.mk>
atk,370,1,4,123,1,2,436,375,98.66666666666667,Macedonian <ossm-members@hedona.on.net.mk>
atomix,146,0,0,59,0,0,162,146,100.0,Macedonian <ossm-members@hedona.on.net.mk>
audacious,365,106,310,127,57,103,435,781,46.73495518565941,Macedonian <ossm-members@hedona.on.net.mk>
audacity,1286,356,9001,396,112,1802,1302,10643,12.083059287794795,macedonian <mk@li.org>
authconfig,736,0,902,144,0,141,775,1638,44.93284493284494,LANGUAGE <LL@li.org>
bakery,72,0,0,20,0,0,77,72,100.0,Macedonian <ossm-members@hedona.on.net.mk>
balsa,1911,331,2686,546,39,600,2121,4928,38.778409090909086,Macedonian <lug@lists.linux.net.mk>
banshee,3493,874,0,748,243,0,3980,4367,79.9862605907946,Macedonian <ossm-members@hedona.on.net.mk>
baobab,370,38,132,109,9,8,431,540,68.51851851851852,Macedonian <mkde-l10n@lists.sourceforge.net>
brasero,5493,0,0,971,0,0,5653,5493,100.0,Macedonian <ossm-members@hedona.on.net.mk>
calibre,51,0,50004,46,0,11805,54,50055,0.10188792328438717,Macedonian
camorama,559,0,0,133,0,0,623,559,100.0,Macedonian <mk@li.org>
caribou,200,0,0,60,0,0,221,200,100.0,LANGUAGE <LL@li.org>
cheese,550,0,0,119,0,0,599,550,100.0,Macedonian <ossm-members@hedona.on.net.mk>
chkconfig,423,0,64,86,0,7,473,487,86.85831622176592,LANGUAGE <LL@li.org>
cinnamon,0,0,1696,0,0,552,0,1696,0.0,Macedonian <mk@li.org>
clutter,2417,172,101,531,38,26,2441,2690,89.85130111524164,mk_MK <jovan@lugola.net>
compiz,0,21,3229,0,11,706,0,3250,0.0,Macedonian <i18n@suse.de>
console-setup,979,0,0,171,0,0,924,979,100.0,Macedonian <>
control-center,3403,88,704,1474,69,166,3667,4195,81.12038140643624,Macedonian <ossm-members@hedona.on.net.mk>
dasher,526,0,0,198,0,0,636,526,100.0,Macedonian <ossm-members@hedona.on.net.mk>
debconf,189,0,2,16,0,1,183,191,98.95287958115183,macedonian <ossm-members@hedona.on.net.mk>
devhelp,360,0,0,91,0,0,378,360,100.0,Macedonian <mkde-l10n@lists.sourceforge.net>
dia,870,1153,3688,302,619,1125,955,5711,15.233759411661705,<mk@li.org>
dialog,4,0,21,4,0,19,5,25,16.0,<ossm-members@hedona.on.net.mk>
drwright,102,30,59,13,7,9,117,191,53.403141361256544,Macedonian <ossm-members@hedona.on.net.mk>
ekiga,5145,0,0,765,0,0,5291,5145,100.0,Macedonian <ossm-members@hedona.on.net.mk>
empathy,4428,0,0,980,0,0,4704,4428,100.0,Macedonian <ossm-members@hedona.on.net.mk>
eog,1607,0,0,323,0,0,1700,1607,100.0,Macedonian <mkde-l10n@lists.sourceforge.net>
eog-plugins,23,0,0,7,0,0,32,23,100.0,Macedonian <ossm-members@hedona.on.net.mk>
epiphany,2199,0,0,613,0,0,2300,2199,100.0,Macedonian <ossm-members@hedona.on.net.mk>
evince,1437,0,0,366,0,0,1574,1437,100.0,Macedonian <ossm-members@hedona.on.net.mk>
evolution,23418,3479,18539,4815,680,1179,24886,45436,51.54062857645919,Macedonian <ossm-members@hedona.on.net.mk>
evolution-data-server,5021,0,0,1042,0,0,5892,5021,100.0,Macedonian <ossm-members@hedona.on.net.mk>
evolution-exchange,1330,0,0,195,0,0,1485,1330,100.0,Macedonian <ossm-members@hedona.on.net.mk>
exaile,233,0,3442,121,0,828,235,3675,6.340136054421769,Macedonian <mk@li.org>
exo,1072,212,116,222,25,27,1169,1400,76.57142857142857,Macedonian
f-spot,2799,0,220,804,0,17,3269,3019,92.71281881417688,Macedonian <ossm-members@hedona.on.net.mk>
file-roller,1548,0,0,337,0,0,1603,1548,100.0,Macedonian <ossm-members@hedona.on.net.mk>
filezilla,4595,969,3538,1095,155,290,5130,9102,50.4834102395078,Macedonian
firstboot,223,0,348,15,0,35,218,571,39.05429071803853,LANGUAGE <LL@li.org>
freedink-data,2611,88,11071,450,15,1755,2357,13770,18.961510530137982,Macedonian <ufo@linux.net.mk>
freedink-dfarc,656,82,0,127,2,0,687,738,88.88888888888889,<damjandimitrioski@gmail.com>
gcalctool,1399,0,0,433,0,0,1408,1399,100.0,Macedonian <mkde-l10n@lists.sourceforge.net>
gcompris,755,2099,663,182,218,139,728,3517,21.46715951094683,Macedonian <lug@lists.linux.net.mk>
gconf-editor,335,0,0,99,0,0,377,335,100.0,Macedonian <ossm-members@hedona.on.net.mk>
gcr,11,159,452,6,48,173,10,622,1.7684887459807075,Macedonian <mkde-l10n@lists.sourceforge.net>
gdk-pixbuf2,1099,195,51,162,34,5,1307,1345,81.7100371747212,Macedonian <ossm-members@hedona.on.net.mk>
gdm,1148,0,0,202,0,0,1292,1148,100.0,Macedonian <mkde-l10n@lists.sourceforge.net>
gedit,4316,0,0,739,0,0,4378,4316,100.0,Macedonian <ossm-members@hedona.on.net.mk>
gedit-plugins,786,192,227,359,59,51,902,1205,65.22821576763485,Macedonian <ossm-members@hedona.on.net.mk>
genius,3078,0,0,503,0,0,3135,3078,100.0,<mk@li.org>
