package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,1140,0,0,193,0,0,1845,1140,100.0,Vietnamese <vi-VN@googlegroups.com>
Django,2384,0,2672,623,0,965,3303,5056,47.151898734177216,Vietnamese (http://www.transifex.net/projects/p/django/language/vi/)
GConf2,4024,25,39,485,5,7,5953,4088,98.43444227005871,Vietnamese <vi-VN@googlegroups.com>
NetworkManager,2303,0,312,555,0,21,2909,2615,88.06883365200765,Vietnamese <gnomevi-list@lists.sourceforge.net>
NetworkManager-l2tp,4,70,689,3,23,108,7,763,0.5242463958060288,Vietnamese <vi-VN@googlegroups.com>
NetworkManager-openconnect,136,0,5,32,0,1,194,141,96.45390070921985,Vietnamese <gnomevi-list@lists.sourceforge.net>
NetworkManager-openswan,303,0,0,54,0,0,413,303,100.0,Vietnamese <vi-VN@googlegroups.com>
NetworkManager-openvpn,313,0,0,88,0,0,432,313,100.0,Vietnamese <vi-VN@googlegroups.com>
NetworkManager-pptp,588,0,0,129,0,0,817,588,100.0,Vietnamese <vi-VN@googlegroups.com>
NetworkManager-vpnc,303,0,0,54,0,0,413,303,100.0,Vietnamese <vi-VN@googlegroups.com>
Terminal,849,234,108,180,67,22,1125,1191,71.28463476070529,Vietnamese <vi_VN@googlegroups.com>
Thunar,877,219,2790,202,38,438,1181,3886,22.568193515182706,none
abrt,0,0,1965,0,0,247,0,1965,0.0,Vietnamese (http://www.transifex.com/projects/p/fedora/language/vi/)
accerciser,540,0,0,207,0,0,888,540,100.0,Vietnamese <vi-VN@googlegroups.com>
accountsservice,59,0,0,10,0,0,89,59,100.0,Vietnamese <vi-VN@googlegroups.com>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,1702,248,37,462,75,12,2044,1987,85.65676899849018,Vietnamese <vi-VN@googlegroups.com>
alacarte,42,0,0,16,0,0,58,42,100.0,Vietnamese <gnomevi-list@lists.sourceforge.net>
alleyoop,351,0,0,90,0,0,542,351,100.0,
anaconda,1481,0,6816,309,0,719,1836,8297,17.849825238037845,Vietnamese (http://www.transifex.net/projects/p/fedora/language/vi/)
anjuta,7905,0,0,2155,0,0,11762,7905,100.0,Vietnamese <vi-VN@googlegroups.com>
aria2,48,0,5826,9,0,347,72,5874,0.8171603677221655,Vietnamese <vi@li.org>
arm-gp2x-linux-binutils,486,0,0,93,0,0,692,486,100.0,Vietnamese <gnomevi-list@lists.sourceforge.net>
arm-gp2x-linux-gcc,1101,0,0,187,0,0,1754,1101,100.0,Vietnamese <vi-VN@googlegroups.com>
askbot,457,947,7348,92,259,1075,1527,8752,5.221663619744058,LANGUAGE <LL@li.org>
aspell,1726,0,0,293,0,0,2436,1726,100.0,Vietnamese <vi-VN@googlegroups.com>
at-spi,61,0,0,7,0,0,75,61,100.0,Vietnamese <vi-VN@googlegroups.com>
at-spi2-atk,7,0,0,1,0,0,10,7,100.0,Vietnamese <vi-VN@googlegroups.com>
at-spi2-core,96,0,0,14,0,0,121,96,100.0,Vietnamese <gnomevi-list@lists.sourceforge.net>
atk,398,0,0,139,0,0,567,398,100.0,Vietnamese <vi-VN@googlegroups.com>
atomix,146,0,0,60,0,0,242,146,100.0,
audacious,713,0,3,290,0,1,1118,716,99.58100558659217,Vietnamese
