package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,4084,4088,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager,2614,0,0,526,0,0,2657,2614,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-l2tp,110,25,628,33,8,93,107,763,14.416775884665793,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-openconnect,596,839,1317,151,180,180,670,2752,21.656976744186046,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-openswan,87,0,0,30,0,0,94,87,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-openvpn,847,0,0,145,0,0,830,847,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-pptp,415,0,0,77,0,0,403,415,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-ssh,120,85,81,32,21,16,118,286,41.95804195804196,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
NetworkManager-vpnc,448,0,0,88,0,0,456,448,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
PackageKit,1564,0,0,366,0,0,1552,1564,100.0,Slovenian <lugos-slo@lugos.si>
Thunar,159,0,3997,39,0,699,154,4156,3.8257940327237727,Slovenian
TurboGears,21,0,0,5,0,0,20,21,100.0,Slovenian <matej.baric@gmail.com>
Zim,2394,0,283,554,0,58,2353,2677,89.42846469929026,Slovenian <sl@li.org>
a2ps,937,351,224,148,16,15,1044,1512,61.97089947089947,Slovenian <sl@li.org>
abrt,0,0,2722,0,0,328,0,2722,0.0,Slovenian (http://www.transifex.com/projects/p/fedora/language/sl/)
accerciser,636,0,1435,240,0,77,602,2071,30.709802028005797,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
accountsservice,59,0,0,10,0,0,55,59,100.0,Slovenian <lugos-slo@lugos.si>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,2829,633,18535,628,222,630,2175,21997,12.860844660635543,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
alacarte,45,0,0,20,0,0,45,45,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
alleyoop,351,0,0,92,0,0,332,351,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
almanah,727,0,0,128,0,0,728,727,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
amarok,15794,0,0,2729,0,0,16864,15794,100.0,Slovenian <lugos-slo@lugos.si>
anaconda,136,0,4815,33,0,731,123,4951,2.7469198141789537,Slovenian (http://www.transifex.com/projects/p/fedora/language/sl/)
anjuta,8165,0,13592,2057,0,569,7833,21757,37.52815185917176,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
apper,4338,0,0,781,0,0,4726,4338,100.0,Slovenian <lugos-slo@lugos.si>
arduino,933,0,984,192,0,135,856,1917,48.6697965571205,Slovene
aspell,1726,0,0,293,0,0,1528,1726,100.0,Slovenian <translation-team-sl@lists.sourceforge.net>
asunder,420,29,22,76,8,1,402,471,89.171974522293,Slovenian <sl@li.org>
at-spi,61,0,0,7,0,0,54,61,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
at-spi2-core,122,0,0,18,0,0,144,122,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
atk,398,0,0,139,0,0,347,398,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
atomix,125,0,0,44,0,0,117,125,100.0,Slovenian <translation-team-sl@lists.sourceforge.net>
audacity,9177,621,1213,2174,150,98,9084,11011,83.34392879847425,Martin Srebotnjak <miles@filmsi.net>
authconfig,762,0,876,148,0,137,735,1638,46.52014652014652,LANGUAGE <LL@li.org>
avahi,637,0,228,160,0,5,662,865,73.64161849710983,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
backintime,136,0,1356,58,0,242,137,1492,9.115281501340483,<cvelbar@gmail.com>
bakery,72,0,0,20,0,0,67,72,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
balsa,19313,177,52,2261,4,13,17334,19542,98.82816497799611,Slovenian GNOME translation team <gnome-si@googlegroups.com>
banshee,11157,0,0,1839,0,0,10617,11157,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
baobab,1004,0,0,114,0,0,921,1004,100.0,Slovenian Gnome translation team <gnome-si@googlegroups.com>
bibus,2063,0,0,589,0,0,1946,2063,100.0,Martin Srebotnjak <miles@filmsi.net>
bijiben,98,0,0,50,0,0,104,98,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
bisho,131,0,0,22,0,0,113,131,100.0,LANGUAGE <LL@li.org>
bison,52,0,0,9,0,0,53,52,100.0,Slovenian <translation-team-sl@lists.sourceforge.net>
bluedevil,617,0,0,198,0,0,643,617,100.0,Slovenian <lugos-slo@lugos.si>
blueman,9,0,1606,7,0,373,18,1615,0.5572755417956656,Slovenian <sl@li.org>
boinc-client,13973,2966,8821,2596,707,964,13270,25760,54.24301242236025,LANGUAGE <LL@li.org>
brasero,7702,0,0,1124,0,0,6793,7702,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
byzanz,236,0,0,52,0,0,222,236,100.0,Slovenian <gnome-si@googlegroups.com>
cairo-clock,270,0,0,60,0,0,262,270,100.0,Slovenian
caja-actions,8582,0,11508,862,0,662,7507,20090,42.717770034843205,Slovenian MATE Translation Team <mate-si@googlegroups.com>
calibre,10314,0,51283,2372,0,10995,9565,61597,16.744321963732002,Slovenian <translation-team-sl@lists.sourceforge.net>
camorama,564,0,0,123,0,0,531,564,100.0,Slovenian <sl@li.org>
caribou,200,0,0,60,0,0,184,200,100.0,Slovenian GNOME translation team <gnome-si@googlegroups.com>
certmonger,0,0,1211,0,0,200,0,1211,0.0,Slovenian (http://www.transifex.com/projects/p/fedora/language/sl/)
cheese,2281,0,0,239,0,0,2038,2281,100.0,Slovenian GNOME Translation Team <gnome-si@googlegroups.com>
childsplay,1193,23,10,203,4,5,994,1226,97.30831973898859,Slovenian <r@aufbix.org>
chkconfig,423,0,64,86,0,7,420,487,86.85831622176592,LANGUAGE <LL@li.org>
choqok,2037,0,0,521,0,0,2118,2037,100.0,Slovenian <lugos-slo@lugos.si>
