package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,17,0,0,6,0,0,19,17,100.0,Portuguese (Portugal) (http://www.transifex.com/projects/p/0ad/language/pt_PT/)
apt,3701,396,6,447,27,2,3999,4103,90.20229100658055,European Portuguese <geral@caixamagica.pt>
ardour,3941,0,456,1153,0,154,4403,4397,89.62929269956788,Portuguese
ardour3,1100,0,10739,456,0,2378,1238,11839,9.291325280851423,Portuguese
arduino,1902,0,15,315,0,12,2130,1917,99.21752738654148,Portuguese (Portugal)
audacious,568,8,0,235,1,0,677,576,98.61111111111111,Portuguese (Portugal) (http://www.transifex.com/projects/p/audacious/language/pt_PT/)
audacious-plugins,4028,4,0,867,2,0,4360,4032,99.90079365079364,Portuguese (Portugal) (http://www.transifex.com/projects/p/audacious/language/pt_PT/)
boinc-client,16656,0,0,2797,0,0,18438,16656,100.0,LANGUAGE <LL@li.org>
boswars,196,10,10,60,4,9,230,216,90.74074074074075,
bygfoot,3623,48,49,755,11,8,3706,3720,97.39247311827957,Portuguese <LL@li.org>
cairo-clock,270,0,0,60,0,0,325,270,100.0,Alfredo Matos <alfredo.matos@digitalself.org>
chemtool,1164,0,20,249,0,12,1491,1184,98.3108108108108,European Portuguese
childsplay,1226,0,0,212,0,0,1222,1226,100.0,<pt@li.org>
cinnamon-translations,3766,0,1180,983,0,298,4353,4946,76.14233724221593,Portuguese <pt@li.org>
claws-mail,13256,2573,4096,2781,588,661,15834,19925,66.52948557089084,Portuguese
colord,111,0,1739,28,0,169,130,1850,6.0,Portuguese (Portugal) (http://www.transifex.com/projects/p/colord/language/pt_PT/)
colorhug-client,0,0,1092,0,0,225,0,1092,0.0,Portuguese (Portugal) (http://www.transifex.com/projects/p/colorhug-client/language/pt_PT/)
darktable,6987,2,57,1739,1,4,7799,7046,99.16264547260857,
drupal6-userpoints,48,0,0,14,0,0,56,48,100.0,Portuguese from Portugal <miguel.duarte@gmail.com>
elementary,53,0,0,35,0,0,69,53,100.0,
filezilla,9565,0,0,1605,0,0,11396,9565,100.0,
fonts-tweak-tool,0,0,164,0,0,49,0,164,0.0,Portuguese (Portugal)
fuse-encfs,757,8,550,101,2,36,907,1315,57.56653992395437,Portuguese (Portugal) <pt_PT@li.org>
garcon,17,0,72,2,0,27,21,89,19.101123595505616,
gimp,921,0,0,28,0,0,979,921,100.0,Português Translation Team <gnome_pt@yahoogroups.com>
glpi,6847,0,2588,1996,0,530,7306,9435,72.57021727609963,Portuguese (Portugal) (http://www.transifex.com/projects/p/GLPI/language/pt_PT/)
gnomebaker,1113,21,52,276,5,10,1219,1186,93.84485666104553,portuguese <pt@li.org>
gourmet,7,0,3769,4,0,875,16,3776,0.1853813559322034,Portuguese (Portugal) <pt_PT@li.org>
guayadeque,3326,0,0,1019,0,0,3442,3326,100.0,Portuguese (Portugal) (http://www.transifex.com/projects/p/guayadeque/language/pt_PT/)
horde,7073,0,0,1939,0,0,8110,7073,100.0,Portugal Portuguese <dev@lists.horde.org>
