package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,104,0,0,41,0,0,105,104,100.0,Dutch (http://www.transifex.com/projects/p/0ad/language/nl/)
CableSwig,1140,0,0,193,0,0,1185,1140,100.0,Dutch <vertaling@vrijschrift.org>
GConf2,4088,0,0,497,0,0,4205,4088,100.0,Dutch <vertaling@vrijschrift.org>
LabPlot,14953,1330,401,2968,112,49,15086,16684,89.6247902181731,Nederlands <kde-i18n-nl@kde.org.>
NetworkManager,214,31,120,30,3,17,224,365,58.63013698630137,Dutch <vertaling@vrijschrift.org>
NetworkManager-l2tp,80,23,650,29,9,95,71,753,10.624169986719787,Dutch <vertaling@vrijschrift.org>
NetworkManager-openconnect,2489,219,1008,459,37,171,2583,3716,66.98062432723358,Dutch (http://www.transifex.com/projects/p/meego/language/nl/)
NetworkManager-openswan,139,0,0,36,0,0,130,139,100.0,Dutch <vertaling@vrijschrift.org>
NetworkManager-openvpn,449,0,308,110,0,26,417,757,59.313077939233814,Dutch <vertaling@vrijschrift.org>
NetworkManager-pptp,110,0,0,39,0,0,101,110,100.0,Dutch <vertaling@vrijschrift.org>
NetworkManager-ssh,32,38,216,13,15,41,32,286,11.188811188811188,Dutch <vertaling@vrijschrift.org>
NetworkManager-vpnc,138,0,0,35,0,0,129,138,100.0,Dutch <vertaling@vrijschrift.org>
PackageKit,1046,0,227,275,0,48,1065,1273,82.1681068342498,Dutch (http://www.transifex.com/projects/p/packagekit/language/nl/)
Thunar,4206,0,0,739,0,0,4217,4206,100.0,Dutch (http://www.transifex.com/projects/p/thunar/language/nl/)
WindowMaker,5015,0,692,1058,0,453,4573,5707,87.87454003854916,Dutch
Zim,2874,0,0,663,0,0,2995,2874,100.0,Dutch <nl@li.org>
a2ps,1384,128,0,175,4,0,1366,1512,91.53439153439153,Dutch <vertaling@vrijschrift.org>
abrt,2466,0,256,313,0,15,2524,2722,90.59515062454078,Dutch (http://www.transifex.com/projects/p/fedora/language/nl/)
accerciser,535,0,0,205,0,0,502,535,100.0,Dutch <vertaling@vrijschrift.org>
accountsservice,59,0,0,10,0,0,57,59,100.0,Dutch (http://www.transifex.com/projects/p/freedesktop/language/nl/)
adwaita-icon-theme,51,0,0,46,0,0,50,51,100.0,Dutch <vertaling@nl.linux.org>
ailurus,2060,0,5657,331,0,836,2086,7717,26.694311260852665,none
aisleriot,2997,0,0,654,0,0,2637,2997,100.0,Dutch <vertaling@vrijschrift.org>
alacarte,42,0,0,16,0,0,36,42,100.0,Dutch <vertaling@vrijschrift.org>
alexandria,1165,4,12,303,2,1,1165,1181,98.64521591871296,Dutch
alleyoop,351,0,0,89,0,0,345,351,100.0,Dutch <vertaling@vrijschrift.org>
almanah,785,0,0,157,0,0,810,785,100.0,<en@li.org>
amarok,15794,0,0,2729,0,0,15990,15794,100.0,Dutch <kde-i18n-nl@kde.org>
anaconda,6578,0,0,1097,0,0,6718,6578,100.0,Dutch (http://www.transifex.com/projects/p/anaconda/language/nl/)
anjuta,3643,1927,2335,1232,555,368,3385,7905,46.08475648323846,Dutch <vertaling@vrijschrift.org>
apper,4286,0,0,771,0,0,4603,4286,100.0,Dutch <kde-i18n-nl@kde.org>
