package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,104,0,0,41,0,0,102,104,100.0,Russian (http://www.transifex.com/projects/p/0ad/language/ru/)
DivFix++,551,0,0,104,0,0,558,551,100.0,RUSSIA <kkostyan gmail>
GConf2,4088,0,0,497,0,0,3972,4088,100.0,Russian <gnome-cyr@gnome.org>
LabPlot,1552,974,724,666,461,222,1485,3250,47.753846153846155,<ru@li.org>
NetworkManager,2496,6,116,511,2,17,2377,2618,95.33995416348358,русский <gnome-cyr@gnome.org>
NetworkManager-l2tp,505,10,238,88,2,43,517,753,67.06507304116866,Russian <debian-l10n-russian@lists.debian.org>
NetworkManager-openconnect,139,5,3097,32,2,562,129,3241,4.288799753162604,Russian <gnome-cyr@gnome.org>
NetworkManager-openswan,139,0,0,36,0,0,131,139,100.0,Russian <gnome-cyr@gnome.org>
NetworkManager-openvpn,408,0,0,105,0,0,396,408,100.0,Russian <gnome-cyr@gnome.org>
NetworkManager-pptp,400,15,0,76,1,0,392,415,96.3855421686747,Russian <gnome-cyr@gnome.org>
NetworkManager-ssh,115,87,84,29,22,18,110,286,40.20979020979021,Russian <gnome-cyr@gnome.org>
NetworkManager-vpnc,254,0,192,62,0,24,250,446,56.95067264573991,Русский <gnome-cyr@gnome.org>
PackageKit,1266,0,7,322,0,1,1128,1273,99.45011783189317,Russian (http://www.transifex.com/projects/p/packagekit/language/ru/)
PySolFC,4593,133,241,2015,57,96,4738,4967,92.47030400644252,Russian <ru@li.org>
R,36380,98,13,5329,10,3,34565,36491,99.6958154065386,Russian
Thunar,4206,0,0,739,0,0,3723,4206,100.0,Russian (http://www.transifex.com/projects/p/thunar/language/ru/)
TurboGears2,5,0,0,1,0,0,4,5,100.0,ru <LL@li.org>
WindowMaker,3928,8,448,775,1,53,3733,4384,89.59854014598541,Russian
Zim,2783,0,91,646,0,17,2624,2874,96.83368128044538,Russian <ru@li.org>
a2ps,1384,128,0,175,4,0,1374,1512,91.53439153439153,Russian <ru@li.org>
abrt,2466,0,2978,313,0,343,2304,5444,45.29757531227039,Russian (Russia) (http://www.transifex.com/projects/p/fedora/language/ru_RU/)
accerciser,599,0,0,221,0,0,578,599,100.0,русский <gnome-cyr@gnome.org>
accountsservice,59,0,0,10,0,0,62,59,100.0,Russian (http://www.transifex.com/projects/p/freedesktop/language/ru/)
adwaita-icon-theme,4,0,0,2,0,0,2,4,100.0,Русский <gnome-cyr@gnome.org>
ailurus,8278,0,0,1253,0,0,7763,8278,100.0,gnome-cyr
aisleriot,20045,1063,1332,1421,44,58,16169,22440,89.3270944741533,Russian <gnome-cyr@gnome.org>
alacarte,45,0,0,20,0,0,41,45,100.0,русский <gnome-cyr@gnome.org>
alexandria,1155,14,12,296,7,3,1054,1181,97.79847586790855,ru <->
alleyoop,351,0,0,92,0,0,331,351,100.0,Russian <debian-l10n-russian@lists.debian.org>
almanah,711,0,0,127,0,0,653,711,100.0,Russian <gnome-cyr@gnome.org>
alsa-utils,407,130,1,34,1,1,373,538,75.65055762081785,Russian <ru@li.org>
amarok,13518,901,1375,2462,162,105,13241,15794,85.58946435355197,Russian <kde-russian@lists.kde.ru>
anaconda,6271,0,307,1046,0,51,5412,6578,95.3329279416236,Russian (http://www.transifex.com/projects/p/anaconda/language/ru/)
anjuta,8398,0,0,2060,0,0,7892,8398,100.0,русский <gnome-cyr@gnome.org>
apper,4277,8,1,767,3,1,4241,4286,99.79001399906673,Russian <kde-russian@lists.kde.ru>
