package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,136,0,0,33,0,0,145,136,100.0,Portuguese (Brazil) (http://www.transifex.com/wildfire-games/0ad/language/pt_BR/)
GConf2,4088,0,0,497,0,0,4748,4088,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager,9877,0,0,1456,0,0,11073,9877,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-fortisslvpn,185,0,0,38,0,0,203,185,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-iodine,80,0,0,25,0,0,94,80,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-l2tp,84,25,644,32,8,93,98,753,11.155378486055776,Brazilian Portuguese <gnome-l10n-br@listas.cipsga.org.br>
NetworkManager-openconnect,4037,0,0,723,0,0,4803,4037,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-openswan,97,0,0,31,0,0,121,97,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-openvpn,1010,0,0,162,0,0,1172,1010,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-pptp,415,0,0,77,0,0,479,415,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-ssh,120,85,81,32,21,16,133,286,41.95804195804196,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
NetworkManager-vpnc,498,0,0,93,0,0,573,498,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
PackageKit,1273,0,0,318,0,0,1465,1273,100.0,Portuguese (Brazil) (http://www.transifex.com/freedesktop/packagekit/language/pt_BR/)
R,17759,8219,10503,2943,1037,1368,19839,36481,48.6801348647241,http://www.feferraz.net/br/P/Projeto_Traducao_R_Portugues
Thunar,4206,0,0,739,0,0,4479,4206,100.0,Portuguese (Brazil) (http://www.transifex.com/projects/p/thunar/language/pt_BR/)
Zim,2874,0,0,663,0,0,3192,2874,100.0,Brazilian Portuguese <pt_BR@li.org>
abrt,2785,0,665,360,0,48,3182,3450,80.72463768115942,Portuguese (Brazil) (http://www.transifex.com/projects/p/fedora-abrt/language/pt_BR/)
accerciser,2071,0,0,317,0,0,2382,2071,100.0,Brazilian Portuguese <gnome-l10n-br@listas.cipsga.org.br>
accountsservice,59,0,0,10,0,0,69,59,100.0,Portuguese (Brazil) (http://www.transifex.com/projects/p/freedesktop/language/pt_BR/)
adwaita-icon-theme,4,0,0,2,0,0,3,4,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
ailurus,5589,0,2689,872,0,381,6346,8278,67.51630828702585,none
aisleriot,4894,27,17587,770,1,777,5041,22508,21.743380131508797,Português <comsolid3@googlegroups.com>
alacarte,45,0,0,20,0,0,50,45,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
alexandria,1073,39,69,281,11,14,1155,1181,90.85520745131245,Lígia Moreira <ligia.moreira@netvisao.pt>
alleyoop,351,0,0,92,0,0,419,351,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
almanah,828,0,0,139,0,0,1031,828,100.0,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
amarok,15794,0,0,2729,0,0,18348,15794,100.0,Brazilian Portuguese <kde-i18n-pt_br@kde.org>
anaconda,6544,0,419,1093,0,46,7078,6963,93.98247881660204,Portuguese (Brazil)
anjuta,9136,0,9753,2122,0,655,10642,18889,48.36677431309228,Brazilian Portuguese <gnome-pt_br-list@gnome.org>
apper,4143,0,0,753,0,0,4503,4143,100.0,Brazilian Portuguese <kde-i18n-pt_br@kde.org>
appstream,0,0,304,0,0,59,0,304,0.0,Portuguese (Brazil) (http://www.transifex.com/freedesktop/appstream/language/pt_BR/)
