package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4026,0,6,480,0,1,3967,4032,99.85119047619048,Nepali <info@mpp.org.np>
NetworkManager,2,270,11071,2,86,1575,4,11343,0.017632019747862118,Nepali <info@mpp.org.np>
abrt,0,0,3230,0,0,390,0,3230,0.0,Nepali (http://www.transifex.com/projects/p/fedora-abrt/language/ne/)
aisleriot,1381,1078,577,412,193,53,1120,3036,45.48748353096179,Nepali <info@mpp.org.np>
alleyoop,351,0,0,89,0,0,351,351,100.0,Nepali <info@mpp.org.np>
anaconda,87,0,6971,18,0,1125,84,7058,1.2326438084443185,Nepali (http://www.transifex.com/projects/p/anaconda/language/ne/)
anjuta,6911,0,0,1885,0,0,6856,6911,100.0,Nepali <info@mpp.org.np>
arduino,43,0,2523,28,0,434,47,2566,1.6757599376461418,Nepali (http://www.transifex.com/projects/p/arduino-ide-15/language/ne/)
asunder,18,0,462,16,0,71,19,480,3.75,http://littlesvr.ca/ostd/
atk,369,2,4,122,2,2,356,375,98.4,Nepali <info@mpp.org.np>
atril,635,0,1126,191,0,212,608,1761,36.05905735377626,Nepali (http://www.transifex.com/mate/MATE/language/ne/)
bakery,72,0,0,20,0,0,70,72,100.0,Nepali <info@mpp.org.np>
balsa,5827,0,0,1410,0,0,5921,5827,100.0,Nepali <info@mpp.org.np>
baobab,133,16,61,44,4,9,127,210,63.33333333333333,Nepali Translation Team <chautari@gmail.com>
bijiben,151,39,120,76,10,16,171,310,48.70967741935484,Nepali Translation Team <chautari@gmail.com>
blivet-gui,0,0,699,0,0,187,0,699,0.0,Nepali
blueberry,31,0,110,9,0,25,32,141,21.98581560283688,Nepali <ne@li.org>
brasero,243,1719,3584,130,468,370,259,5546,4.381536242336819,Nepali Translation Team <chautari@gmail.com>
caja,4096,0,5102,848,0,645,3813,9198,44.531419873885625,Nepali (http://www.transifex.com/mate/MATE/language/ne/)
camorama,558,0,0,123,0,0,511,558,100.0,Nepali <info@mpp.org.np>
caribou,35,45,91,25,19,13,37,171,20.46783625730994,Nepali Translation Team <chautari@gmail.com>
certmonger,0,0,2478,0,0,415,0,2478,0.0,Nepali (http://www.transifex.com/projects/p/certmonger/language/ne/)
cheese,86,107,420,53,30,37,89,613,14.02936378466558,Nepali Translation Team <chautari@gmail.com>
cinnamon-desktop,0,14,217,0,2,29,0,231,0.0,Nepali <info@mpp.org.np>
cinnamon-session,8,47,346,2,16,51,6,401,1.99501246882793,Nepali <info@mpp.org.np>
cinnamon-settings-daemon,116,85,833,31,32,108,117,1034,11.218568665377177,Nepali <info@mpp.org.np>
cinnamon-translations,1295,0,12256,403,0,2823,1289,13551,9.55649029591912,Nepali <ne@li.org>
compat-gtkhtml314,920,0,0,398,0,0,925,920,100.0,Nepali <info@mpp.org.np>
compat-wxGTK3-gtk2,7581,67,34,1814,18,13,7692,7682,98.68523821921374,Him Prasad Gautam <himjee@yahoo.com>
console-setup,135,231,617,47,33,95,124,983,13.73346897253306,American English <kde-i18n-doc@kde.org>
control-center,2293,877,1788,1028,230,194,2317,4958,46.248487293263416,Nepali Translation Team <chautari@gmail.com>
dasher,443,0,0,173,0,0,479,443,100.0,Nepali <info@mpp.org.np>
debconf,745,48,2,84,2,1,756,795,93.71069182389937,Nepali <info@mpp.org.np>
deja-dup,0,0,2011,0,0,327,0,2011,0.0,Nepali <ne@li.org>
devhelp,309,0,0,71,0,0,307,309,100.0,Nepali <info@mpp.org.np>
dia,6152,0,0,2241,0,0,6413,6152,100.0,Nepali <info@mpp.org.np>
digikam,1554,15512,22613,465,3312,2342,1505,39679,3.9164293454976185,Nepali <info@mpp.org.np>
dnf-plugin-system-upgrade,0,0,211,0,0,36,0,211,0.0,Nepali
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Nepali
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Nepali
dpkg,2791,4212,1594,398,497,194,2794,8597,32.46481330696755,Nepali <info@mpp.org.np>
drgeo,1912,65,8,450,7,4,1806,1985,96.32241813602015,Nepali <info@mpp.org.np>
ekiga,5068,0,0,765,0,0,4651,5068,100.0,Nepali <info@mpp.org.np>
empathy,1229,58,387,283,41,123,1152,1674,73.41696535244922,Nepali <info@mpp.org.np>
engrampa,912,0,1023,195,0,158,860,1935,47.13178294573643,Nepali (http://www.transifex.com/mate/MATE/language/ne/)
entangle,0,0,935,0,0,209,0,935,0.0,Nepali
eog,938,292,516,263,47,29,945,1746,53.72279495990836,Nepali Translation Team <chautari@gmail.com>
eom,734,0,997,183,0,144,706,1731,42.403235124205665,Nepali (http://www.transifex.com/mate/MATE/language/ne/)
epiphany,4071,0,0,887,0,0,3936,4071,100.0,Nepali <info@mpp.org.np>
evince,1004,0,0,292,0,0,987,1004,100.0,Nepali <info@mpp.org.np>
evolution,16250,3393,2676,3888,623,260,16174,22319,72.80792150185941,Nepali <info@mpp.org.np>
evolution-data-server,5047,0,0,1043,0,0,5333,5047,100.0,Nepali <info@mpp.org.np>
fcitx-table-other,2,0,22,2,0,20,2,24,8.333333333333332,Nepali (http://www.transifex.com/projects/p/fcitx/language/ne/)
file-roller,616,272,307,196,49,23,610,1195,51.54811715481171,Nepali Translation Team <chautari@gmail.com>
filezilla,3324,2418,3360,600,479,461,3481,9102,36.519446275543835,Nepali <info@mpp.org.np>
five-or-more,7325,0,0,1767,0,0,6678,7325,100.0,Nepali <info@mpp.org.np>
four-in-a-row,7325,0,0,1767,0,0,6678,7325,100.0,Nepali <info@mpp.org.np>
frozen-bubble,445,63,190,109,12,27,431,698,63.75358166189111,LANGUAGE <LL@li.org>
gcompris,10248,0,0,1193,0,0,8894,10248,100.0,Nepali <info@mpp.org.np>
gconf-editor,335,0,0,99,0,0,364,335,100.0,Nepali <info@mpp.org.np>
gcr,0,35,587,0,10,217,0,622,0.0,Nepali <info@mpp.org.np>
gdesklets,880,0,648,155,0,49,795,1528,57.59162303664922,Nepali <info@mpp.org.np>
gdk-pixbuf2,1061,236,51,158,39,5,1021,1348,78.70919881305637,Nepali <info@mpp.org.np>
gdm,479,40,131,75,5,7,413,650,73.6923076923077,Nepali Translation Team <chautari@gmail.com>
gedit,5095,0,0,1109,0,0,5048,5095,100.0,Nepali <info@mpp.org.np>
gedit-plugins,786,186,233,359,56,54,827,1205,65.22821576763485,Nepali <info@mpp.org.np>
genius,6307,0,0,852,0,0,5956,6307,100.0,Nepali <info@mpp.org.np>
gftp,3375,0,0,634,0,0,3259,3375,100.0,Nepali <info@mpp.org.np>
ggz-gtk-client,7,0,0,7,0,0,8,7,100.0,Nepali Gnome Team <info@mpp.org.np>
ghex,970,0,0,276,0,0,977,970,100.0,Nepali <info@mpp.org.np>
gimp,21091,4737,1139,5371,1467,183,20915,26967,78.21040531019395,Nepali <info@mpp.org.np>
gimp-gap,10509,0,0,1819,0,0,10906,10509,100.0,Nepali <info@mpp.org.np>
glade,195,2849,3406,128,1151,398,208,6450,3.0232558139534884,Nepali Translation Team <chautari@gmail.com>
glade2,5902,0,0,1311,0,0,5182,5902,100.0,Nepali <info@mpp.org.np>
glib2,1025,666,3086,151,127,469,987,4777,21.45698136906008,Nepali <info@mpp.org.np>
glom,2608,0,0,482,0,0,2370,2608,100.0,Nepali <info@mpp.org.np>
gmpc,97,0,1381,53,0,455,121,1478,6.562922868741543,Nepali <ne@li.org>
gnome-backgrounds,13,4,13,9,2,7,14,30,43.333333333333336,Nepali Translation Team <chatari@gmail.com>
gnome-bluetooth,15,144,150,13,67,22,18,309,4.854368932038835,Nepali Translation Team <chautari@gmail.com>
gnome-boxes,210,120,620,110,36,62,243,950,22.105263157894736,Nepali Translation Team <chautari@gmail.com>
gnome-calculator,357,286,694,205,116,107,347,1337,26.701570680628272,Nepali <info@mpp.org.np>
gnome-chess,7325,0,0,1767,0,0,6678,7325,100.0,Nepali <info@mpp.org.np>
gnome-clocks,129,19,75,59,5,13,130,223,57.847533632286996,Nepali Translation Team <chautari@gmail.com>
gnome-color-manager,200,466,1126,102,134,106,203,1792,11.160714285714286,Nepali Translation Team <chautari@gmail.com>
gnome-commander,1286,482,6128,449,206,768,1354,7896,16.286727456940223,Nepali <info@mpp.org.np>
gnome-contacts,333,0,72,151,0,4,333,405,82.22222222222221,Nepali Translation Team <chautari@gmail.com>
gnome-desktop,330,0,0,76,0,0,326,330,100.0,Nepali <info@mpp.org.np>
gnome-desktop3,330,0,0,76,0,0,326,330,100.0,Nepali <info@mpp.org.np>
gnome-dictionary,742,57,42,167,11,2,678,841,88.2282996432818,Nepali <info@mpp.org.np>
gnome-disk-utility,389,745,2289,196,229,207,411,3423,11.364300321355536,Nepali Translation Team <chautari@gmail.com>
gnome-do,27,0,585,12,0,132,33,612,4.411764705882353,Nepali <ne@li.org>
gnome-doc-utils,238,0,0,92,0,0,239,238,100.0,Nepali <info@mpp.org.np>
gnome-documents,238,77,145,114,20,17,262,460,51.73913043478261,Nepali Translation Team <chautari@gmail.com>
gnome-font-viewer,77,0,32,25,0,1,69,109,70.64220183486239,Nepali Translation Team <chautari@gmail.com>
gnome-icon-theme,43,0,0,38,0,0,42,43,100.0,Nepali <info@mpp.org.np>
gnome-initial-setup,100,84,401,47,20,36,95,585,17.094017094017094,Nepali Translation Team <chautari@gmail.com>
gnome-keyring,63,331,159,32,58,22,69,553,11.39240506329114,Nepali Translation Team <chautari@gmail.com>
gnome-klotski,7325,0,0,1767,0,0,6678,7325,100.0,Nepali <info@mpp.org.np>
gnome-logs,63,10,42,30,3,4,68,115,54.78260869565217,Nepali Translation Team <chautari@gmai.com>
gnome-mahjongg,7325,0,0,1767,0,0,6678,7325,100.0,Nepali <info@mpp.org.np>
