package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,136,0,0,33,0,0,192,136,100.0,"Gaelic, Scottish (http://www.transifex.com/wildfire-games/0ad/language/gd/)"
NetworkManager,1159,1159,8777,173,188,1253,1472,11095,10.446146913023885,Fòram na Gàidhlig
appcenter,0,0,681,0,0,147,0,681,0.0,LANGUAGE <LL@li.org>
at-spi2-core,10,0,0,2,0,0,12,10,100.0,Fòram na Gàidhlig
atk,440,0,0,169,0,0,477,440,100.0,Fòram na Gàidhlig
audience,0,0,106,0,0,48,0,106,0.0,
baobab,179,6,58,54,3,6,243,243,73.66255144032921,Fòram na Gàidhlig
blueberry,138,0,3,32,0,2,200,141,97.87234042553192,Fòram na Gàidhlig
brasero,5546,0,0,968,0,0,7062,5546,100.0,Fòram na Gàidhlig http://www.foramnagaidhlig.net
cinnamon-translations,15170,0,6197,3613,0,843,20961,21367,70.99733233490898,Fòram na Gàidhlig
control-center,5192,0,0,1501,0,0,6758,5192,100.0,Fòram na Gàidhlig
deja-dup,2011,0,0,327,0,0,2777,2011,100.0,Fòram na Gàidhlig
dialog,25,0,0,23,0,0,44,25,100.0,Scottish Gaelic <fios@foramnagaidhlig.net>
enigma,8927,90,14,960,5,4,10101,9031,98.848411028679,"Gaelic, Scottish (http://www.transifex.com/projects/p/enigma/language/gd/)"
eog,1675,0,0,323,0,0,2167,1675,100.0,Fòram na Gàidhlig
evince,1698,0,0,393,0,0,2163,1698,100.0,Fòram na Gàidhlig
file-roller,1198,0,0,270,0,0,1546,1198,100.0,Fòram na Gàidhlig
flare,3369,0,0,582,0,0,3990,3369,100.0,Fòram na Gàidhlig http://www.foramnagaidhlig.net
flare-engine,753,0,0,235,0,0,958,753,100.0,Fòram na Gàidhlig http://www.foramnagaidhlig.net
freeciv,68747,13039,16400,6760,910,465,86663,98186,70.01711038233557,Akerbeltz
gallery2,188,0,14,43,0,2,196,202,93.06930693069307,Afrikaans <gallery-translations@lists.sourceforge.net>
gcompris,17458,1,0,1959,1,0,20387,17459,99.99427229509136,Fòram na Gàidhlig
gdm,622,0,0,84,0,0,831,622,100.0,Fòram na Gàidhlig
gedit,4266,0,0,722,0,0,5990,4266,100.0,Fòram na Gàidhlig
gimp,14080,0,0,3335,0,0,18455,14080,100.0,Akerbeltz
glib-networking,157,0,0,28,0,0,207,157,100.0,Fòram na Gàidhlig
glib2,309,0,5417,107,0,782,389,5726,5.396437303527768,Fòram na Gàidhlig
gnome-backgrounds,30,0,0,18,0,0,27,30,100.0,Fòram na Gàidhlig
gnome-bluetooth,372,0,0,110,0,0,493,372,100.0,Fòram na Gàidhlig
gnome-calculator,1486,0,0,540,0,0,1710,1486,100.0,Fòram na Gàidhlig
gnome-calendar,424,0,0,138,0,0,573,424,100.0,Fòram na Gàidhlig
gnome-clocks,269,0,0,93,0,0,351,269,100.0,Fòram na Gàidhlig
gnome-color-manager,777,0,1016,133,0,210,929,1793,43.33519241494702,Fòram na Gàidhlig
gnome-contacts,433,0,0,157,0,0,620,433,100.0,Fòram na Gàidhlig
gnome-desktop3,146,0,0,23,0,0,198,146,100.0,Gaelic; Scottish <gd@li.org>
gnome-disk-utility,3533,0,0,652,0,0,4738,3533,100.0,Fòram na Gàidhlig
gnome-font-viewer,130,0,0,30,0,0,173,130,100.0,Fòram na Gàidhlig
gnome-icon-theme,4,0,0,2,0,0,4,4,100.0,Gaelic; Scottish <gd@li.org>
gnome-initial-setup,755,0,0,118,0,0,877,755,100.0,Fòram na Gàidhlig
gnome-keyring,553,0,0,112,0,0,772,553,100.0,Gaelic; Scottish <gd@li.org>
gnome-logs,216,0,0,68,0,0,251,216,100.0,Fòram na Gàidhlig
gnome-maps,972,0,0,238,0,0,1243,972,100.0,Fòram na Gàidhlig
gnome-menus,70,0,0,27,0,0,84,70,100.0,Gaelic; Scottish <gd@li.org>
gnome-music,310,0,210,92,0,1,491,520,59.61538461538461,Fòram na Gàidhlig
gnome-online-accounts,715,0,0,157,0,0,982,715,100.0,Fòram na Gàidhlig
gnome-photos,448,0,0,187,0,0,630,448,100.0,Fòram na Gàidhlig
gnome-power-manager,480,0,0,147,0,0,607,480,100.0,Fòram na Gàidhlig http://www.foramnagaidhlig.net
gnome-screenshot,455,0,0,78,0,0,592,455,100.0,Fòram na Gàidhlig
gnome-session,298,0,0,50,0,0,399,298,100.0,Fòram na Gàidhlig
gnome-settings-daemon,1206,0,0,281,0,0,1798,1206,100.0,Fòram na Gàidhlig
gnome-shell,1022,0,0,316,0,0,1556,1022,100.0,Fòram na Gàidhlig
gnome-shell-extensions,378,0,0,68,0,0,496,378,100.0,Fòram na Gàidhlig
gnome-software,2456,0,0,549,0,0,3283,2456,100.0,Fòram na Gàidhlig
gnome-system-monitor,1276,0,0,289,0,0,2003,1276,100.0,Fòram na Gàidhlig
gnome-terminal,2511,0,0,477,0,0,3180,2511,100.0,Fòram na Gàidhlig
gnome-themes-standard,15,0,0,6,0,0,18,15,100.0,Fòram na Gàidhlig
gnome-user-share,52,0,0,10,0,0,63,52,100.0,Fòram na Gàidhlig
gnome-weather,192,0,0,42,0,0,249,192,100.0,Fòram na Gàidhlig
gparted,2930,0,4944,551,0,291,3835,7874,37.21107442214884,Fòram na Gàidhlig http://www.foramnagaidhlig.net
gtk-vnc,8,0,0,3,0,0,12,8,100.0,Fòram na Gàidhlig http://www.foramnagaidhlig.net
gtk3,16008,0,0,3575,0,0,20215,16008,100.0,Fòram na Gàidhlig
isomaster,9,0,665,9,0,98,12,674,1.3353115727002967,http://littlesvr.ca/ostd/
kactivitymanagerd,9,0,0,4,0,0,9,9,100.0,Fòram na Gàidhlig
kf5-baloo,538,4,11,123,1,2,637,553,97.2875226039783,Fòram na Gàidhlig
kf5-kauth,39,34,0,5,3,0,48,73,53.42465753424658,Fòram na Gàidhlig
kf5-kbookmarks,218,0,12,48,0,1,285,230,94.78260869565217,Fòram na Gàidhlig
kf5-kcmutils,563,0,0,71,0,0,756,563,100.0,Fòram na Gàidhlig
kf5-kcodecs,348,0,0,53,0,0,410,348,100.0,Fòram na Gàidhlig
kf5-kcompletion,20,0,0,12,0,0,26,20,100.0,Fòram na Gàidhlig
kf5-kconfig,254,0,6,96,0,4,343,260,97.6923076923077,Fòram na Gàidhlig
kf5-kconfigwidgets,317,1,5,114,1,3,439,323,98.14241486068111,Fòram na Gàidhlig
kf5-kcoreaddons,242,19,30,73,7,15,255,291,83.16151202749141,Fòram na Gàidhlig
kf5-kdbusaddons,48,0,0,6,0,0,63,48,100.0,Fòram na Gàidhlig
kf5-kdeclarative,109,0,0,14,0,0,129,109,100.0,Fòram na Gàidhlig
kf5-kdelibs4support,4813,0,0,2364,0,0,6854,4813,100.0,Fòram na Gàidhlig
kf5-kdesignerplugin,54,0,0,9,0,0,72,54,100.0,Fòram na Gàidhlig
kf5-kdesu,19,0,0,7,0,0,20,19,100.0,Fòram na Gàidhlig
kf5-kdnssd,3,0,0,3,0,0,3,3,100.0,Fòram na Gàidhlig
kf5-kdoctools,8,0,0,4,0,0,18,8,100.0,Fòram na Gàidhlig
kf5-kfilemetadata,138,2,0,70,1,0,187,140,98.57142857142858,Fòram na Gàidhlig
kf5-kglobalaccel,71,0,0,9,0,0,76,71,100.0,Fòram na Gàidhlig
kf5-khtml,1721,0,0,310,0,0,2145,1721,100.0,Fòram na Gàidhlig
