package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,1300,4088,100.0,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager,178,1157,9760,35,293,1286,71,11095,1.6043262730959893,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-fortisslvpn,22,1,151,9,1,23,10,174,12.643678160919542,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-l2tp,106,19,658,31,5,94,54,783,13.537675606641125,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-libreswan,137,2,0,35,1,0,63,139,98.56115107913669,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-openconnect,54,5,3182,16,2,578,34,3241,1.666152422091947,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-openvpn,102,134,813,42,16,111,68,1049,9.723546234509056,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-pptp,144,0,0,44,0,0,74,144,100.0,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-sstp,144,0,0,44,0,0,74,144,100.0,Chinese (Hong Kong) <community@linuxhall.org>
NetworkManager-vpnc,156,0,0,41,0,0,80,156,100.0,Chinese (Hong Kong) <community@linuxhall.org>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/freedesktop/language/zh_HK/)
Thunar,4139,0,0,734,0,0,976,4139,100.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/xfce/language/zh_HK/)
abrt,0,0,3230,0,0,390,0,3230,0.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/fedora-abrt/language/zh_HK/)
accerciser,599,0,0,221,0,0,274,599,100.0,Chinese (Hong Kong) <community@linuxhall.org>
ailurus,4525,0,3320,660,0,528,1971,7845,57.680050987890375,none
aisleriot,3032,0,0,656,0,0,1340,3032,100.0,Chinese (Hong Kong) <community@linuxhall.org>
alacarte,31,0,0,12,0,0,12,31,100.0,Chinese (Hong Kong) <community@linuxhall.org>
anaconda,1160,23,5669,240,2,918,363,6852,16.929363689433742,Chinese (Hong Kong) (http://www.transifex.com/projects/p/anaconda/language/zh_HK/)
anjuta,8394,4,0,2056,4,0,2947,8398,99.95236961181234,Chinese (Hong Kong) <community@linuxhall.org>
appcenter,0,0,681,0,0,147,0,681,0.0,LANGUAGE <LL@li.org>
arduino,2,0,2564,2,0,460,2,2566,0.0779423226812159,Chinese (Hong Kong) (http://www.transifex.com/projects/p/arduino-ide-15/language/zh_HK/)
aria2,0,0,7318,0,0,394,0,7318,0.0,Chinese (Hong Kong) <zh_HK@li.org>
at-spi2-core,10,0,0,2,0,0,2,10,100.0,Chinese (Hong Kong) <community@linuxhall.org>
atk,440,0,0,169,0,0,186,440,100.0,Chinese (Hong Kong) <community@linuxhall.org>
atomix,146,0,0,59,0,0,71,146,100.0,Chinese (Hong Kong) <community@linuxhall.org>
atril,1341,0,383,344,0,53,484,1724,77.78422273781904,Chinese (Hong Kong) (http://www.transifex.com/mate/MATE/language/zh_HK/)
audience,1,0,181,1,0,61,6,182,0.5494505494505495,Chinese (Hong Kong) <zh_HK@li.org>
authconfig,0,0,1715,0,0,296,0,1715,0.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/fedora/language/zh_HK/)
balsa,5623,3,0,1341,1,0,2156,5626,99.94667614646285,Chinese (traditional) <community@linuxhall.org>
banshee,5958,0,0,1543,0,0,2366,5958,100.0,Chinese (Hong Kong) <community@linuxhall.org>
baobab,179,10,54,54,5,4,104,243,73.66255144032921,Chinese (Hong Kong) <community@linuxhall.org>
blivet-gui,0,0,699,0,0,187,0,699,0.0,Chinese (Hong Kong SAR China)
blueberry,50,0,91,20,0,14,21,141,35.46099290780142,Chinese (Hong Kong) <zh_HK@li.org>
blueman,1,0,1445,1,0,350,10,1446,0.06915629322268327,Chinese (Hong Kong) (http://www.transifex.com/projects/p/MATE/language/zh_HK/)
caja,7107,0,2206,1294,0,216,1665,9313,76.31268119832492,Chinese (Hong Kong) (http://www.transifex.com/mate/MATE/language/zh_HK/)
caja-actions,846,444,264,114,30,26,213,1554,54.440154440154444,Chinese (traditional) <community@linuxhall.org>
calibre,179,0,152085,58,0,17675,61,152264,0.11755897651447486,Chinese (Hong Kong) (http://www.transifex.com/calibre/calibre/language/zh_HK/)
caribou,171,0,0,57,0,0,67,171,100.0,Chinese (Hong Kong) <community@linuxhall.org>
certmonger,0,0,2478,0,0,415,0,2478,0.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/certmonger/language/zh_HK/)
cheese,630,0,0,121,0,0,154,630,100.0,Chinese (Hong Kong) <community@linuxhall.org>
cinnamon-desktop,231,0,0,31,0,0,111,231,100.0,Chinese (Hong Kong) <community@linuxhall.org>
cinnamon-translations,19154,0,3777,4334,0,413,6186,22931,83.52884741180063,Chinese (Hong Kong) <community@linuxhall.org>
cogl,378,0,0,76,0,0,141,378,100.0,Chinese (Hong Kong) <community@linuxhall.org>
compat-gtkhtml314,485,0,0,309,0,0,344,485,100.0,Chinese (Hong Kong) <community@linuxhall.org>
conduit,562,8,1,219,3,1,304,571,98.42381786339755,Chinese (Hong Kong) <community@linuxhall.org>
control-center,4946,0,0,1454,0,0,1843,4946,100.0,Chinese (Hong Kong) <community@linuxhall.org>
dasher,634,0,0,209,0,0,264,634,100.0,Chinese (Hong Kong) <community@linuxhall.org>
dconf-editor,193,0,0,32,0,0,74,193,100.0,Chinese (Hong Kong) <community@linuxhall.org>
deja-dup,793,0,1218,174,0,153,252,2011,39.43311785181502,Chinese (Hong Kong) <zh_HK@li.org>
deluge,565,0,2163,218,0,660,305,2728,20.711143695014663,Chinese (Hong Kong) <zh_HK@li.org>
devhelp,443,0,0,107,0,0,173,443,100.0,Chinese (Hong Kong) <community@linuxhall.org>
dia,5283,408,910,2008,178,173,2907,6601,80.03332828359339,Chinese (Hong Kong) <community@linuxhall.org>
dnf-plugin-system-upgrade,0,0,211,0,0,36,0,211,0.0,Chinese (Hong Kong SAR China)
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Chinese (Hong Kong SAR China)
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Chinese (Hong Kong SAR China)
ekiga,4468,11,0,739,4,0,1270,4479,99.75440946639876,Chinese (Hong Kong) <community@linuxhall.org>
emerald,631,44,18,202,7,10,251,693,91.05339105339105,Chinese (Hong Kong) <zh_HK@li.org>
empathy,517,0,0,188,0,0,296,517,100.0,Chinese (Hong Kong) <community@linuxhall.org>
engrampa,1237,0,703,270,0,84,442,1940,63.76288659793814,Chinese (Hong Kong) (http://www.transifex.com/mate/MATE/language/zh_HK/)
entangle,0,0,935,0,0,209,0,935,0.0,Chinese (Hong Kong SAR China)
eog,1746,0,0,339,0,0,485,1746,100.0,Chinese (Hong Kong) <community@linuxhall.org>
eog-plugins,23,0,0,7,0,0,10,23,100.0,Chinese (Hong Kong) <community@linuxhall.org>
eom,1467,0,250,297,0,21,417,1717,85.43972044263249,Chinese (Hong Kong) (http://www.transifex.com/mate/MATE/language/zh_HK/)
epiphany,2564,0,0,593,0,0,827,2564,100.0,Chinese (Hong Kong) <community@linuxhall.org>
evince,3437,0,0,567,0,0,895,3437,100.0,Chinese (Hong Kong) <community@linuxhall.org>
evolution,21278,0,0,4432,0,0,5911,21278,100.0,Chinese (Hong Kong) <community@linuxhall.org>
evolution-data-server,5406,0,0,1076,0,0,1974,5406,100.0,Chinese (Hong Kong) <community@linuxhall.org>
evolution-mapi,518,0,0,107,0,0,179,518,100.0,Chinese (Hong Kong) <community@linuxhall.org>
exo,1393,0,0,279,0,0,473,1393,100.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/xfce/language/zh_HK/)
feedreader,0,0,926,0,0,219,0,926,0.0,
five-or-more,276,0,0,59,0,0,98,276,100.0,Chinese (Hong Kong) <community@linuxhall.org>
folks,1003,0,0,123,0,0,257,1003,100.0,Chinese (Hong Kong) <community@linuxhall.org>
four-in-a-row,257,0,0,73,0,0,105,257,100.0,Chinese (Hong Kong) <community@linuxhall.org>
fprintd,0,0,419,0,0,57,0,419,0.0,Chinese (Hong Kong) (http://www.transifex.com/freedesktop/fprintd/language/zh_HK/)
frescobaldi,502,158,14893,286,78,1787,352,15553,3.227673117726484,Chinese (Hong Kong) <(nothing)>
fuse-encfs,525,9,755,77,1,59,207,1289,40.729247478665634,Chinese (Hong Kong) <zh_HK@li.org>
gala,0,0,683,0,0,77,0,683,0.0,
garcon,109,0,0,34,0,0,38,109,100.0,Chinese (Hong Kong) (http://www.transifex.com/projects/p/xfce/language/zh_HK/)
gbrainy,2214,292,3174,469,14,267,841,5680,38.978873239436616,Chinese (Hong Kong) <community@linuxhall.org>
gconf-editor,2834,0,0,238,0,0,413,2834,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gdesklets,887,0,641,156,0,48,266,1528,58.04973821989529,Chinese (traditional) <zh-l10n@linux.org.tw>
gdk-pixbuf2,1360,0,0,203,0,0,484,1360,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gdm,650,0,0,87,0,0,161,650,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gedit,9470,0,0,1118,0,0,1965,9470,100.0,LANGUAGE <LL@li.org>
gedit-plugins,6258,114,223,818,37,50,1841,6595,94.89006823351023,LANGUAGE <LL@li.org>
gettext,692,170,90,99,16,15,235,952,72.68907563025209,Chinese (Hong Kong) <community@linuxhall.org>
gftp,3096,230,49,560,70,4,1085,3375,91.73333333333333,Chinese (Hong Kong) <community@linuxhall.org>
ggz-base-libs,72,0,0,16,0,0,16,72,100.0,Chinese (Hong Kong) <community@linuxhall.org>
ggz-gtk-client,759,0,0,226,0,0,296,759,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gimagereader,1080,54,10,328,6,6,430,1144,94.4055944055944,Chinese <kde-i18n-doc@kde.org>
gimp,23186,2738,2345,6213,786,261,7707,28269,82.01917294562949,Chinese (Hong Kong) <community@linuxhall.org>
gitg,873,93,188,166,28,12,250,1154,75.64991334488734,Chinese (Hong Kong) <community@linuxhall.org>
glabels,2210,0,248,701,0,76,1004,2458,89.91049633848658,Chinese (Hong Kong) <community@linuxhall.org>
glade3,4210,34,75,1085,17,7,1586,4319,97.47626765454966,Chinese (Hong Kong) <community@linuxhall.org>
glib-networking,161,0,0,29,0,0,70,161,100.0,Chinese (Hong Kong) <community@linuxhall.org>
glib2,5679,0,0,881,0,0,1778,5679,100.0,Chinese (Hong Kong) <community@linuxhall.org>
glpi,4,0,11266,2,0,2950,2,11270,0.0354924578527063,Chinese (Hong Kong) (http://www.transifex.com/glpi/GLPI/language/zh_HK/)
gnome-backgrounds,30,0,0,18,0,0,19,30,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-bluetooth,308,0,0,102,0,0,132,308,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-boxes,946,0,0,207,0,0,333,946,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-calculator,2920,0,0,669,0,0,1024,2920,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-calendar,122,6,0,58,2,0,81,128,95.3125,Chinese (Hong Kong) <community@linuxhall.org>
gnome-chess,1265,0,0,215,0,0,535,1265,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-clocks,223,0,0,77,0,0,91,223,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-color-manager,1792,0,0,342,0,0,467,1792,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-contacts,405,0,0,155,0,0,207,405,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-desktop,438,0,0,61,0,0,173,438,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-desktop3,146,0,0,23,0,0,83,146,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-disk-utility,3423,0,0,632,0,0,980,3423,100.0,Chinese (Hong Kong) <community@linuxhall.org>
gnome-do,137,0,475,49,0,95,61,612,22.385620915032682,Chinese (Hong Kong) <zh_HK@li.org>
gnome-doc-utils,251,0,0,101,0,0,238,251,100.0,Chinese (Hong Kong) <community@linuxhall.org>
