package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4024,0,0,485,0,0,4139,4024,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
Thunar,3538,0,662,624,0,114,3554,4200,84.23809523809524,Bengali (https://www.transifex.com/xfce/teams/16840/bn/)
abrt,927,0,3042,128,0,348,1039,3969,23.356009070294785,Bengali (http://www.transifex.com/projects/p/fedora-abrt/language/bn/)
accerciser,535,0,0,205,0,0,633,535,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,1973,0,14,545,0,4,2071,1987,99.29542023150478,Bangla <ankur-bd-l10n@googlegroups.com>
alacarte,42,0,0,16,0,0,53,42,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
anaconda,233,16,6911,39,1,1161,252,7160,3.2541899441340782,Bengali (http://www.transifex.com/projects/p/anaconda/language/bn/)
appcenter,0,0,681,0,0,147,0,681,0.0,LANGUAGE <LL@li.org>
aria2,15,0,7432,3,0,394,18,7447,0.20142339196992076,Bengali <bn@li.org>
asunder,14,0,481,13,0,78,15,495,2.8282828282828283,http://littlesvr.ca/ostd/
atk,375,0,0,126,0,0,346,375,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
atomix,146,0,0,59,0,0,193,146,100.0,Bangla <gnome-translation@BengaLinux.Org>
atril,1173,0,551,302,0,95,1303,1724,68.03944315545245,Bengali (http://www.transifex.com/mate/MATE/language/bn/)
audacity,105,404,12459,84,186,2699,121,12968,0.809685379395435,Bangladeshi <makl10n@yahoo.com>
audience,0,0,106,0,0,48,0,106,0.0,
authconfig,805,40,84,120,4,13,893,929,86.65231431646933,Bengali (http://www.transifex.com/projects/p/fedora/language/bn/)
baobab,526,10,4,122,2,2,596,540,97.4074074074074,Bengali <ankur-bd-l10n@googlegroups.com>
bleachbit,36,0,936,20,0,199,42,972,3.7037037037037033,Bengali <bn@li.org>
blivet-gui,0,0,699,0,0,187,0,699,0.0,Bengali
blueberry,0,0,141,0,0,34,0,141,0.0,Bengali <bn@li.org>
brasero,5408,0,0,986,0,0,5606,5408,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
cairo-dock,432,0,7032,122,0,705,448,7464,5.787781350482315,Bengali <bn@li.org>
caja,7391,0,1922,1295,0,215,7753,9313,79.36218189627404,Bengali (http://www.transifex.com/mate/MATE/language/bn/)
caja-actions,846,444,264,114,30,26,854,1554,54.440154440154444,Bangla <gnome-translation@BengaLinux.Org>
calibre,329,0,156972,71,0,18029,305,157301,0.20915315223679443,Bengali (http://www.transifex.com/calibre/calibre/language/bn/)
ccsm,475,33,71,120,7,24,516,579,82.03799654576856,gist bengali team <info.gist@cdac.in>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Bengali (http://www.transifex.com/projects/p/certmonger/language/bn/)
cheese,651,0,0,120,0,0,671,651,100.0,Bengali <ankur-bd-l10n@googlegroups.com>
