package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
NetworkManager,0,250,11258,1,76,1634,0,11508,0.0,Walloon <linux-wa@walon.org>
ORBit,8,0,0,2,0,0,15,8,100.0,walon <linux-wa@chanae.alphanet.ch>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Walloon (http://www.transifex.com/projects/p/freedesktop/language/wa/)
accountsservice,0,0,59,0,0,10,0,59,0.0,Walloon (http://www.transifex.com/projects/p/freedesktop/language/wa/)
aisleriot,316,391,1280,103,143,303,376,1987,15.903371917463513,Walon <linux-wa@chanae.alphanet.ch>
appcenter,0,0,757,0,0,177,0,757,0.0,LANGUAGE <LL@li.org>
aspell,982,0,744,182,0,111,1182,1726,56.89455388180765,Walloon <linux-wa@walon.org>
asunder,11,0,484,11,0,80,13,495,2.2222222222222223,http://littlesvr.ca/ostd/
atk,142,2,231,64,2,60,188,375,37.86666666666667,Walloon <linux-wa@walon.org>
atomix,125,0,0,44,0,0,181,125,100.0,Walloon <linux-wa@walon.org>
atril,233,0,1559,98,0,315,280,1792,13.002232142857142,Walloon (https://www.transifex.com/mate/teams/13566/wa/)
audience,0,0,106,0,0,48,0,106,0.0,
balsa,2428,471,2739,800,143,406,3346,5638,43.064916637105355,Walloon <linux-wa@walon.org>
baobab,6,128,406,6,44,76,6,540,1.1111111111111112,Walon <linux-wa@chanae.alphanet.ch>
caja,896,0,8460,337,0,1180,1099,9356,9.576742197520307,Walloon (https://www.transifex.com/mate/teams/13566/wa/)
caja-extensions,6,0,564,5,0,126,8,570,1.0526315789473684,Walloon (https://www.transifex.com/mate/teams/13566/wa/)
calibre,277,0,157024,249,0,17851,286,157301,0.17609551115377522,Walloon (http://www.transifex.com/calibre/calibre/language/wa/)
calligra,12657,8526,14288,4116,2070,1429,15445,35471,35.68267035042711,Walloon <linux@walon.org>
calligraplan,1201,2657,5488,434,859,709,1633,9346,12.850417290819601,Walloon <linux@walon.org>
cinnamon-desktop,0,0,231,0,0,31,0,231,0.0,Walon <linux-wa@chanae.alphanet.ch>
cinnamon-translations,11,0,9364,5,0,2356,18,9375,0.11733333333333333,Walloon <wa@li.org>
control-center,273,470,2642,128,219,390,373,3385,8.064992614475628,Walon <linux-wa@chanae.alphanet.ch>
dialog,25,0,0,23,0,0,29,25,100.0,Walloon <linux-wa@walon.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
dnfdragora,216,0,553,155,0,161,267,769,28.088426527958386,Walloon (https://www.transifex.com/MageiaLinux/teams/9361/wa/)
dolphin,1328,147,93,449,50,18,1671,1568,84.6938775510204,Walloon <linux-wa@walon.org>
dragon,261,6,8,79,3,4,336,275,94.9090909090909,Walloon <linux-wa@walon.org>
ejabberd,1664,72,500,391,18,99,2199,2236,74.4186046511628,Pablo Saratxaga <pablo@walon.org>
ekiga,1564,0,1360,369,0,121,2028,2924,53.48837209302325,Walon <linux-wa@chanae.alphanet.ch>
elementary-calculator,0,0,53,0,0,32,0,53,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,Walloon <wa@li.org>
elementary-capnet-assist,0,0,66,0,0,10,0,66,0.0,none
elementary-screenshot-tool,0,0,132,0,0,43,0,132,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
engrampa,61,0,1884,37,0,317,87,1945,3.1362467866323906,Walloon (https://www.transifex.com/mate/teams/13566/wa/)
eog,819,0,0,190,0,0,1091,819,100.0,Walloon <linux-wa@walon.org>
eom,413,0,1304,114,0,204,558,1717,24.05358182877111,Walloon (https://www.transifex.com/mate/teams/13566/wa/)
epiphany,1137,0,1595,528,0,237,1371,2732,41.61786237188873,Walloon <linux-wa@walon.org>
evince,601,0,0,149,0,0,800,601,100.0,Walloon <linux-wa@walon.org>
evolution,826,2150,14226,621,951,2708,907,17202,4.801767236367864,Walloon <linux-wa@walon.org>
evolution-data-server,866,1199,15005,651,554,2928,953,17070,5.073227885178675,Walloon <linux-wa@walon.org>
five-or-more,648,924,5494,261,389,1048,785,7066,9.170676478913105,Walon <linux-wa@chanae.alphanet.ch>
four-in-a-row,648,924,5494,261,389,1048,785,7066,9.170676478913105,Walon <linux-wa@chanae.alphanet.ch>
fprintd,0,0,419,0,0,57,0,419,0.0,Walloon (http://www.transifex.com/freedesktop/fprintd/language/wa/)
gcompris,118,0,3803,86,0,517,139,3921,3.0094363682733998,Walloon <linux-wa@walon.org>
gdk-pixbuf2,910,181,257,134,32,36,1377,1348,67.50741839762611,Walloon <linux-wa@walon.org>
gdm,8,74,568,3,16,68,17,650,1.2307692307692308,walon <linux-wa@chanae.alphanet.ch>
gedit,2030,511,1665,501,128,391,2528,4206,48.264384213029004,Walloon <linux-wa@walon.org>
gedit-plugins,127,204,874,68,82,319,171,1205,10.53941908713693,Walloon <linux-wa@walon.org>
ggz-gtk-client,5,0,0,5,0,0,5,5,100.0,Walon <linux-wa@chanae.alphanet.ch>
ghex,966,0,0,275,0,0,1268,966,100.0,Walloon <linux-wa@walon.org>
glib2,281,657,3839,68,123,556,386,4777,5.88235294117647,Walloon <linux-wa@walon.org>
