package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
DivFix++,551,0,0,104,0,0,540,551,100.0,Ariel Nemtzov <reldude84 gmail.com>
GConf2,4088,0,0,497,0,0,4087,4088,100.0,he
NetworkManager,0,27,21370,0,3,1906,0,21397,0.0,he
NetworkManager-fortisslvpn,22,1,151,9,1,23,23,174,12.643678160919542,he
NetworkManager-l2tp,111,0,799,33,0,97,112,910,12.197802197802197,he
NetworkManager-openconnect,54,5,3182,16,2,578,64,3241,1.666152422091947,Hebrew <sh.yaron@gmail.com>
NetworkManager-openvpn,82,31,936,29,14,126,87,1049,7.816968541468065,Hebrew <sh.yaron@gmail.com>
NetworkManager-pptp,144,0,0,44,0,0,149,144,100.0,he
NetworkManager-ssh,64,3,219,22,2,45,55,286,22.377622377622377,Hebrew <malkodan@gmail.com>
NetworkManager-sstp,144,0,0,44,0,0,149,144,100.0,he
NetworkManager-vpnc,156,0,0,41,0,0,162,156,100.0,Hebrew <sh.yaron@gmail.com>
PackageKit,894,0,384,243,0,77,847,1278,69.95305164319248,Hebrew (http://www.transifex.com/freedesktop/packagekit/language/he/)
Thunar,4201,0,0,739,0,0,3764,4201,100.0,Hebrew (https://www.transifex.com/xfce/teams/16840/he/)
Zim,1931,0,884,512,0,178,1799,2815,68.59680284191829,Hebrew <he@li.org>
abrt,407,0,3562,47,0,429,376,3969,10.254472159234064,Hebrew (http://www.transifex.com/projects/p/fedora-abrt/language/he/)
accerciser,599,0,0,221,0,0,594,599,100.0,Hebrew <he@li.org>
accountsservice,0,0,59,0,0,10,0,59,0.0,Hebrew (http://www.transifex.com/projects/p/freedesktop/language/he/)
agenda,2,0,41,1,0,12,2,43,4.651162790697675,Hebrew <he@li.org>
ailurus,151,0,7435,46,0,1241,157,7586,1.9905088320590563,none
aisleriot,1754,41,112,498,10,21,1535,1907,91.976927110645,Gezer (Hebrew)
akonadi-calendar-tools,0,51,489,0,9,101,0,540,0.0,Hebrew <kde-l10n-he@kde.org>
akregator,871,467,436,227,117,87,854,1774,49.09808342728297,Hebrew <kde-i18n-doc@kde.org>
alacarte,31,0,0,12,0,0,31,31,100.0,he <he@bla.bla>
anaconda,6971,2,578,1173,2,80,6263,7551,92.31889815918422,Hebrew (http://www.transifex.com/projects/p/anaconda/language/he/)
anjuta,3238,1095,3464,1211,288,622,3098,7797,41.528793125561116,he
appcenter,765,0,0,181,0,0,700,765,100.0,Hebrew <https://weblate.elementary.io/projects/appcenter/appcenter/he/>
arduino,1983,0,1110,405,0,185,1839,3093,64.11251212415131,Hebrew (http://www.transifex.com/mbanzi/arduino-ide-15/language/he/)
aria2,500,0,6986,86,0,313,442,7486,6.6791343841838104,Hebrew <he@li.org>
ark,822,165,863,196,41,98,733,1850,44.432432432432435,Hebrew <kde-i18n-doc@kde.org>
asunder,429,27,39,78,3,10,456,495,86.66666666666667,Rahut <genghiskhan@gmx.ca>
at-spi2-core,10,0,0,2,0,0,10,10,100.0,Gezer (Hebrew)
atk,440,0,0,169,0,0,441,440,100.0,עברית <>
atomix,208,0,0,60,0,0,207,208,100.0,עברית <>
atril,1484,0,2347,393,0,242,1350,3831,38.73662229182981,Hebrew (https://www.transifex.com/mate/teams/13566/he/)
audacious,257,0,503,160,0,166,274,760,33.81578947368421,Hebrew (http://www.transifex.com/audacious/audacious/language/he/)
audacity,2791,4646,9200,820,1399,1578,2701,16637,16.775861032638094,Heb
audience,106,0,0,48,0,0,120,106,100.0,Hebrew <https://l10n.elementary.io/projects/videos/videos/he/>
authconfig,0,0,929,0,0,137,0,929,0.0,Hebrew (http://www.transifex.com/projects/p/fedora/language/he/)
avahi,332,2,534,103,2,63,318,868,38.24884792626728,Hebrew (http://www.transifex.com/lennart/avahi/language/he/)
avogadro,806,0,5801,402,0,1970,911,6607,12.199182685031028,Hebrew <he@li.org>
avogadro2,125,63,274,77,23,49,184,462,27.056277056277057,Hebrew <he@li.org>
avogadro2-libs,123,49,2477,119,23,686,194,2649,4.64326160815402,Hebrew <he@li.org>
backintime,489,0,1494,156,0,180,460,1983,24.659606656580937,Hebrew <he@li.org>
baloo-widgets,37,0,5,21,0,4,39,42,88.09523809523809,Hebrew
balsa,3311,1325,712,836,339,112,3330,5348,61.910994764397905,Hebrew <he@li.org>
banshee,5792,0,0,1515,0,0,5639,5792,100.0,Gezer (Hebrew)
baobab,243,0,0,63,0,0,264,243,100.0,עברית <>
bijiben,309,0,0,103,0,0,304,309,100.0,עברית <>
bleachbit,1260,0,0,267,0,0,1166,1260,100.0,Hebrew <he@li.org>
blender,588,0,0,307,0,0,517,588,100.0,LANGUAGE <LL@li.org>
blinken,127,5,1,43,3,1,136,133,95.48872180451127,hebrew <kde-l10n-he@kde.org>
blivet-gui,163,1,651,77,1,145,168,815,20.0,Hebrew
blueberry,59,0,82,17,0,17,52,141,41.843971631205676,Hebrew <he@li.org>
bluedevil,552,4,17,185,2,4,488,573,96.33507853403141,Hebrew <kde-i18n-doc@kde.org>
blueman,13,0,1371,12,0,330,16,1384,0.9393063583815029,Hebrew (http://www.transifex.com/mate/MATE/language/he/)
boinc-client,15871,0,4460,3029,0,370,14403,20331,78.06305641631008,Hebrew (http://www.transifex.com/boinc/boinc/language/he/)
bomber,41,0,62,12,0,15,38,103,39.80582524271845,Hebrew <kde-i18n-doc@kde.org>
boost,17,0,2,10,0,1,30,19,89.47368421052632,
brasero,5546,0,0,968,0,0,4911,5546,100.0,עברית <>
bzr,0,0,33099,0,0,2340,0,33099,0.0,Hebrew <he@li.org>
cairo-dock,2247,0,5217,397,0,430,1738,7464,30.104501607717044,Hebrew <he@li.org>
cairo-dock-plug-ins,1169,0,9034,296,0,1426,1004,10203,11.457414485935509,Hebrew <he@li.org>
caja,7865,0,1491,1397,0,120,7007,9356,84.06370243693885,Hebrew (https://www.transifex.com/mate/teams/13566/he/)
caja-actions,2552,0,2334,342,0,80,2361,4886,52.23086369218174,he
caja-extensions,281,0,289,75,0,56,280,570,49.29824561403508,Hebrew (https://www.transifex.com/mate/teams/13566/he/)
calamares,443,0,0,84,0,0,490,443,100.0,Hebrew (https://www.transifex.com/calamares/teams/20061/he/)
calibre,22505,0,136255,4287,0,13947,19626,158760,14.175485008818342,Hebrew (http://www.transifex.com/calibre/calibre/language/he/)
california,972,18,0,312,3,0,1029,990,98.18181818181819,עברית <>
calligra,12775,7986,9238,2925,1984,1121,11557,29999,42.58475282509417,Hebrew <kde-l10n-he@kde.org>
caribou,171,0,0,57,0,0,161,171,100.0,Gezer <sh.yaron@gmail.com>
ccsm,549,5,25,135,3,13,495,579,94.81865284974094,Hebrew <he@li.org>
ceph,17,0,2,10,0,1,30,19,89.47368421052632,
certmonger,0,0,2831,0,0,473,0,2831,0.0,Hebrew (http://www.transifex.com/projects/p/certmonger/language/he/)
cervisia,1063,305,186,289,66,50,945,1554,68.4041184041184,hebrew <kde-l10n-he@kde.org>
cheese,614,0,0,123,0,0,608,614,100.0,עברית <>
chkconfig,0,0,513,0,0,96,0,513,0.0,Hebrew <he-users@lists.fedoraproject.org>
cinnamon-control-center,504,50,759,504,31,221,515,1313,38.38537699923839,Hebrew
cinnamon-desktop,234,0,0,32,0,0,236,234,100.0,Hebrew <he@li.org>
cinnamon-translations,12942,0,9531,3055,0,1976,11614,22473,57.58910692831398,Hebrew <he@li.org>
clamtk,472,0,0,141,0,0,460,472,100.0,Hebrew <he@li.org>
clementine,4045,0,1046,1149,0,203,3874,5091,79.45393832252996,Hebrew (http://www.transifex.com/davidsansome/clementine/language/he/)
clutter,3057,0,0,675,0,0,3057,3057,100.0,עברית <>
cogl,378,0,0,76,0,0,378,378,100.0,Hebrew <sh.yaron@gmail.com>
colord,162,0,1824,38,0,214,135,1986,8.157099697885197,Hebrew (http://www.transifex.com/freedesktop/colord/language/he/)
compat-gtkhtml314,485,0,0,309,0,0,499,485,100.0,Hebrew <he@li.org>
compat-tracker1,112,87,2948,54,24,449,111,3147,3.558945027009851,Gezer <sh.yaron@gmail.com>
compiz,3140,953,292,693,137,49,2943,4385,71.60775370581528,Hebrew <opensuse-translation@opensuse.org>
compiz-plugins-experimental,1729,1221,1531,365,342,190,1642,4481,38.58513724615042,Hebrew <he@li.org
compiz-plugins-extra,3343,253,82,677,40,11,3008,3678,90.89178901576945,Hebrew <he@li.org>
compiz-plugins-main,4123,44,51,793,9,9,3887,4218,97.74774774774775,Hebrew <he@li.org>
console-setup,985,0,0,175,0,0,847,985,100.0,Hebrew <debian-hebrew-common@lists.alioth.debian.org>
dasher,649,0,0,210,0,0,629,649,100.0,Hebrew <he@li.org>
dconf-editor,1228,152,0,177,6,0,1197,1380,88.98550724637681,עברית <>
debconf,762,38,60,86,4,4,680,860,88.60465116279069,Hebrew
decibel-audio-player,1401,0,93,210,0,27,1206,1494,93.77510040160642,Hebrew <he@li.org>
deepin-daemon,688,0,629,317,0,103,729,1317,52.23993925588458,Hebrew (http://www.transifex.com/linuxdeepin/deepin-desktop-environment/language/he/)
deepin-metacity,2196,0,0,313,0,0,2194,2196,100.0,עברית <>
deepin-mutter,814,0,0,125,0,0,774,814,100.0,עברית <>
deepin-qml-widgets,18,0,0,13,0,0,17,18,100.0,Hebrew (http://www.transifex.com/projects/p/deepin-qml-widgets/language/he/)
deepin-terminal,135,0,274,73,0,91,139,409,33.007334963325185,Hebrew (https://www.transifex.com/linuxdeepin/teams/3976/he/)
deepin-wm,0,0,732,0,0,89,0,732,0.0,LANGUAGE <LL@li.org>
deja-dup,1353,0,2858,246,0,253,1297,4211,32.13013535977203,Hebrew <he@li.org>
deluge,1682,0,1046,715,0,163,1612,2728,61.65689149560117,Hebrew <he@li.org>
devhelp,481,0,0,124,0,0,487,481,100.0,עברית <>
diffutils,318,1094,474,73,129,64,351,1886,16.861081654294804,Hebrew <eliz@gnu.org>
digikam,3397,10529,28544,1262,2908,2503,3360,42470,7.998587238050389,American English <kde-i18n-he@kde.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
dnf,104,0,3047,55,0,600,114,3151,3.300539511266265,Hebrew (http://www.transifex.com/projects/p/dnf/language/he/)
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Hebrew
dnfdragora,177,0,682,124,0,240,187,859,20.60535506402794,Hebrew (https://www.transifex.com/MageiaLinux/teams/9361/he/)
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Hebrew
dolphin,1401,77,118,452,34,27,1390,1596,87.78195488721805,Hebrew <kde-i18n-doc@kde.org>
dragon,141,10,127,55,5,27,139,278,50.719424460431654,hebrew <kde-l10n-he@kde.org>
duplicity,38,0,4340,8,0,610,36,4378,0.8679762448606669,Hebrew <he@li.org>
easystroke,385,0,85,124,0,13,370,470,81.91489361702128,Hebrew <he@li.org>
easytag,2519,947,2044,695,197,149,2437,5510,45.71687840290381,Hebrew <he@li.org>
