package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,212,0,0,44,0,0,205,212,100.0,Hungarian (http://www.transifex.com/wildfire-games/0ad/language/hu/)
DivFix++,551,0,0,104,0,0,519,551,100.0,DirektX <DirektX at freemail dot hu>
GConf2,4088,0,0,497,0,0,4032,4088,100.0,Magyar <gnome-hu-list at gnome dot org>
LabPlot,16,13,6959,9,6,2069,16,6988,0.22896393817973668,Hungarian <kde-l10n-hu@kde.org>
NetworkManager,1719,2872,16806,338,530,1041,1689,21397,8.033836519138198,Hungarian <gnome-hu-list at gnome dot org>
NetworkManager-fortisslvpn,314,0,0,56,0,0,286,314,100.0,Hungarian <openscope at gmail dot com>
NetworkManager-iodine,79,0,0,24,0,0,72,79,100.0,Hungarian <openscope at googlegroups dot com>
NetworkManager-l2tp,390,0,515,74,0,54,373,905,43.0939226519337,Hungarian <openscope at gmail dot com>
NetworkManager-libreswan,137,0,0,35,0,0,124,137,100.0,Hungarian <openscope at gmail dot com>
NetworkManager-openconnect,5555,0,0,969,0,0,5922,5555,100.0,Hungarian <openscope at googlegroups dot com>
NetworkManager-openvpn,1768,0,0,249,0,0,1634,1768,100.0,Hungarian <openscope at googlegroups dot com>
NetworkManager-pptp,509,0,0,84,0,0,476,509,100.0,Hungarian <openscope at gmail dot com>
NetworkManager-ssh,115,87,84,29,22,18,106,286,40.20979020979021,Hungarian <gnome at fsf dot hu>
NetworkManager-sstp,424,0,0,77,0,0,391,424,100.0,Hungarian <openscope at googlegroups dot com>
NetworkManager-vpnc,606,0,0,101,0,0,553,606,100.0,Hungarian <openscope at gmail dot com>
PackageKit,1240,0,38,311,0,9,1075,1278,97.0266040688576,Hungarian (http://www.transifex.com/freedesktop/packagekit/language/hu/)
Thunar,4201,0,0,739,0,0,3395,4201,100.0,Hungarian (https://www.transifex.com/xfce/teams/16840/hu/)
WindowMaker,4981,0,0,1005,0,0,4823,4981,100.0,Hungarian
Zim,2815,0,0,690,0,0,2605,2815,100.0,Zim <msv@titok.info>
abrt,3969,0,0,476,0,0,3981,3969,100.0,Hungarian (http://www.transifex.com/projects/p/fedora-abrt/language/hu/)
accerciser,659,0,0,224,0,0,592,659,100.0,Hungarian <gnome-hu-list at gnome dot org>
accountsservice,59,0,0,10,0,0,50,59,100.0,Hungarian <openscope@googlegroups.com>
aeskulap,70,9,234,49,3,78,72,313,22.364217252396166,<de@li.org>
ailurus,382,0,7896,141,0,1112,351,8278,4.614641217685431,none
aisleriot,3340,0,20417,731,0,871,2902,23757,14.059014185292757,Hungarian <gnome-hu-list@gnome.org>
akonadi-calendar-tools,724,57,61,161,5,7,705,842,85.98574821852732,Hungarian <kde-l10n-hu@kde.org>
akonadi-import-wizard,255,55,81,63,12,8,248,391,65.21739130434783,Hungarian <kde-l10n-hu@kde.org>
akregator,1427,172,175,353,47,31,1306,1774,80.43968432919955,Hungarian <kde-l10n-hu@kde.org>
