package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
NetworkManager-fortisslvpn,297,0,0,52,0,0,340,297,100.0,Friulian <fur@li.org>
NetworkManager-l2tp,325,0,581,59,0,77,377,906,35.8719646799117,Friulian <fur@li.org>
NetworkManager-libreswan,240,0,0,45,0,0,284,240,100.0,Friulian <fur@li.org>
NetworkManager-pptp,509,0,0,84,0,0,581,509,100.0,Friulian <fur@li.org>
NetworkManager-sstp,509,0,0,84,0,0,581,509,100.0,Friulian <fur@li.org>
NetworkManager-vpnc,606,0,0,101,0,0,688,606,100.0,Friulian <fur@li.org>
abattis-cantarell-fonts,27,0,0,3,0,0,32,27,100.0,Friulian <fur@li.org>
abrt,997,0,2972,143,0,333,1210,3969,25.119677500629884,Friulian
aisleriot,3075,0,0,679,0,0,3128,3075,100.0,Friulian <fur@li.org>
alacarte,42,0,0,16,0,0,44,42,100.0,FRIULIAN <massimo.furlani@libero.it>
amtk,11,0,0,3,0,0,12,11,100.0,Friulian <fur@li.org>
anaconda,6519,0,1321,1115,0,173,7516,7840,83.15051020408163,Friulian
anjuta,1573,0,6834,521,0,1541,1742,8407,18.710598310931367,Friulian <f.t.public@gmail.com>
at-spi2-core,10,0,0,2,0,0,10,10,100.0,Friulian <fur@li.org>
atk,440,0,0,169,0,0,517,440,100.0,Friulian <fur@li.org>
atomix,208,0,0,60,0,0,229,208,100.0,Friulian <fur@li.org>
atril,125,0,3717,71,0,568,164,3842,3.2535137948984905,Friulian (https://www.transifex.com/mate/teams/13566/fur/)
baobab,247,0,0,65,0,0,279,247,100.0,Friulian <f.t.public@gmail.com>
bijiben,425,0,0,139,0,0,476,425,100.0,Friulian <fur@li.org>
blivet-gui,749,0,66,215,0,8,887,815,91.90184049079755,Friulian
brasero,5549,0,0,969,0,0,5917,5549,100.0,Friulian <f.t.public@gmail.com>
caja,2354,0,7166,643,0,924,2582,9520,24.726890756302524,Friulian (https://www.transifex.com/mate/teams/13566/fur/)
caja-extensions,6,0,578,5,0,130,8,584,1.0273972602739725,Friulian (https://www.transifex.com/mate/teams/13566/fur/)
calibre,45,0,158957,10,0,18238,48,159002,0.02830153079835474,Friulian (http://www.transifex.com/calibre/calibre/language/fur/)
caribou,169,0,0,57,0,0,201,169,100.0,Friulian <fur@li.org>
cheese,614,0,0,123,0,0,662,614,100.0,Friulian <fur@li.org>
cinnamon-desktop,207,0,24,23,0,8,241,231,89.6103896103896,Friulian <massimo.furlani@libero.it>
cinnamon-translations,20,0,6742,8,0,1660,21,6762,0.29577048210588586,Friulian <fur@li.org>
clutter,587,0,2470,174,0,501,622,3057,19.20183186130193,Friulian <fur@li.org>
colord,753,0,1237,179,0,74,888,1990,37.8391959798995,Friulian (http://www.transifex.com/freedesktop/colord/language/fur/)
d-feet,109,0,0,36,0,0,127,109,100.0,Friulian <fur@li.org>
dconf-editor,2579,0,0,294,0,0,3082,2579,100.0,Friulian <f.t.public@gmail.com>
deepin-mutter,446,0,368,94,0,31,545,814,54.791154791154796,Friulian <fur@li.org>
deepin-terminal,31,0,0,5,0,0,41,31,100.0,Friulian <fur@li.org>
devhelp,383,0,0,95,0,0,452,383,100.0,Friulian <fur@li.org>
dialog,25,0,0,23,0,0,26,25,100.0,Friulian <f.t.public@gmail.com>
dnf,2555,8,1155,551,2,198,3169,3718,68.71974179666486,Friulian
empathy,4213,0,0,950,0,0,4843,4213,100.0,Friulian <fur@li.org>
engrampa,975,0,1040,227,0,153,1121,2015,48.38709677419355,Friulian (https://www.transifex.com/mate/teams/13566/fur/)
eog,1675,0,0,327,0,0,1946,1675,100.0,Friulian <f.t.public@gmail.com>
eog-plugins,416,0,0,101,0,0,493,416,100.0,Friulian <fur@li.org>
eom,897,0,4280,223,0,337,1063,5177,17.32663704848368,Friulian (https://www.transifex.com/mate/teams/13566/fur/)
epiphany,3876,0,0,717,0,0,4523,3876,100.0,Friulian <f.t.public@gmail.com>
evince,1650,0,0,410,0,0,1937,1650,100.0,Friulian <f.t.public@gmail.com>
evolution,27064,0,0,5454,0,0,31135,27064,100.0,Friulian <f.t.public@gmail.com>
evolution-data-server,7493,0,0,1449,0,0,9156,7493,100.0,Friulian <f.t.public@gmail.com>
file-roller,1201,0,0,275,0,0,1381,1201,100.0,Friulian <f.t.public@gmail.com>
five-or-more,274,0,0,61,0,0,281,274,100.0,Friulian <fur@li.org>
folks,1056,0,0,130,0,0,1319,1056,100.0,Friulian <fur@li.org>
four-in-a-row,257,0,0,74,0,0,297,257,100.0,Friulian <fur@li.org>
fprintd,419,0,0,57,0,0,577,419,100.0,Friulian (http://www.transifex.com/freedesktop/fprintd/language/fur/)
freedink-dfarc,773,0,0,134,0,0,882,773,100.0,Friulian <f.t.public@gmail.com>
fwupd,650,0,0,158,0,0,856,650,100.0,Friulian (http://www.transifex.com/freedesktop/fwupd/language/fur/)
gcab,162,0,0,34,0,0,198,162,100.0,Friulian <fur@li.org>
gcr,704,0,0,255,0,0,789,704,100.0,Friulian <fur@li.org>
gdk-pixbuf2,1415,0,0,212,0,0,1851,1415,100.0,Friulian <f.t.public@gmail.com>
gdm,629,0,0,88,0,0,764,629,100.0,FRIULIAN <massimo.furlani@libero.it>
gedit,4275,0,0,723,0,0,4909,4275,100.0,Friulian <f.t.public@gmail.com>
gedit-plugins,605,0,323,107,0,54,697,928,65.19396551724138,Friulian <fur@li.org>
gitg,650,0,1384,167,0,198,745,2034,31.9567354965585,Friulian <fur@li.org>
glade,2365,45,4479,613,8,1128,2685,6889,34.3300914501379,Friulian <f.t.public@gmail.com>
glib-networking,258,0,0,39,0,0,339,258,100.0,Friulian <fur@li.org>
glib2,3074,38,3994,627,5,507,3757,7106,43.259217562623135,Friulian <fur@li.org>
gnome-2048,301,0,0,48,0,0,358,301,100.0,Friulian <fur@li.org>
gnome-abrt,397,0,0,73,0,0,471,397,100.0,Friulian
gnome-backgrounds,31,0,0,16,0,0,38,31,100.0,Friulian <massimo.furlani@libero.it>
gnome-bluetooth,50,0,0,18,0,0,49,50,100.0,Friulian <fur@li.org>
gnome-boxes,1282,0,0,294,0,0,1506,1282,100.0,Friulian <fur@li.org>
gnome-builder,1069,198,2826,426,57,559,1240,4093,26.117762032738824,Friulian <fur@li.org>
gnome-calculator,1602,0,0,581,0,0,1789,1602,100.0,Friulian <fur@li.org>
gnome-calendar,669,0,0,220,0,0,752,669,100.0,Friulian <fur@li.org>
gnome-characters,186,0,0,58,0,0,214,186,100.0,Friulian <fur@li.org>
gnome-chess,1412,0,0,239,0,0,1687,1412,100.0,Friulian <fur@li.org>
gnome-clocks,283,0,0,100,0,0,308,283,100.0,Friulian <fur@li.org>
gnome-color-manager,1796,0,0,345,0,0,2031,1796,100.0,Friulian <f.t.public@gmail.com>
gnome-contacts,586,0,0,166,0,0,638,586,100.0,Friulian <fur@li.org>
gnome-control-center,5528,0,0,1572,0,0,6281,5528,100.0,Friulian <f.t.public@gmail.com>
gnome-desktop,288,0,0,70,0,0,367,288,100.0,Friulian <massimo.furlani@libero.it>
gnome-desktop3,152,0,0,27,0,0,172,152,100.0,Friulian <massimo.furlani@libero.it>
gnome-dictionary,664,0,0,141,0,0,748,664,100.0,Friulian <f.t.public@gmail.com>
gnome-directory-thumbnailer,85,0,0,12,0,0,107,85,100.0,Friulian <fur@li.org>
gnome-disk-utility,3887,0,0,727,0,0,4555,3887,100.0,Friulian <f.t.public@gmail.com>
gnome-documents,655,0,0,208,0,0,712,655,100.0,Friulian <fur@li.org>
gnome-font-viewer,284,0,186,104,0,78,316,470,60.42553191489362,Friulian <fur@li.org>
gnome-icon-theme,43,0,0,38,0,0,44,43,100.0,FRIULIAN <massimo.furlani@libero.it>
gnome-initial-setup,848,0,0,122,0,0,980,848,100.0,Friulian <fur@li.org>
gnome-keyring,509,0,0,103,0,0,549,509,100.0,Friulian <fur@li.org>
gnome-klotski,194,0,0,59,0,0,211,194,100.0,Friulian <fur@li.org>
gnome-logs,378,0,0,124,0,0,403,378,100.0,Friulian <fur@li.org>
gnome-mahjongg,304,0,0,63,0,0,328,304,100.0,Friulian <fur@li.org>
gnome-maps,1236,0,0,315,0,0,1393,1236,100.0,Friulian <fur@li.org>
gnome-menus,99,4,0,38,1,0,112,103,96.11650485436894,FRIULIAN <massimo.furlani@libero.it>
gnome-mines,344,0,0,72,0,0,360,344,100.0,Friulian <fur@li.org>
gnome-multi-writer,387,0,0,60,0,0,461,387,100.0,Friulian <fur@li.org>
gnome-music,555,0,0,117,0,0,633,555,100.0,Friulian <fur@li.org>
gnome-nibbles,447,0,0,110,0,0,490,447,100.0,Friulian <fur@li.org>
gnome-online-accounts,693,0,0,155,0,0,848,693,100.0,Friulian <f.t.public@gmail.com>
gnome-packagekit,3500,0,0,553,0,0,4086,3500,100.0,Friulian <fur@li.org>
gnome-photos,1007,0,6,262,0,1,1101,1013,99.40769990128332,Friulian <fur@li.org>
gnome-power-manager,489,0,0,151,0,0,554,489,100.0,Friulian <fur@li.org>
gnome-robots,597,0,0,97,0,0,646,597,100.0,Friulian <fur@li.org>
gnome-screenshot,457,0,0,80,0,0,535,457,100.0,Friulian <fur@li.org>
gnome-session,364,0,0,58,0,0,420,364,100.0,Friulian <massimo.furlani@libero.it>
gnome-settings-daemon,2549,0,0,371,0,0,3148,2549,100.0,Friulian <fur@li.org>
gnome-shell,1841,0,0,425,0,0,2171,1841,100.0,Friulian <fur@li.org>
gnome-shell-extensions,388,0,0,70,0,0,487,388,100.0,Friulian <fur@li.org>
