package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4004,0,0,477,0,0,2148,4004,100.0,Dzongkha <pgeyleg@dit.gov.bt>
NetworkManager,2,733,23055,2,197,1837,2,23790,0.008406893652795292,Dzongkha <pgeyleg@dit.gov.bt>
NetworkManager-libreswan,328,0,0,52,0,0,121,328,100.0,Dzongkha <pgeyleg@dit.gov.bt>
NetworkManager-openvpn,31,94,924,9,36,124,10,1049,2.9551954242135365,Dzongkha <pgeyleg@dit.gov.bt>
NetworkManager-ssh,19,37,230,5,14,50,7,286,6.643356643356643,Dzongkha <pgeyleg@dit.gov.bt>
NetworkManager-vpnc,328,0,0,52,0,0,121,328,100.0,Dzongkha <pgeyleg@dit.gov.bt>
accerciser,341,0,0,158,0,0,241,341,100.0,dzongkha <pgeyleg@dit.gov.bt>
aisleriot,1460,429,98,406,113,30,607,1987,73.47760442878712,DZONGKHA <pgeyleg@dit.gov.bt>
alacarte,42,0,0,16,0,0,18,42,100.0,Dzongkha <pgeyleg@dit.gov.bt>
alleyoop,351,0,0,89,0,0,123,351,100.0,Dzongkha <pgeyleg@dit.gov.bt>
anjuta,7109,0,0,1932,0,0,2302,7109,100.0,dzongkha <pgeyleg@dit.gov.bt>
asunder,17,0,475,15,0,76,15,492,3.4552845528455287,http://littlesvr.ca/ostd/
atril,679,0,3163,236,0,403,341,3842,17.673086933888598,Dzongkha (https://www.transifex.com/mate/teams/13566/dz/)
balsa,5764,0,0,1382,0,0,2771,5764,100.0,Dzongkha <pgeyleg@dit.gov.bt>
banshee,4439,0,0,1008,0,0,1748,4439,100.0,Dzongkha <pgeyleg@dit.gov.bt>
brasero,3949,0,0,752,0,0,1203,3949,100.0,Dzongkha <pgeyleg@dit.gov.bt>
byzanz,249,0,0,42,0,0,72,249,100.0,dzongkha <pgeyleg@dit.gov.bt>
caja,3927,0,5596,841,0,727,1805,9523,41.23700514543736,Dzongkha (https://www.transifex.com/mate/teams/13566/dz/)
caja-actions,1257,234,37,150,17,2,348,1528,82.26439790575915,
caja-extensions,98,0,486,31,0,104,37,584,16.78082191780822,Dzongkha (https://www.transifex.com/mate/teams/13566/dz/)
camorama,500,94,181,114,20,32,155,775,64.51612903225806,Dzongkha <pgeyleg@dit.gov.bt>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Dzongkha (http://www.transifex.com/projects/p/certmonger/language/dz/)
cinnamon-desktop,0,14,220,0,2,30,0,234,0.0,DZONGKHA <pgeyleg@dit.gov.bt>
cinnamon-translations,119,0,3312,16,0,839,43,3431,3.4683765665986592,DZONGKHA <pgeyleg@dit.gov.bt>
coin,0,0,252,0,0,50,0,252,0.0,none
console-setup,919,52,30,133,18,27,329,1001,91.80819180819181,Dzongkha <pgeyleg@dit.gov.bt>
dasher,460,0,0,181,0,0,264,460,100.0,DZONGKHA <pgeyleg@dit.gov.bt>
debconf,747,53,60,85,5,4,306,860,86.86046511627907,Dzongkha <pgeyleg@dit.gov.bt>
