package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,145,0,67,34,0,10,135,212,68.39622641509435,Indonesian (http://www.transifex.com/wildfire-games/0ad/language/id/)
GConf2,4088,0,0,497,0,0,4008,4088,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
ModemManager,134,0,0,17,0,0,132,134,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
NetworkManager,19866,2406,1518,1903,86,47,18755,23790,83.50567465321564,GNOME Indonesian Translation Team <gnome@i15n.org>
NetworkManager-fortisslvpn,245,28,1,37,12,1,239,274,89.41605839416059,Indonesian Translator <gnome@i15n.org>
NetworkManager-iodine,79,0,0,24,0,0,84,79,100.0,Indonesian <gnome@i15n.org>
NetworkManager-l2tp,437,0,705,87,0,92,443,1142,38.2661996497373,Indonesian Translator <gnome@i15n.org>
NetworkManager-libreswan,257,0,0,54,0,0,258,257,100.0,Indonesian <gnome@i15n.org>
NetworkManager-openconnect,5550,0,812,970,0,146,5624,6362,87.2367180132034,Indonesian <gnome@i15n.org>
NetworkManager-openvpn,1847,0,0,256,0,0,1813,1847,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
NetworkManager-pptp,509,0,0,84,0,0,516,509,100.0,Indonesian Translator <gnome@i15n.org>
NetworkManager-ssh,120,85,81,32,21,16,124,286,41.95804195804196,GNOME Indonesian Translation Team <gnome@i15n.org>
NetworkManager-sstp,509,0,0,84,0,0,516,509,100.0,Indonesian Translator <gnome@i15n.org>
NetworkManager-vpnc,606,0,0,101,0,0,610,606,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
PackageKit,1282,0,0,321,0,0,1259,1282,100.0,Indonesian (http://www.transifex.com/freedesktop/packagekit/language/id/)
Thunar,4181,0,231,722,0,40,3624,4412,94.76427923844062,Indonesian (https://www.transifex.com/xfce/teams/16840/id/)
abattis-cantarell-fonts,27,0,0,3,0,0,25,27,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
abrt,338,33,3305,51,7,359,315,3676,9.194776931447226,Indonesian (http://www.transifex.com/projects/p/fedora-abrt/language/id/)
accerciser,666,0,0,228,0,0,679,666,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
accountsservice,59,0,0,10,0,0,56,59,100.0,Indonesian (http://www.transifex.com/projects/p/freedesktop/language/id/)
agenda,2,0,15,1,0,5,3,17,11.76470588235294,Indonesian <id@li.org>
ailurus,158,0,7156,36,0,1125,156,7314,2.1602406343997815,none
aisleriot,3093,0,0,686,0,0,2508,3093,100.0,Indonesian <gnome@i15n.org>
alacarte,45,0,0,20,0,0,40,45,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
alleyoop,351,0,0,92,0,0,331,351,100.0,INDONESIAN <userindesign@gmail.com>
almanah,828,0,0,139,0,0,805,828,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
amarok,15696,41,82,2777,1,2,14518,15819,99.22245401099943,Indonesian <kde-i18n-doc@kde.org>
amtk,11,0,0,3,0,0,12,11,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
anaconda,7694,0,117,1272,0,13,7307,7811,98.50211240558188,Indonesian (http://www.transifex.com/projects/p/anaconda/language/id/)
anjuta,8407,0,0,2062,0,0,8092,8407,100.0,Indonesian <gnome@i15n.org>
appstream,891,0,12,195,0,1,867,903,98.67109634551495,Indonesian <https://hosted.weblate.org/projects/appstream/translations/id/>
arduino,1401,0,1692,301,0,289,1433,3093,45.295829291949566,Indonesian (http://www.transifex.com/mbanzi/arduino-ide-15/language/id/)
ark,1845,0,9,334,0,2,1670,1854,99.51456310679612,Indonesian <kde-i18n-doc@kde.org>
arm-none-eabi-binutils-cs,47240,0,0,7521,0,0,48015,47240,100.0,Indonesian <translation-team-id@lists.sourceforge.net>
arm-none-eabi-gcc-cs,22392,51949,32080,3270,6907,3303,22623,106421,21.040959960909973,Indonesian <translation-team-id@lists.sourceforge.net>
aspell,1697,39,61,288,8,7,1611,1797,94.43516972732333,Indonesian <translation-team-id@lists.sourceforge.net>
asunder,18,0,474,16,0,75,21,492,3.6585365853658534,http://littlesvr.ca/ostd/
atril,1810,0,2032,429,0,210,1743,3842,47.11087975013014,Indonesian (https://www.transifex.com/mate/teams/13566/id/)
audacious,700,0,80,310,0,23,749,780,89.74358974358975,Indonesian (Indonesia) (http://www.transifex.com/audacious/audacious/language/id_ID/)
audacious-plugins,1360,0,2618,544,0,356,1413,3978,34.18803418803419,Indonesian (Indonesia) (http://www.transifex.com/audacious/audacious/language/id_ID/)
audacity,4830,6366,5671,1234,1735,925,4724,16867,28.635797711507678,
authconfig,549,16,364,89,2,46,557,929,59.09580193756727,Indonesian (http://www.transifex.com/projects/p/fedora/language/id/)
autotest-framework,983,0,0,89,0,0,902,983,100.0,Indonesian
avahi,868,0,0,168,0,0,850,868,100.0,Indonesian (http://www.transifex.com/lennart/avahi/language/id/)
avogadro,5065,0,1542,2010,0,362,5210,6607,76.66111699712425,Indonesian <id@li.org>
avogadro2,129,67,266,78,25,46,219,462,27.92207792207792,Indonesian <id@li.org>
avogadro2-libs,340,722,1587,254,268,306,438,2649,12.83503208758022,Indonesian <id@li.org>
avr-binutils,47240,0,0,7521,0,0,48015,47240,100.0,Indonesian <translation-team-id@lists.sourceforge.net>
avr-gcc,22392,51949,32080,3270,6907,3303,22623,106421,21.040959960909973,Indonesian <translation-team-id@lists.sourceforge.net>
avr-gdb,10001,0,0,1604,0,0,10188,10001,100.0,Indonesian <translation-team-id@lists.sourceforge.net>
axel,304,239,0,70,3,0,322,543,55.98526703499079,Indonesian (Indonesia) <yudi.al@gmail.com>
b43-fwcutter,67,0,0,4,0,0,45,67,100.0,Debian Indonesia Translator <debian-l10n-indonesian@lists.debian.org>
backintime,674,0,1298,159,0,190,696,1972,34.17849898580121,Indonesian <id@li.org>
baloo-widgets,49,0,0,30,0,0,50,49,100.0,Indonesian <kde-i18n-doc@kde.org>
balsa,5713,64,31,1367,12,5,5555,5808,98.36432506887053,Indonesian <l10n@id.gnome.org>
banshee,6001,0,0,1545,0,0,5840,6001,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
bash,5842,5591,74,510,63,13,5584,11507,50.76909707134788,Indonesian <translation-team-id@lists.sourceforge.net>
bijiben,412,0,0,128,0,0,430,412,100.0,Indonesian <gnome@i15n.org>
binutils,47240,0,0,7521,0,0,48015,47240,100.0,Indonesian <translation-team-id@lists.sourceforge.net>
bison,558,551,280,110,53,46,572,1389,40.17278617710583,Indonesian <translation-team-id@lists.sourceforge.net>
blender,5231,0,0,2077,0,0,3079,5231,100.0,Indonesian <>
blivet-gui,0,0,925,0,0,242,0,925,0.0,Indonesian
blueberry,31,0,117,9,0,28,30,148,20.945945945945947,Indonesian <id@li.org>
bluedevil,572,0,0,191,0,0,547,572,100.0,Indonesian <kde-i18n-doc@kde.org>
blueman,1271,0,64,330,0,5,1207,1335,95.20599250936328,Indonesian (http://www.transifex.com/mate/MATE/language/id/)
boinc-client,164,0,0,17,0,0,151,164,100.0,Indonesian (http://www.transifex.com/boinc/boinc/language/id/)
brasero,7751,0,0,1113,0,0,6942,7751,100.0,Indonesian <gnome@i15n.org>
byobu,177,0,0,44,0,0,167,177,100.0,Indonesian <id@li.org>
byzanz,236,0,0,52,0,0,242,236,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
bzr,695,0,32554,103,0,2250,636,33249,2.09028842972721,Indonesian <id@li.org>
cairo-dock,272,0,7192,78,0,749,268,7464,3.644158628081458,Indonesian <id@li.org>
cairo-dock-plug-ins,256,0,9947,112,0,1610,254,10203,2.5090659609918653,Indonesian <id@li.org>
caja,8396,0,1127,1443,0,125,7773,9523,88.16549406699569,Indonesian (https://www.transifex.com/mate/teams/13566/id/)
caja-extensions,571,0,13,132,0,3,564,584,97.77397260273972,Indonesian (https://www.transifex.com/mate/teams/13566/id/)
calamares,138,0,305,27,0,57,129,443,31.15124153498871,Indonesian (https://www.transifex.com/calamares/teams/20061/id/)
calibre,4226,0,154776,664,0,17584,3780,159002,2.6578282034188248,Indonesian (http://www.transifex.com/calibre/calibre/language/id/)
california,577,0,85,204,0,7,570,662,87.16012084592145,Indonesian <gnome-l10n-id@googlegroups.com>
calligraplan,4573,88,4943,1180,40,843,4422,9604,47.61557684298209,Indonesian <kde-i18n-doc@kde.org>
caribou,169,0,0,57,0,0,181,169,100.0,Indonesian <gnome@i15n.org>
cataclysm-dda,0,0,463493,0,0,42321,0,463493,0.0,Indonesian (https://www.transifex.com/cataclysm-dda-translators/teams/2217/id/)
catfish,145,0,642,59,0,59,154,787,18.424396442185515,Indonesian (https://www.transifex.com/xfce/teams/16840/id/)
cawbird,544,0,44,193,0,18,523,588,92.51700680272108,Indonesian (Indonesia) (http://www.transifex.com/cawbird/cawbird/language/id_ID/)
ccsm,401,5,185,133,3,27,373,591,67.85109983079526,Indonesian <id@li.org>
certmonger,701,84,2046,125,11,337,692,2831,24.761568350406215,Indonesian (http://www.transifex.com/projects/p/certmonger/language/id/)
cflow,519,54,21,102,9,2,524,594,87.37373737373737,Indonesian <translation-team-id@lists.sourceforge.net>
chrome-gnome-shell,313,0,0,49,0,0,314,313,100.0,
cinnamon-control-center,539,70,704,539,51,166,539,1313,41.05102817974105,LDP Indonesia <http://www.linux.or.id>
cinnamon-desktop,234,0,0,32,0,0,236,234,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
cinnamon-translations,18287,0,4614,4190,0,921,17272,22901,79.85240819178202,Indonesian <id@li.org>
clamtk,438,0,10,134,0,4,422,448,97.76785714285714,Indonesian <id@li.org>
claws-mail,19958,0,559,3951,0,62,18788,20517,97.27543013111078,M. Sulchan Darmawan <bleketux@gmail.com>
clawsker,1262,0,0,225,0,0,1220,1262,100.0,translators@lists.claws-mail.org
clementine,4880,0,247,1308,0,53,4714,5127,95.18236785644626,Indonesian (http://www.transifex.com/davidsansome/clementine/language/id/)
clutter,3057,0,0,675,0,0,2573,3057,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
cogl,393,0,0,80,0,0,388,393,100.0,Indonesian <gnome@i15n.org>
coin,0,0,252,0,0,50,0,252,0.0,none
comix,1300,0,26,259,0,3,1231,1326,98.0392156862745,Indonesia <id@li.org>
console-setup,1001,0,0,178,0,0,864,1001,100.0,Debian Indonesia Translators <debian-l10n-indonesian@lists.debian.org>
corebird,542,0,44,193,0,18,521,586,92.4914675767918,Indonesian (Indonesia) (http://www.transifex.com/corebird/corebird/language/id_ID/)
coreutils,8436,9522,3372,1012,518,271,8509,21330,39.54992967651195,Indonesian <translation-team-id@lists.sourceforge.net>
cpio,1795,86,21,293,15,5,1804,1902,94.37434279705573,Indonesian <translation-team-id@lists.sourceforge.net>
cpu-x,78,0,931,13,0,222,77,1009,7.730426164519326,Indonesian <https://hosted.weblate.org/projects/cpu-x/translations/id/>
cross-binutils,47240,0,0,7521,0,0,48015,47240,100.0,Indonesian <translation-team-id@lists.sourceforge.net>
cross-gcc,22392,51949,32080,3270,6907,3303,22623,106421,21.040959960909973,Indonesian <translation-team-id@lists.sourceforge.net>
cryptsetup,340,1788,3573,60,289,485,343,5701,5.963865988423084,Indonesian <translation-team-id@lists.sourceforge.net>
cups-pk-helper,149,0,0,22,0,0,149,149,100.0,Indonesian (http://www.transifex.com/projects/p/freedesktop/language/id/)
d-feet,114,0,0,37,0,0,114,114,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
dasher,1292,0,0,249,0,0,1253,1292,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
debconf,795,5,60,87,3,4,733,860,92.44186046511628,Debian Indonesia Team <debian-l10n-id@gurame.fisika.ui.ac.id>
deepin-metacity,2150,0,0,307,0,0,2154,2150,100.0,GNOME Indonesian Translation Team <gnome@i15n.org>
deepin-mutter,814,0,0,125,0,0,802,814,100.0,Indonesian <gnome-l10n-id@googlegroups.com>
deepin-qml-widgets,36,0,0,27,0,0,34,36,100.0,Indonesian (Indonesia) (http://www.transifex.com/projects/p/deepin-qml-widgets/language/id_ID/)
