package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
4Pane,558,0,12017,222,0,1654,621,12575,4.43737574552684,Persian (http://www.transifex.com/davidgh/4Pane/language/fa/)
DivFix++,551,0,0,104,0,0,676,551,100.0,MXAmin <amin.solhizadeh gmail.com>
GConf2,3752,24,178,444,4,13,4159,3954,94.89124936772888,Persian <farsi@lists.sharif.edu>
NetworkManager-fortisslvpn,6,20,297,4,8,48,7,323,1.8575851393188854,Persian <fa@li.org>
NetworkManager-l2tp,107,0,1035,36,0,143,129,1142,9.369527145359019,Persian <fa@li.org>
NetworkManager-openconnect,51,5,3185,15,2,579,62,3241,1.5735883986423942,Persian
NetworkManager-openvpn,205,139,705,70,12,87,231,1049,19.54242135367016,Persian
NetworkManager-pptp,144,0,145,44,0,24,173,289,49.82698961937716,Persian <fa@li.org>
NetworkManager-ssh,39,43,204,17,14,38,41,286,13.636363636363635,Persian
NetworkManager-sstp,144,0,145,44,0,24,173,289,49.82698961937716,Persian <fa@li.org>
NetworkManager-vpnc,143,4,97,37,1,16,160,244,58.606557377049185,Persian <fa@li.org>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Persian (http://www.transifex.com/projects/p/freedesktop/language/fa/)
R,1189,22,16147,266,3,2479,1627,17358,6.84986749625533,Persian
Thunar,2639,0,1770,623,0,139,2983,4409,59.854842367883876,Persian (Iran) (https://www.transifex.com/xfce/teams/16840/fa_IR/)
abattis-cantarell-fonts,27,0,0,3,0,0,28,27,100.0,Persian <fa@li.org>
abrt,252,4,3420,30,2,385,297,3676,6.855277475516866,Persian <https://translate.fedoraproject.org/projects/abrt/abrt/fa/>
accountsservice,0,0,59,0,0,10,0,59,0.0,Persian (http://www.transifex.com/freedesktop/accountsservice/language/fa/)
aisleriot,2807,0,0,617,0,0,2476,2807,100.0,Persian
akonadi-calendar-tools,236,170,77,60,34,15,271,483,48.86128364389234,Farsi (Persian) <>
akregator,888,423,475,244,95,93,965,1786,49.72004479283314,Farsi (Persian) <>
alacarte,42,0,0,16,0,0,52,42,100.0,Persian <translate@ifsug.org>
anaconda,449,25,7284,145,3,1138,523,7758,5.787574117040474,Persian (http://www.transifex.com/projects/p/anaconda/language/fa/)
arandr,173,0,0,38,0,0,189,173,100.0,Persian <https://hosted.weblate.org/projects/arandr/translations/fa/>
arduino,2116,0,4292,526,0,688,2394,6408,33.02122347066167,Persian (Iran) (http://www.transifex.com/mbanzi/arduino-ide-15/language/fa_IR/)
aria2,38,0,7448,11,0,388,55,7486,0.5076142131979695,Persian <fa@li.org>
ark,31,483,1387,11,103,227,23,1901,1.6307206733298263,Persian <kde-i18n-fa@kde.org>
asunder,17,0,475,15,0,76,17,492,3.4552845528455287,http://littlesvr.ca/ostd/
at-spi2-core,10,0,0,2,0,0,10,10,100.0,Persian <translate@ifsug.org>
atk,398,0,0,139,0,0,380,398,100.0,Persian <translate@ifsug.org>
atomix,101,0,24,39,0,5,108,125,80.80000000000001,Persian <farsi@lists.sharif.edu>
atril,678,0,3168,219,0,422,757,3846,17.628705148205928,Persian (https://www.transifex.com/mate/teams/13566/fa/)
audacious,477,0,303,227,0,106,620,780,61.15384615384616,Persian (Iran) (http://www.transifex.com/audacious/audacious/language/fa_IR/)
audacious-plugins,786,0,3192,338,0,562,942,3978,19.75867269984917,Persian (Iran) (http://www.transifex.com/audacious/audacious/language/fa_IR/)
audacity,2151,4123,10593,643,1332,1919,2547,16867,12.752712396988203,Persian
authselect,0,0,6148,0,0,635,0,6148,0.0,none
avahi,224,1,643,74,1,93,245,868,25.806451612903224,Persian (http://www.transifex.com/lennart/avahi/language/fa/)
baobab,275,0,0,73,0,0,276,275,100.0,Persian
bijiben,416,0,0,127,0,0,430,416,100.0,
bleachbit,442,0,580,107,0,120,540,1022,43.24853228962818,Persian <fa@li.org>
blender,9934,0,0,3826,0,0,8708,9934,100.0,LeoMoon Studios <blender@leomoon.com>
blinken,133,0,0,47,0,0,144,133,100.0,Persian <kde-i18n-fa@kde.org>
blueberry,20,0,142,6,0,30,21,162,12.345679012345679,Persian <fa@li.org>
bluefish,4556,265,0,1529,6,0,5516,4821,94.50321510060154,
blueman,145,20,1567,72,10,433,183,1732,8.371824480369515,Persian <https://hosted.weblate.org/projects/blueman/stable/fa/>
boinc-client,387,0,82,43,0,9,488,469,82.51599147121536,Persian (Iran) (http://www.transifex.com/boinc/boinc/language/fa_IR/)
bookworm,42,14,739,16,1,132,52,795,5.283018867924529,Persian <https://hosted.weblate.org/projects/bookworm/bookworm/fa/>
bottles,13,0,1547,13,0,328,13,1560,0.8333333333333334,Persian <https://hosted.weblate.org/projects/bottles/bottles/fa/>
brasero,5546,0,0,968,0,0,5951,5546,100.0,Persian
breezy,0,0,33704,0,0,2380,0,33704,0.0,
caja,4288,0,5337,906,0,689,4487,9625,44.55064935064935,Persian (https://www.transifex.com/mate/teams/13566/fa/)
caja-extensions,41,0,630,13,0,133,48,671,6.110283159463488,Persian (https://www.transifex.com/mate/teams/13566/fa/)
calamares,0,0,443,0,0,84,0,443,0.0,Persian (https://www.transifex.com/calamares/teams/20061/fa/)
calibre,8679,0,152295,2214,0,16265,9931,160974,5.391553915539156,Persian (http://www.transifex.com/calibre/calibre/language/fa/)
calligra,6306,5928,17706,1747,1807,2449,6351,29940,21.062124248496993,Persian <kde-i18n-fa@kde.org>
calligraplan,80,632,987,48,174,92,94,1699,4.7086521483225425,Farsi (Persian) <>
camorama,32,38,705,14,14,138,39,775,4.129032258064516,Persian <farsi@lists.sharif.edu>
caribou,169,0,0,57,0,0,184,169,100.0,Persian
cawbird,106,72,1055,72,24,241,137,1233,8.59691808596918,Persian (http://www.transifex.com/cawbird/cawbird/language/fa/)
ccsm,196,122,273,78,16,69,232,591,33.16412859560068,Persian <fa@li.org>
cervisia,1533,50,36,399,13,9,1700,1619,94.68807906114885,Farsi (Persian) <>
cheese,628,0,0,130,0,0,611,628,100.0,Persian <>
chkconfig,477,0,78,91,0,12,513,555,85.94594594594595,Persian (http://www.transifex.com/projects/p/fedora/language/fa/)
choqok,471,224,1655,198,84,305,540,2350,20.04255319148936,Farsi (Persian) <kde-i18n-fa@kde.org>
cinnamon-control-center,526,76,711,520,59,177,701,1313,40.06092916984006,Persian <trans-fa@lists.fedoraproject.org>
cinnamon-desktop,231,0,3,31,0,1,251,234,98.71794871794873,Persian
cinnamon-translations,4823,0,16621,1330,0,3386,5620,21444,22.49113971274016,Persian <fa@li.org>
clementine,4075,0,1176,1176,0,215,4294,5251,77.60426585412303,Persian (http://www.transifex.com/davidsansome/clementine/language/fa/)
clutter,1,0,3056,1,0,674,1,3057,0.03271180896303566,Persian <translate@ifsug.org>
cogl,15,0,346,4,0,71,18,361,4.1551246537396125,Persian
coin,0,0,252,0,0,50,0,252,0.0,none
colorhug-client,49,0,1383,11,0,286,69,1432,3.4217877094972065,Persian (http://www.transifex.com/hughsie/colorhug-client/language/fa/)
compiz-plugins-main,0,21,4197,0,8,803,0,4218,0.0,Persian <fa@li.org>
dasher,622,13,14,203,3,4,725,649,95.83975346687211,Persian <farsi@lists.sharif.edu>
dconf-editor,136,39,1289,19,17,151,133,1464,9.289617486338798,Persian
debconf,191,0,0,17,0,0,258,191,100.0,debian-l10n-persian <debian-l10n-persian@lists.debian.org>
deepin-daemon,238,0,825,91,0,137,297,1063,22.389463781749765,Persian (http://www.transifex.com/linuxdeepin/deepin-desktop-environment/language/fa/)
deepin-terminal,439,0,19,167,0,2,521,458,95.85152838427948,Persian (https://www.transifex.com/linuxdeepin/teams/3976/fa/)
deja-dup,54,0,1569,13,0,272,86,1623,3.3271719038817005,Persian <fa@li.org>
deluge,403,0,2213,161,0,690,475,2616,15.40519877675841,Persian <fa@li.org>
devhelp,381,0,0,94,0,0,401,381,100.0,Persian
dialog,24,1,0,22,1,0,33,25,96.0,Persian <translation-team-fa@lists.sourceforge.net>
digikam,2704,20534,28120,988,4069,2769,2917,51358,5.265002531251217,Farsi (Persian) <>
dippi,0,0,397,0,0,53,0,397,0.0,none
dnf,238,6,4195,108,2,747,302,4439,5.361567920702861,Persian
dnfdragora,147,0,1585,110,0,355,156,1732,8.48729792147806,Persian (https://www.transifex.com/MageiaLinux/teams/9361/fa/)
dolphin,1179,332,2878,372,112,155,1239,4389,26.862611073137387,Persian <kde-i18n-fa@kde.org>
dolphin-emu,1105,0,10503,384,0,1659,1407,11608,9.519297036526533,Persian (http://www.transifex.com/delroth/dolphin-emu/language/fa/)
edgar,792,0,10682,86,0,1449,645,11474,6.902562314798676,Persian <fa@li.org>
efl,1,0,145,1,0,74,1,146,0.684931506849315,General
ekiga,4765,0,1158,753,0,40,5226,5923,80.44909674151613,
electrum,197,0,6689,66,0,1181,238,6886,2.860877142027302,Persian
elementary-calculator,27,0,103,14,0,40,34,130,20.76923076923077,LANGUAGE <LL@li.org>
elementary-calendar,584,240,342,254,66,96,625,1166,50.08576329331046,Persian <fa@li.org>
elementary-camera,1,0,64,1,0,17,1,65,1.5384615384615385,Persian <fa@li.org>
elementary-capnet-assist,0,0,82,0,0,14,0,82,0.0,none
elementary-code,169,91,891,64,25,168,190,1151,14.682884448305822,Persian <https://l10n.elementary.io/projects/code/code/fa/>
elementary-files,649,554,1708,154,89,316,653,2911,22.294744074201304,Persian <fa@li.org>
elementary-greeter,10,2,154,3,1,33,11,166,6.024096385542169,Persian <https://l10n.elementary.io/projects/desktop/greeter/fa/>
elementary-music,789,127,392,249,20,97,878,1308,60.321100917431195,Persian <fa@li.org>
elementary-notifications,0,0,3,0,0,2,0,3,0.0,none
elementary-photos,0,0,3910,0,0,806,0,3910,0.0,LANGUAGE <LL@li.org>
