package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,3838,4088,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
NetworkManager-l2tp,30,0,1212,14,0,173,34,1242,2.4154589371980677,Belarusian <i18n-bel-gnome@googlegroups.com>
NetworkManager-openvpn,337,164,548,96,15,58,334,1049,32.1258341277407,Belarusian <i18n-bel-gnome@googlegroups.com>
aisleriot,3075,0,0,679,0,0,2425,3075,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
alacarte,45,0,0,20,0,0,38,45,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
anaconda,7097,489,444,1213,72,70,6314,8030,88.3810709838107,Belarusian <https://translate.fedoraproject.org/projects/anaconda/f33/be/>
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Belarusian (http://www.transifex.com/projects/p/fedora/language/be/)
arduino,2412,0,792,484,0,123,2074,3204,75.28089887640449,Belarusian (http://www.transifex.com/mbanzi/arduino-ide-15/language/be/)
arm-none-eabi-gcc-cs,220,13834,99649,66,2420,11721,217,113703,0.19348653949324116,Belarusian <i18n@tut.by>
aspell,409,330,1058,81,56,166,331,1797,22.760155815247636,Belarusian <i18n@mova.org>
asunder,17,0,475,15,0,76,17,492,3.4552845528455287,http://littlesvr.ca/ostd/
at-spi2-core,10,0,0,2,0,0,12,10,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
atk,440,0,0,169,0,0,398,440,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
atomix,108,0,0,53,0,0,112,108,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
atril,1427,0,2419,405,0,236,1272,3846,37.10348413936557,Belarusian (https://www.transifex.com/mate/teams/13566/be/)
audacious,678,0,181,301,0,58,689,859,78.9289871944121,Belarusian (http://www.transifex.com/audacious/audacious/language/be/)
audacious-plugins,897,0,3357,447,0,538,885,4254,21.086036671368124,Belarusian (http://www.transifex.com/audacious/audacious/language/be/)
audacity,3580,5455,8622,1055,1729,1349,3591,17657,20.275244945347453,Patricia Clausnitzer <by.marcis@gmail.com>
avr-gcc,220,13834,99649,66,2420,11721,217,113703,0.19348653949324116,Belarusian <i18n@tut.by>
baobab,247,0,0,65,0,0,245,247,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
bijiben,425,0,0,139,0,0,411,425,100.0,
bison,20,66,57,8,14,17,19,143,13.986013986013987,Belarusian <i18n@mova.org>
bleachbit,600,0,700,153,0,123,522,1300,46.15384615384615,Belarusian <be@li.org>
blueberry,162,0,4,36,0,1,153,166,97.59036144578313,Belarusian <be@li.org>
blueman,1789,17,51,562,7,10,1710,1857,96.33817985998922,Belarusian <https://hosted.weblate.org/projects/blueman/blueman/be/>
bookworm,667,54,74,135,6,8,608,795,83.8993710691824,Belarusian <https://hosted.weblate.org/projects/bookworm/bookworm/be/>
brasero,5546,0,0,968,0,0,4784,5546,100.0,Belarusian <i18n-bel-gnome@googlegroups.com>
bubblemail,0,0,472,0,0,134,0,472,0.0,none
cairo-dock,2744,0,4720,401,0,426,2200,7464,36.763129689174704,Belarusian <be@li.org>
caja,7219,0,2406,1395,0,200,6071,9625,75.0025974025974,Belarusian (https://www.transifex.com/mate/teams/13566/be/)
caja-extensions,549,3,119,121,3,22,492,671,81.81818181818183,Belarusian (https://www.transifex.com/mate/teams/13566/be/)
calamares,29,0,414,6,0,78,23,443,6.5462753950338595,Belarusian (https://www.transifex.com/calamares/teams/20061/be/)
calibre,1149,0,159913,467,0,18017,1049,161062,0.7133898747066347,Belarusian (http://www.transifex.com/calibre/calibre/language/be/)
calligra,343,24855,8590,227,5253,1560,339,33788,1.0151533088670535,Belarusian (Official spelling) <i18n@mova.org>
calligraplan,67,3043,5784,54,1064,822,70,8894,0.7533168428153811,Belarusian <i18n@mova.org>
camorama,375,78,322,79,26,61,360,775,48.38709677419355,Belarusian <i18n@mova.org>
