package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,1957,4088,100.0,Khmer <support@khmeros.info>
agenda,5,0,12,2,0,4,2,17,29.411764705882355,Khmer <km@li.org>
aisleriot,1899,393,1,511,57,1,1001,2293,82.81726995202791,Khmer <supprot@khmeros.info>
akonadi-calendar-tools,256,159,68,63,32,14,182,483,53.002070393374744,Khmer <support@khmeros.info>
akonadi-import-wizard,220,91,83,55,20,9,112,394,55.83756345177665,Khmer <support@khmeros>
akregator,1354,265,188,349,58,32,596,1807,74.93082457111234,Khmer <support@khmeros>
alacarte,42,0,0,16,0,0,20,42,100.0,Khmer <>
anaconda,1998,240,5792,255,27,1073,945,8030,24.881693648816935,Khmer
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Khmer (http://www.transifex.com/projects/p/fedora/language/km/)
anjuta,7908,0,0,1988,0,0,3680,7908,100.0,Khmer <>
apt,2313,1178,1912,376,159,175,1127,5403,42.80955024986119,Khmer <support@khmeros.info>
ark,576,682,659,114,126,102,259,1917,30.046948356807512,Khmer
asunder,13,0,479,13,0,78,15,492,2.642276422764228,http://littlesvr.ca/ostd/
at-spi2-core,5,0,0,1,0,0,5,5,100.0,Khmer <support@khmeros.info>
atk,398,0,0,139,0,0,164,398,100.0,Khmer <support@khmeros.info>
audacity,2374,4855,10428,718,1538,1877,1340,17657,13.445092597836553,Khmer <en@li.org>
audex,2326,982,39,373,30,9,1168,3347,69.49507021213026,Khmer <support@khmeros>
baobab,540,0,0,126,0,0,243,540,100.0,Khmer <support@khmeros.info>
blinken,133,0,0,47,0,0,91,133,100.0,Khmer <support@khmeros.info>
blueberry,27,0,139,8,0,29,8,166,16.265060240963855,Khmer <km@li.org>
bomber,75,9,26,23,1,3,59,110,68.18181818181817,Khmer <kde-i18n-doc@kde.org>
bookworm,0,0,795,0,0,149,0,795,0.0,
