package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
blueberry,31,0,135,9,0,28,40,166,18.67469879518072,Papiamento <pap@li.org>
cinnamon-translations,2087,0,8793,487,0,1956,2441,10880,19.18198529411765,Papiamento <pap@li.org>
iso-codes,0,233,749,0,183,237,0,982,0.0,Papiamento <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/pap/>
nemo-extensions,1,0,7,1,0,1,1,8,12.5,Papiamento <pap@li.org>
olpc-switch-desktop,158,0,0,14,0,0,188,158,100.0,LANGUAGE <LL@li.org>
sugar,1669,0,636,404,0,125,2020,2305,72.40780911062906,JuneLeonora
sugar-abacus,28,0,0,23,0,0,30,28,100.0,JuneLeonora
sugar-browse,213,0,121,51,0,20,204,334,63.772455089820355,Suares
sugar-calculator,352,70,444,81,15,73,353,866,40.64665127020785,LANGUAGE <LL@li.org>
sugar-chat,56,3,78,34,1,46,65,137,40.87591240875913,JuneLeonora
sugar-clock,57,9,0,19,2,0,58,66,86.36363636363636,JuneLeonora
sugar-distance,75,4,20,15,1,10,84,99,75.75757575757575,LANGUAGE <LL@li.org>
sugar-finance,188,0,70,39,0,24,210,258,72.86821705426357,JuneLeonora
sugar-fototoon,77,0,62,33,0,15,83,139,55.39568345323741,JuneLeonora
sugar-getiabooks,110,0,40,30,0,4,129,150,73.33333333333333,JuneLeonora
sugar-imageviewer,16,0,42,8,0,8,22,58,27.586206896551722,JuneLeonora
sugar-implode,77,0,0,20,0,0,78,77,100.0,JuneLeonora
sugar-infoslicer,165,2,69,52,1,9,186,236,69.91525423728814,LANGUAGE <LL@li.org>
sugar-jukebox,69,0,0,22,0,0,89,69,100.0,JuneLeonora
sugar-labyrinth,248,0,33,88,0,6,273,281,88.25622775800713,LANGUAGE <LL@li.org>
sugar-log,98,0,0,21,0,0,107,98,100.0,JuneLeonora
sugar-maze,7,0,0,4,0,0,9,7,100.0,JuneLeonora
sugar-measure,2,0,160,2,0,73,2,162,1.2345679012345678,LANGUAGE <LL@li.org>
sugar-memorize,131,11,0,67,7,0,140,142,92.25352112676056,Suares
sugar-paint,106,0,0,61,0,0,125,106,100.0,LANGUAGE <LL@li.org>
sugar-physics,28,0,20,27,0,1,28,48,58.333333333333336,LANGUAGE <LL@li.org>
sugar-pippy,44,15,223,14,1,53,46,282,15.602836879432624,LANGUAGE <LL@li.org>
sugar-portfolio,0,0,73,0,0,25,0,73,0.0,LANGUAGE <LL@li.org>
sugar-read,122,0,15,46,0,4,132,137,89.05109489051095,Suares
sugar-record,62,0,0,24,0,0,63,62,100.0,Suares
sugar-ruler,0,0,29,0,0,8,0,29,0.0,LANGUAGE <LL@li.org>
sugar-speak,227,0,0,74,0,0,241,227,100.0,JuneLeonora
sugar-srilanka,459,0,0,197,0,0,483,459,100.0,LANGUAGE <LL@li.org>
sugar-story,4,0,20,2,0,9,4,24,16.666666666666664,LANGUAGE <LL@li.org>
sugar-terminal,6,0,115,4,0,22,9,121,4.958677685950414,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,76,0,137,40,0,83,78,213,35.68075117370892,JuneLeonora
sugar-turtleart,1574,0,0,478,0,0,1854,1574,100.0,LANGUAGE <walter@sugarlabs.org>
sugar-typing-turtle,573,0,26,125,0,2,661,599,95.65943238731218,LANGUAGE <LL@li.org>
sugar-view-slides,0,0,7,0,0,5,0,7,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,118,0,40,64,0,14,129,158,74.68354430379746,LANGUAGE <LL@li.org>
sugar-words,3,0,0,3,0,0,3,3,100.0,LANGUAGE <LL@li.org>
sugar-write,119,2,0,53,2,0,130,121,98.34710743801654,Suares
sugar-xoeditor,1,0,28,1,0,6,1,29,3.4482758620689653,LANGUAGE <LL@li.org>
