package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,300,0,0,56,0,0,304,300,100.0,Basque (http://www.transifex.com/wildfire-games/0ad/language/eu/)
GConf2,4088,0,0,497,0,0,3796,4088,100.0,American English <kde-i18n-doc@kde.org>
LabPlot,385,1339,9273,103,798,2107,364,10997,3.500954805856143,Basque <kde-i18n-eu@kde.org>
NetworkManager,416,2390,24953,98,502,1621,455,27759,1.498613062430203,Basque <itzulpena@euskalgnu.org>
NetworkManager-fortisslvpn,43,56,224,10,15,35,42,323,13.312693498452013,Basque <librezale@librezale.org>
NetworkManager-l2tp,421,0,814,83,0,103,400,1235,34.08906882591093,Basque <librezale@librezale.org>
NetworkManager-libreswan,62,35,368,19,10,47,62,465,13.333333333333334,Basque <librezale@librezale.org>
NetworkManager-openconnect,2754,876,2732,512,146,458,2871,6362,43.28827412763282,Basque <librezale@librezale.org>
NetworkManager-openvpn,1047,0,1048,202,0,81,981,2095,49.976133651551315,Basque <librezale@librezale.eus>
NetworkManager-pptp,410,0,0,74,0,0,389,410,100.0,Basque <librezale@librezale.org>
NetworkManager-ssh,39,43,204,17,14,38,37,286,13.636363636363635,Basque <itzulpena@euskalgnu.org>
NetworkManager-sstp,630,0,205,130,0,12,592,835,75.44910179640718,Basque <librezale@librezale.eus>
NetworkManager-vpnc,442,0,0,84,0,0,424,442,100.0,Basque <librezale@librezale.org>
PackageKit,1282,0,0,321,0,0,1150,1282,100.0,Basque (http://www.transifex.com/freedesktop/packagekit/language/eu/)
Thunar,4413,0,0,784,0,0,3502,4413,100.0,Basque (https://www.transifex.com/xfce/teams/16840/eu/)
Zim,3256,128,2,743,33,1,2834,3386,96.16066154754873,Basque <https://hosted.weblate.org/projects/zim/develop/eu/>
abattis-cantarell-fonts,27,0,0,3,0,0,25,27,100.0,Basque <librezale@librezale.eus>
abrt,273,14,3389,40,2,375,236,3676,7.426550598476606,Basque (http://www.transifex.com/projects/p/fedora-abrt/language/eu/)
accerciser,658,0,0,224,0,0,591,658,100.0,Basque <itzulpena@euskalgnu.org>
accountsservice,59,0,0,10,0,0,48,59,100.0,Basque (http://www.transifex.com/freedesktop/accountsservice/language/eu/)
aisleriot,20351,0,0,1463,0,0,15170,20351,100.0,Basque <itzulpena@euskalgnu.org>
akonadi-calendar-tools,785,0,0,172,0,0,773,785,100.0,Basque <kde-i18n-eu@kde.org>
akonadi-import-wizard,394,0,0,84,0,0,355,394,100.0,Basque <kde-i18n-eu@kde.org>
akregator,1908,0,0,447,0,0,1710,1908,100.0,Basque <kde-i18n-eu@kde.org>
alacarte,42,0,0,16,0,0,37,42,100.0,<eu@li.org>
alleyoop,351,0,0,92,0,0,306,351,100.0,Basque <itzulpena@euskalgnu.org>
alligator,134,3,2,64,2,1,138,139,96.40287769784173,Basque <kde-i18n-eu@kde.org>
almanah,578,68,33,108,7,7,502,679,85.12518409425626,American English <kde-i18n-doc@kde.org>
alsa-utils,1751,118,22,319,11,4,1673,1891,92.5965097831835,Librezale <librezale@librezale.eus>
amarok,10767,2500,2552,2126,415,239,9262,15819,68.0637208420254,Basque <itzulpena@euskalgnu.org>
amtk,11,0,0,3,0,0,11,11,100.0,Basque <librezale@librezale.eus>
anaconda,843,87,7294,421,32,919,814,8224,10.250486381322958,Basque <https://translate.fedoraproject.org/projects/anaconda/master/eu/>
analitza,992,0,0,222,0,0,931,992,100.0,Basque <kde-i18n-eu@kde.org>
android-tools,59,52,7567,36,25,1017,64,7678,0.7684292784579317,Basque (http://www.transifex.com/projects/p/fedora/language/eu/)
angelfish,479,0,0,121,0,0,411,479,100.0,Basque <kde-i18n-eu@kde.org>
anjuta,20886,0,0,2579,0,0,16317,20886,100.0,Basque <itzulpena@euskalgnu.org>
apostrophe,39,11,395,11,7,134,32,445,8.764044943820224,
appstream,8,13,4573,7,6,505,8,4594,0.174140182847192,Basque <https://hosted.weblate.org/projects/appstream/translations/eu/>
apt,2469,1082,1862,403,140,167,2380,5413,45.61241455754665,Euskara <debian-l10n-basque@lists.debian.org>
ardour6,22404,0,0,4833,0,0,19651,22404,100.0,Euskara <porrumentzio@riseup.net>
ark,1931,0,0,346,0,0,1682,1931,100.0,Basque <kde-i18n-eu@kde.org>
artikulate,338,0,0,149,0,0,319,338,100.0,Basque <kde-i18n-eu@kde.org>
asunder,427,29,36,77,4,10,395,492,86.78861788617887,Basque <LL@li.org>
at-spi2-core,10,0,0,2,0,0,10,10,100.0,Basque <librezale@librezale.org>
atk,440,0,0,169,0,0,341,440,100.0,Basque <librezale@librezale.org>
atomix,208,0,0,60,0,0,192,208,100.0,Basque <librezale@librezale.eus>
atril,2030,0,2359,443,0,293,1797,4389,46.25199362041467,Basque (https://www.transifex.com/mate/teams/13566/eu/)
audacity,34182,1425,1405,8142,303,161,31504,37012,92.35383118988436,(EUS_Xabier Aramendi)
audiotube,54,0,0,26,0,0,52,54,100.0,Basque <kde-i18n-eu@kde.org>
avogadro,4151,0,2456,1554,0,818,4042,6607,62.82730437414863,Basque <eu@li.org>
avogadro2,149,57,258,87,25,40,209,464,32.112068965517246,Basque <eu@li.org>
avogadro2-libs,689,301,2986,367,125,702,688,3976,17.32897384305835,Basque <eu@li.org>
backintime,1972,0,0,349,0,0,1785,1972,100.0,Basque <eu@li.org>
baloo-widgets,52,0,0,31,0,0,52,52,100.0,Basque <kde-i18n-eu@kde.org>
balsa,6859,0,0,1641,0,0,6481,6859,100.0,Basque <librezale@librezale.eus>
baobab,619,0,800,125,0,26,540,1419,43.62226920366455,Basque <librezale@librezale.eus>
bijiben,661,0,617,183,0,63,562,1278,51.72143974960876,Basque <librezale@librezale.eus>
bison,24,66,80,9,14,21,23,170,14.117647058823529,Basque <translation-team-eu@lists.sourceforge.net>
bleachbit,980,0,0,221,0,0,851,980,100.0,Basque <eu@li.org>
blender,1279,0,0,598,0,0,1188,1279,100.0,Euskara <agoenaga006@ikasle.ehu.eus>
