package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
4Pane,532,0,12152,252,0,1633,285,12684,4.194260485651214,Japanese (http://www.transifex.com/davidgh/4Pane/language/ja/)
DivFix++,549,0,0,102,0,0,163,549,100.0,Neroma_King <Neroma_King at Asp_01.net>
GConf2,4074,0,0,496,0,0,1646,4074,100.0,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager,23958,3101,700,2147,51,23,9131,27759,86.30714362909326,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-fortisslvpn,28,56,239,9,15,36,14,323,8.6687306501548,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-iodine,79,1,0,24,1,0,44,80,98.75,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-l2tp,310,0,925,70,0,116,165,1235,25.101214574898783,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-libreswan,462,0,0,75,0,0,213,462,100.0,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-openvpn,436,0,1540,117,0,156,218,1976,22.06477732793522,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-pptp,273,2,5,62,1,3,149,280,97.5,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-ssh,19,41,226,5,15,49,9,286,6.643356643356643,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-sstp,155,71,608,39,21,82,84,834,18.585131894484412,Japanese <gnome-translation@gnome.gr.jp>
NetworkManager-vpnc,439,0,0,83,0,0,256,439,100.0,Japanese <gnome-translation@gnome.gr.jp>
PackageKit,1282,0,0,321,0,0,369,1282,100.0,Japanese (http://www.transifex.com/freedesktop/packagekit/language/ja/)
R,34223,2403,2314,5045,327,327,15357,38940,87.88649203903441,RjpWiki Message Translation Team <mokada@md.tsukuba.ac.jp>
Thunar,4413,0,0,784,0,0,1212,4413,100.0,Japanese (https://www.transifex.com/xfce/teams/16840/ja/)
WindowMaker,3927,0,318,769,0,43,1223,4245,92.50883392226147,Japanese
Zim,2564,423,399,614,95,68,915,3386,75.7235676314235,Japanese <https://hosted.weblate.org/projects/zim/master/ja/>
a2ps,1374,106,32,169,3,7,645,1512,90.87301587301587,Japanese <translation-team-ja@lists.sourceforge.net>
abattis-cantarell-fonts,27,0,0,3,0,0,7,27,100.0,Japanese <gnome-translation@gnome.gr.jp>
abook,573,80,145,148,25,37,289,798,71.80451127819549,japanese
abrt,3304,281,91,377,28,12,1123,3676,89.88030467899891,Japanese (http://www.transifex.com/projects/p/fedora-abrt/language/ja/)
accerciser,617,298,3718,229,39,180,319,4633,13.317504856464494,Japanese
accountsservice,59,0,0,10,0,0,12,59,100.0,Japanese (http://www.transifex.com/freedesktop/accountsservice/language/ja/)
