package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bubblemail,0,0,478,0,0,141,0,478,0.0,none
clamtk,677,0,11,201,0,4,733,688,98.40116279069767,LANGUAGE <LL@li.org>
dino,575,14,390,173,1,68,565,979,58.73340143003064,Flemish <https://hosted.weblate.org/projects/dino/translations/nl_BE/>
gnome-shell-extension-bubblemail,0,0,98,0,0,27,0,98,0.0,none
gnome-shell-extension-gsconnect,330,134,326,143,57,59,321,790,41.77215189873418,Dutch <vistausss@outlook.com>
gtkhash,197,16,0,57,6,0,185,213,92.48826291079813,Flemish <https://hosted.weblate.org/projects/gtkhash/translations/nl_BE/>
lollypop,609,0,828,258,0,202,585,1437,42.379958246346554,Flemish <https://hosted.weblate.org/projects/gnumdk/lollypop/nl_BE/>
mc,0,0,4350,0,0,1266,0,4350,0.0,Dutch (Belgium) (http://www.transifex.com/mc/mc/language/nl_BE/)
picard,386,0,0,258,0,0,334,386,100.0,Dutch (Belgium) (http://www.transifex.com/musicbrainz/musicbrainz/language/nl_BE/)
siril,12220,3113,3351,1555,277,218,11978,18684,65.40355384286019,Dutch <antoine.hoeffelman[-at-]gmail.com>
