package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,5218,4088,100.0,Galego <kde-i18n-doc@kde.org>
LabPlot,9066,2701,1376,2380,871,276,10959,13143,68.97968500342387,Galician <proxecto@trasno.gal>
ModemManager,147,0,0,19,0,0,200,147,100.0,Galician <proxecto@trasno.gal>
NetworkManager,1867,2862,24465,458,595,1198,2336,29194,6.395149688292115,gnome-l10n-gl@gnome.org
NetworkManager-fortisslvpn,43,54,224,10,14,36,61,321,13.395638629283487,Galician <gnome-l10n-gl@gnome.org>
NetworkManager-l2tp,410,0,851,80,0,110,509,1261,32.513877874702615,galego
NetworkManager-libreswan,31,45,389,14,11,51,46,465,6.666666666666667,gnome-l10n-gl@gnome.org
NetworkManager-openconnect,523,31,8966,106,7,1483,708,9520,5.493697478991597,gnome-l10n-gl@gnome.org
NetworkManager-openvpn,1722,155,280,238,25,41,2067,2157,79.83310152990263,galego
NetworkManager-pptp,415,0,0,77,0,0,501,415,100.0,Galician <gnome-l10n-gl@gnome.org>
NetworkManager-ssh,115,87,84,29,22,18,144,286,40.20979020979021,Galician <gnome-l10n-gl@gnome.org>
NetworkManager-sstp,255,115,508,45,27,77,298,878,29.043280182232344,Galician <gnome-l10n-gl@gnome.org>
NetworkManager-vpnc,444,0,0,86,0,0,537,444,100.0,gnome-l10n-gl@gnome.org
PackageKit,1197,0,0,303,0,0,1402,1197,100.0,Galician (http://www.transifex.com/freedesktop/packagekit/language/gl/)
Thunar,5258,0,162,940,0,34,5649,5420,97.0110701107011,Galician (https://www.transifex.com/xfce/teams/16840/gl/)
WindowMaker,2048,0,0,351,0,0,2399,2048,100.0,Galician <trasno@ceu.fi.udc.es>
Zim,1479,314,1593,397,73,307,1663,3386,43.67985823981099,Galician <https://hosted.weblate.org/projects/zim/develop/gl/>
a2ps,257,62,1213,74,11,99,301,1532,16.77545691906005,Galician <proxecto@trasno.net>
abattis-cantarell-fonts,27,0,0,3,0,0,39,27,100.0,Galician
abrt,555,26,3095,73,4,340,685,3676,15.097932535364528,Galician (http://www.transifex.com/projects/p/fedora-abrt/language/gl/)
accerciser,1701,240,2684,335,22,87,1962,4625,36.77837837837838,Galician <gnome-l10n-gl@gnome.org>
accountsservice,59,0,0,10,0,0,76,59,100.0,Galician (http://www.transifex.com/freedesktop/accountsservice/language/gl/)
acl,395,111,0,49,3,0,447,506,78.06324110671937,Galician
agenda,8,4,5,3,1,2,9,17,47.05882352941176,Galician <gl@li.org>
aisleriot,3359,0,19156,861,0,693,3372,22515,14.918942926937598,Galician <gnome-l10n-gl@gnome.org>
akonadi-calendar-tools,760,0,0,166,0,0,940,760,100.0,Galician <proxecto@trasno.gal>
akonadi-import-wizard,394,0,0,84,0,0,502,394,100.0,Galician <proxecto@trasno.gal>
akregator,1853,0,0,430,0,0,2225,1853,100.0,Galician <proxecto@trasno.gal>
alacarte,45,0,0,20,0,0,49,45,100.0,gnome-l10n-gl@gnome.org
alexandria,954,80,143,265,17,32,1029,1177,81.053525913339,Galician <proxecto@trasno.net>
alligator,171,0,0,77,0,0,216,171,100.0,Galician <proxecto@trasno.gal>
almanah,786,0,0,132,0,0,999,786,100.0,gnome-l10n-gl@gnome.org
amarok,15626,111,82,2771,7,2,18393,15819,98.77994816360072,Galician <proxecto@trasno.net>
anaconda,1110,363,7266,263,103,1083,1311,8739,12.701682114658427,Galician <https://translate.fedoraproject.org/projects/anaconda/master/gl/>
analitza,992,0,0,222,0,0,1128,992,100.0,Galician <proxecto@trasno.gal>
android-tools,35,2,5991,34,1,931,37,6028,0.5806237558062376,Galician
angelfish,689,0,0,173,0,0,781,689,100.0,Galician <proxecto@trasno.gal>
anjuta,9579,0,9414,2361,0,409,11369,18993,50.434370557573835,Galician <gnome-l10n-gl@gnome.org>
apostrophe,445,0,0,152,0,0,527,445,100.0,Galician <proxecto@trasno.gal>
appstream,922,272,4888,237,33,398,1018,6082,15.159487010851693,Galician <https://hosted.weblate.org/projects/appstream/translations/gl/>
apt,3240,869,1447,491,113,142,3974,5556,58.31533477321814,galician <proxecto@trasno.net>
apt-cacher-ng,34,53,307,5,1,19,32,394,8.629441624365482,Galician <proxecto@trasno.net>
arandr,173,0,0,38,0,0,196,173,100.0,Galician <https://hosted.weblate.org/projects/arandr/translations/gl/>
arianna,128,0,0,65,0,0,143,128,100.0,Galician <proxecto@trasno.gal>
