package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1425,0,0,249,0,1425,0.0,none
elementary-code,0,0,1614,0,0,290,0,1614,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2490,0,0,551,0,2490,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,788,0,0,179,0,788,0.0,
elementary-music,0,0,205,0,0,37,0,205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,44,0,0,10,0,44,0.0,none
exaile,1,2,4599,1,1,1119,1,4602,0.0217296827466319,Ossetian <os@li.org>
gala,0,0,249,0,0,51,0,249,0.0,none
gnome-extensions-app,295,0,2289,99,0,476,262,2584,11.41640866873065,Ossetian; Ossetic <soslanx@gmail.com>
gnome-shell,295,0,2289,99,0,476,262,2584,11.41640866873065,Ossetian; Ossetic <soslanx@gmail.com>
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,300,0,0,75,0,300,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
pyhoca-gui,0,0,1865,0,0,402,0,1865,0.0,none
python-django,2078,0,1438,571,0,240,1955,3516,59.10125142207053,Ossetic (http://www.transifex.com/django/django/language/os/)
python-django-formtools,5,0,27,3,0,8,6,32,15.625,Ossetic (http://www.transifex.com/projects/p/django-formtools/language/os/)
python-django-mailman3,0,0,355,0,0,72,0,355,0.0,LANGUAGE <LL@li.org>
python-django3,2078,0,1438,571,0,240,1955,3516,59.10125142207053,Ossetic (http://www.transifex.com/django/django/language/os/)
python-hyperkitty,0,0,951,0,0,265,0,951,0.0,LANGUAGE <LL@li.org>
python-postorius,0,0,5054,0,0,631,0,5054,0.0,LANGUAGE <LL@li.org>
regextester,0,0,104,0,0,31,0,104,0.0,none
slick-greeter,161,0,55,33,0,16,144,216,74.53703703703704,Ossetian <os@li.org>
supertuxkart,0,0,0,0,0,0,0,0,0.0,
wingpanel,0,0,16,0,0,3,0,16,0.0,none
