package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
asunder,8,0,485,8,0,84,11,493,1.6227180527383367,http://littlesvr.ca/ostd/
bookworm,0,0,795,0,0,149,0,795,0.0,
chromium,0,0,0,0,0,0,0,0,0.0,
coin,0,0,252,0,0,50,0,252,0.0,none
coreutils,7989,9330,4537,998,538,344,12007,21856,36.55289165446559,Luganda <kbirabwa@yahoo.co.uk>
dippi,0,0,1540,0,0,255,0,1540,0.0,none
elementary-calculator,4,2,189,4,1,60,4,195,2.051282051282051,LANGUAGE <LL@li.org>
elementary-calendar,307,125,220,133,37,51,342,652,47.08588957055215,Ganda <https://weblate.elementary.io/projects/calendar/calendar/lg/>
elementary-camera,17,3,113,2,1,32,15,133,12.781954887218044,Ganda <https://weblate.elementary.io/projects/camera/camera/lg/>
elementary-code,0,0,1572,0,0,294,0,1572,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2538,0,0,551,0,2538,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,7,3,197,4,2,35,6,207,3.3816425120772946,Ganda <https://weblate.elementary.io/projects/music/music/lg/>
elementary-notifications,0,0,40,0,0,8,0,40,0.0,none
elementary-onboarding,0,0,317,0,0,66,0,317,0.0,none
findutils,97,295,2146,26,30,191,122,2538,3.821907013396375,Luganda <kompyuta@kizito.freeuk.com>
gala,0,0,259,0,0,56,0,259,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,369,0,0,86,0,369,0.0,
grub2,341,28,7043,107,6,1264,451,7412,4.600647598488937,Luganda <kbirabwa@yahoo.co.uk>
gtk3,1889,0,10452,677,0,1878,2048,12341,15.306701239769874,Luganda <kbirabwa@yahoo.co.uk>
gtk4,1889,0,633,677,0,162,2048,2522,74.90087232355273,Luganda <kbirabwa@yahoo.co.uk>
gtkspell3,10,0,6,5,0,2,11,16,62.5,Ganda <LL@li.org>
harvey,0,0,182,0,0,33,0,182,0.0,none
isomaster,19,0,655,14,0,93,19,674,2.8189910979228485,http://littlesvr.ca/ostd/
libfm,1558,13,4,389,4,1,1815,1575,98.92063492063492,lg <kbirabwa@yahoo.co.uk>
libgnomeui,332,0,894,129,0,191,309,1226,27.07993474714519,Luganda <kbirabwa@yahoo.co.uk>
lxde-common,14,0,0,5,0,0,20,14,100.0,LANGUAGE <LL@li.org>
lxdm,48,0,0,26,0,0,55,48,100.0,LANGUAGE <LL@li.org>
lxinput,83,0,0,26,0,0,96,83,100.0,Luganda <kbirabwa@yahoo.co.uk>
lxlauncher,58,0,0,17,0,0,40,58,100.0,LANGUAGE <LL@li.org>
lxmenu-data,97,0,0,37,0,0,131,97,100.0,LANGUAGE <LL@li.org>
lxmusic,203,0,0,89,0,0,252,203,100.0,LANGUAGE <LL@li.org>
lxshortcut,43,0,0,19,0,0,49,43,100.0,LANGUAGE <LL@li.org>
mingw-gtk3,1889,0,10452,677,0,1878,2048,12341,15.306701239769874,Luganda <kbirabwa@yahoo.co.uk>
mingw-gtk4,1889,0,633,677,0,162,2048,2522,74.90087232355273,Luganda <kbirabwa@yahoo.co.uk>
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
regextester,0,0,104,0,0,31,0,104,0.0,none
sequeler,39,95,272,21,33,80,42,406,9.60591133004926,none
sugar,4,58,2243,2,44,483,4,2305,0.1735357917570499,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,27,39,147,26,30,67,27,213,12.676056338028168,LANGUAGE <LL@li.org>
tuxpaint,1120,1020,1623,245,109,107,967,3763,29.763486579856497,LANGUAGE <LL@li.org>
vlc,1968,18,32793,815,7,5463,2129,34779,5.658587078409385,Luganda (https://app.transifex.com/yaron/teams/16553/lg/)
wingpanel,0,0,16,0,0,3,0,16,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,283,0,0,83,0,283,0.0,none
wingpanel-indicator-datetime,0,0,177,0,0,36,0,177,0.0,
wingpanel-indicator-keyboard,0,0,63,0,0,19,0,63,0.0,
