package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abattis-cantarell-fonts,27,0,0,3,0,0,28,27,100.0,Karbi <mjw@li.org>
baobab,102,0,173,38,0,35,105,275,37.09090909090909,Karbi <karbi.translation@gmail.com>
brasero,517,0,5032,220,0,749,526,5549,9.316994052982519,Karbi <karbi.translation@gmail.com>
budgie-session,127,0,255,32,0,29,125,382,33.246073298429316,Karbi <karbi.translation@gmail.com>
cheese,62,0,569,35,0,96,63,631,9.8256735340729,Karbi <mjw@li.org>
chromium,0,0,0,0,0,0,0,0,0.0,
eog,321,0,1409,136,0,202,297,1730,18.554913294797686,Karbi <karbi.translation@gmail.com>
evince,392,0,1313,172,0,261,386,1705,22.991202346041057,Karbi <karbi.translation@gmail.com>
gdm,620,0,9,87,0,1,546,629,98.5691573926868,Karbi <karbi.translation@gmail.com>
gedit,63,0,4241,39,0,690,65,4304,1.4637546468401488,Karbi <karbi.translation@gmail.com>
gnome-bluetooth,249,0,124,85,0,25,249,373,66.75603217158177,Karbi <karbi.translation@gmail.com>
gnome-bluetooth3.34,249,0,124,85,0,25,249,373,66.75603217158177,Karbi <karbi.translation@gmail.com>
gnome-calculator,560,0,1125,354,0,255,561,1685,33.23442136498516,Karbi <karbi.translation@gmail.com>
gnome-calendar,425,0,374,151,0,73,425,799,53.191489361702125,Karbi <karbi.translation@gmail.com>
gnome-clocks,132,0,221,57,0,73,123,353,37.39376770538244,Karbi <karbi.translation@gmail.com>
gnome-contacts,197,0,384,104,0,66,202,581,33.90705679862307,Karbi <karbi.translation@gmail.com>
gnome-control-center,1446,0,4766,656,0,1017,1446,6212,23.277527366387638,Karbi <karbi.translation@gmail.com>
gnome-desktop3,48,0,111,24,0,10,48,159,30.18867924528302,Karbi <mjw@li.org>
gnome-dictionary,88,0,573,42,0,95,92,661,13.313161875945537,Karbi <karbi.translation@gmail.com>
gnome-disk-utility,471,0,3498,181,0,564,450,3969,11.866969009826153,Karbi <karbi.translation@gmail.com>
gnome-extensions-app,936,0,1563,314,0,244,985,2499,37.45498199279712,Karbi <karbi.translation@gmail.com>
gnome-initial-setup,435,0,384,77,0,43,356,819,53.11355311355312,Karbi <karbi.translation@gmail.com>
gnome-keyring,118,0,351,49,0,49,113,469,25.15991471215352,Karbi <karbi.translation@gmail.com>
gnome-maps,238,0,1044,128,0,199,244,1282,18.564742589703588,Karbi <karbi.translation@gmail.com>
gnome-menus,56,0,14,21,0,6,57,70,80.0,Karbi <karbi.translation@gmail.com>
gnome-music,165,0,428,79,0,44,175,593,27.82462057335582,Karbi <karbi.translation@gmail.com>
gnome-online-accounts,75,0,582,44,0,101,80,657,11.415525114155251,Karbi <mjw@li.org>
gnome-photos,151,0,418,80,0,138,161,569,26.537785588752193,Karbi <karbi.translation@gmail.com>
gnome-screenshot,103,0,352,37,0,41,110,455,22.63736263736264,Karbi <mjw@li.org>
gnome-session,127,0,255,32,0,29,125,382,33.246073298429316,Karbi <karbi.translation@gmail.com>
gnome-shell,936,0,1563,314,0,244,985,2499,37.45498199279712,Karbi <karbi.translation@gmail.com>
gnome-shell-extensions,68,0,181,28,0,24,67,249,27.309236947791167,Karbi <karbi.translation@gmail.com>
gnome-software,457,0,3443,221,0,550,432,3900,11.717948717948717,Karbi <karbi.translation@gmail.com>
gnome-sound-recorder,188,0,111,60,0,14,195,299,62.87625418060201,Karbi <karbi.translation@gmail.com>
gnome-system-monitor,140,0,1300,69,0,233,140,1440,9.722222222222223,Karbi <karbi.translation@gmail.com>
gnome-terminal,255,0,2330,157,0,348,261,2585,9.864603481624759,Karbi <karbi.translation@gmail.com>
gnome-todo,233,0,445,66,0,70,244,678,34.365781710914455,Karbi <karbi.translation@gmail.com>
gnome-tweaks,93,0,565,65,0,118,96,658,14.133738601823708,Karbi <mjw@li.org>
gnome-user-share,15,0,34,5,0,5,18,49,30.612244897959183,Karbi <karbi.translation@gmail.com>
gnome-video-effects,32,0,224,12,0,56,21,256,12.5,Karbi <karbi.translation@gmail.com>
gnome-weather,77,0,117,31,0,10,74,194,39.69072164948454,Karbi <mjw@li.org>
gspell,37,0,39,17,0,14,40,76,48.68421052631579,Karbi <mjw@li.org>
gtk4,1292,0,2876,723,0,868,1298,4168,30.998080614203456,Karbi <karbi.translation@gmail.com>
libgnome-games-support,42,0,1,13,0,1,40,43,97.67441860465115,Karbi <mjw@li.org>
libgnome-games-support1,42,0,1,13,0,1,40,43,97.67441860465115,Karbi <mjw@li.org>
mingw-gtk4,1292,0,2876,723,0,868,1298,4168,30.998080614203456,Karbi <karbi.translation@gmail.com>
nautilus,868,0,4781,351,0,775,903,5649,15.36555142503098,Karbi <mjw@li.org>
rhythmbox,683,0,3073,328,0,641,709,3756,18.18423855165069,Karbi <karbi.translation@gmail.com>
shotwell,462,0,6366,200,0,1083,470,6828,6.766256590509665,Karbi <karbi.translation@gmail.com>
simple-scan,266,0,593,99,0,91,259,859,30.9662398137369,Karbi <karbi.translation@gmail.com>
sushi,13,0,9,5,0,6,14,22,59.09090909090909,Karbi <karbi.translation@gmail.com>
totem,429,0,929,213,0,167,399,1358,31.590574374079527,Karbi <karbi.translation@gmail.com>
totem-pl-parser,29,0,0,8,0,0,25,29,100.0,Karbi <mjw@li.org>
vte291,11,0,0,2,0,0,11,11,100.0,Karbi <karbi.translation@gmail.com>
