package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3998,19,0,477,2,0,4428,4017,99.52701020662185,MALAGASY <i18n-malagasy-gnome@gna.org>
alacarte,42,0,0,16,0,0,40,42,100.0,MALAGASY <i18n-malagasy-gnome@gna.org>
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Malagasy (http://www.transifex.com/projects/p/fedora/language/mg/)
asunder,10,0,483,9,0,83,13,493,2.028397565922921,http://littlesvr.ca/ostd/
atril,590,5,3769,210,1,523,645,4364,13.519706691109073,Malagasy (https://www.transifex.com/mate/teams/13566/mg/)
baobab,132,193,215,50,48,28,149,540,24.444444444444443,Malagasy <i18n-malagasy-gnome@gna.org>
bookworm,0,0,795,0,0,149,0,795,0.0,
budgie-screensaver,1259,4,0,195,1,0,1259,1263,99.68329374505146,Malagasy <i18n-malagasy-gnome@gna.org>
budgie-session,571,0,0,106,0,0,586,571,100.0,MALAGASY <i18n-malagasy-gnome@gna.org>
caja,3552,0,6604,777,0,819,3735,10156,34.97439936983064,Malagasy (https://app.transifex.com/mate/teams/13566/mg/)
caja-actions,92,0,18720,68,0,1448,104,18812,0.4890495428449926,Malagasy (https://app.transifex.com/mate/teams/13566/mg/)
caja-extensions,36,0,809,30,0,151,44,845,4.260355029585798,Malagasy (https://app.transifex.com/mate/teams/13566/mg/)
cinnamon-desktop,4,15,215,2,3,27,5,234,1.7094017094017095,Malagasy <i18n-malagasy-gnome@gna.org>
cinnamon-translations,147,0,11104,54,0,2388,136,11251,1.3065505288418808,Malagasy <i18n-malagasy-gnome@gna.org>
coin,0,0,252,0,0,50,0,252,0.0,none
dasher,300,10,0,109,4,0,333,310,96.7741935483871,MALAGASY <i18n-malagasy-gnome@gna.org>
debconf,189,0,2,16,0,1,192,191,98.95287958115183,Malagasy <jaonary@free.fr>
dialog,4,0,21,4,0,19,4,25,16.0,<en@li.org>
dippi,0,0,1537,0,0,254,0,1537,0.0,none
elementary-calculator,21,10,164,12,4,49,25,195,10.76923076923077,Malagasy <https://l10n.elementary.io/projects/calculator/calculator/mg/>
elementary-calendar,0,0,652,0,0,221,0,652,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,133,0,0,35,0,133,0.0,
elementary-code,0,0,1572,0,0,294,0,1572,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2538,0,0,551,0,2538,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,349,0,0,63,0,349,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,207,0,0,41,0,207,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,40,0,0,8,0,40,0.0,none
elementary-onboarding,0,0,317,0,0,66,0,317,0.0,none
engrampa,730,0,7169,196,0,687,775,7899,9.241676161539436,Malagasy (https://www.transifex.com/mate/teams/13566/mg/)
