package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,264,89,3601,61,16,384,277,3954,6.676783004552352,Irish <gaeilge-gnulinux@lists.sourceforge.net>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Irish (http://www.transifex.com/projects/p/freedesktop/language/ga/)
a2ps,107,40,17,20,3,4,101,164,65.2439024390244,Irish <gaeilge-gnulinux@lists.sourceforge.net>
accountsservice,0,0,59,0,0,10,0,59,0.0,Irish (http://www.transifex.com/freedesktop/accountsservice/language/ga/)
aisleriot,538,211,1238,231,78,240,576,1987,27.075993960744842,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-calendar,152,67,1973,59,26,267,260,2192,6.934306569343065,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-calendar-tools,114,85,259,37,20,46,143,458,24.890829694323145,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-contacts,455,224,449,138,81,61,686,1128,40.33687943262411,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-import-wizard,40,42,312,18,10,56,44,394,10.152284263959391,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-mime,108,195,278,21,33,61,288,581,18.588640275387263,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-notes,2,0,0,1,0,0,2,2,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akonadi-server,688,328,1696,179,90,181,1072,2712,25.368731563421832,Irish <gaeilge-gnulinux@lists.sourceforge.net>
akregator,513,341,1039,175,102,158,668,1893,27.099841521394612,Irish <gaeilge-gnulinux@lists.sourceforge.net>
alacarte,42,0,0,16,0,0,39,42,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
alexandria,511,77,589,154,16,144,596,1177,43.41546304163126,Irish
amarok,7903,1762,4642,1930,296,271,10556,14307,55.23869434542532,Irish <gaeilge-gnulinux@lists.sourceforge.net>
anaconda,355,89,7822,215,46,1101,391,8266,4.294701185579482,Irish <https://translate.fedoraproject.org/projects/anaconda/master/ga/>
anaconda-webui,1187,0,0,242,0,0,1479,1187,100.0,Irish <https://translate.fedoraproject.org/projects/anaconda-webui/anaconda-webui/ga/>
analitza,0,408,591,0,129,94,0,999,0.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
android-tools,15,0,6013,12,0,954,18,6028,0.24883875248838755,Irish
anjuta,443,368,5682,265,151,1365,474,6493,6.822732173109502,Irish <gaeilge-gnulinux@lists.sourceforge.net>
ark,473,748,762,100,144,127,583,1983,23.852748361069086,Irish <gaeilge-gnulinux@lists.sourceforge.net>
arm-none-eabi-binutils-cs,5094,0,0,881,0,0,5826,5094,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
aspell,1701,39,58,289,8,6,1770,1798,94.6051167964405,Irish <gaeilge-gnulinux@lists.sourceforge.net>
asunder,16,0,477,15,0,77,17,493,3.2454361054766734,http://littlesvr.ca/ostd/
at-spi2-core,30,26,324,26,15,86,32,380,7.894736842105263,Irish
atomix,29,0,96,16,0,28,30,125,23.200000000000003,Irish <gaeilge-gnulinux@lists.sourceforge.net>
atril,416,3,3945,201,1,532,493,4364,9.532538955087077,Irish (https://www.transifex.com/mate/teams/13566/ga/)
audacity,4248,3663,11338,1810,1054,1535,5005,19249,22.068678892409995,Seanán Ó Coistín <seananoc@gmail.com>
audex,124,73,2418,79,27,309,158,2615,4.74187380497132,Irish <gaeilge-gnulinux@lists.sourceforge.net>
audiocd-kio,706,49,9,162,8,3,802,764,92.40837696335078,Irish <gaeilge-gnulinux@lists.sourceforge.net>
avr-binutils,5094,0,0,881,0,0,5826,5094,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
baloo-widgets,18,20,29,11,10,19,23,67,26.865671641791046,Irish <gaeilge-gnulinux@lists.sourceforge.net>
baobab,124,6,80,45,1,11,162,210,59.04761904761905,Irish <gaeilge-gnulinux@lists.sourceforge.net>
bash,7007,750,3983,548,28,21,7609,11740,59.68483816013629,Irish <gaeilge-gnulinux@lists.sourceforge.net>
bijiben,203,0,0,76,0,0,228,203,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
binutils,5094,0,0,881,0,0,5826,5094,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
bison,800,630,376,155,74,79,1043,1806,44.29678848283499,Irish <gaeilge-gnulinux@lists.sourceforge.net>
blinken,126,8,0,46,1,0,153,134,94.02985074626866,Irish <gaeilge-gnulinux@lists.sourceforge.net>
blogilo,661,50,681,232,19,86,770,1392,47.485632183908045,Irish <gaeilge-gnulinux@lists.sourceforge.net>
blueman,2365,0,0,824,0,0,2574,2365,100.0,Irish <https://hosted.weblate.org/projects/blueman/2-4/ga/>
bomber,61,23,26,19,5,3,61,110,55.45454545454545,Irish <gaeilge-gnulinux@lists.sourceforge.net>
bookworm,0,0,795,0,0,149,0,795,0.0,
bovo,59,23,0,19,7,0,66,82,71.95121951219512,Irish <gaeilge-gnulinux@lists.sourceforge.net>
brasero,1562,66,3904,495,9,476,1688,5532,28.235719450469993,Irish <gaeilge-gnulinux@lists.sourceforge.net>
budgie-desktop,980,0,879,275,0,206,1077,1859,52.71651425497579,Irish (https://app.transifex.com/buddiesofbudgie/teams/129844/ga/)
budgie-screensaver,104,0,182,28,0,28,146,286,36.36363636363637,Irish <gaeilge-gnulinux@lists.sourceforge.net>
budgie-session,274,0,401,78,0,35,361,675,40.59259259259259,Irish <gaeilge-gnulinux@lists.sourceforge.net>
caja,2406,0,7750,780,0,816,2548,10156,23.69042930287515,Irish (https://app.transifex.com/mate/teams/13566/ga/)
caja-actions,116,0,18696,78,0,1438,136,18812,0.6166276844567298,Irish (https://app.transifex.com/mate/teams/13566/ga/)
caja-extensions,40,0,805,33,0,148,41,845,4.733727810650888,Irish (https://app.transifex.com/mate/teams/13566/ga/)
calendarsupport,183,179,2397,83,79,223,203,2759,6.632837984777093,Irish <gaeilge-gnulinux@lists.sourceforge.net>
calibre,982,0,177270,620,0,19384,1199,178252,0.5509054596862868,Irish (http://app.transifex.com/calibre/calibre/language/ga/)
calligra,7138,7318,15648,3074,1771,1261,8564,30104,23.711134732925856,Irish <gaeilge-gnulinux@lists.sourceforge.net>
calligraplan,1038,2793,6112,534,935,696,1181,9943,10.439505179523282,Irish <gaeilge-gnulinux@lists.sourceforge.net>
camorama,21,5,809,13,3,153,26,835,2.5149700598802394,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cantor,225,226,3536,163,97,507,242,3987,5.643340857787811,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cataclysm-dda,5,0,1125655,5,0,87488,7,1125660,0.00044418385658191636,Irish (Ireland) (https://app.transifex.com/cataclysm-dda-translators/teams/2217/ga_IE/)
celluloid,1815,0,0,337,0,0,2142,1815,100.0,Irish <https://hosted.weblate.org/projects/celluloid/celluloid/ga/>
cervisia,694,36,885,260,10,150,816,1615,42.972136222910216,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cflow,213,304,266,57,52,56,238,783,27.203065134099617,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cheese,238,244,73,76,32,12,325,555,42.88288288288288,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cinnamon-desktop,125,6,103,16,4,12,138,234,53.41880341880342,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cinnamon-translations,3924,0,17801,1220,0,3673,4653,21725,18.062140391254317,Irish <ga@li.org>
clamtk,0,0,367,0,0,128,0,367,0.0,Irish <ga@li.org>
clementine,1111,0,2692,483,0,578,1382,3803,29.213778595845387,Irish (http://app.transifex.com/davidsansome/clementine/language/ga/)
colord-kde,39,37,206,30,19,55,39,282,13.829787234042554,Irish <gaeilge-gnulinux@lists.sourceforge.net>
console-setup,922,68,2,176,3,1,989,992,92.94354838709677,Irish <gaeilge-gnulinux@lists.sourceforge.net>
coreutils,5690,10724,5632,764,675,455,6420,22046,25.80967068856028,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cosmic-store,0,0,1328,0,0,326,0,1328,0.0,Irish (http://www.transifex.com/projects/p/freedesktop/language/ga/)
cpeditor,0,317,330,0,235,148,0,647,0.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cpio,996,298,642,153,52,112,1220,1936,51.446280991735534,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cpu-x,1711,0,0,377,0,0,1958,1711,100.0,Irish <https://hosted.weblate.org/projects/cpu-x/translations/ga/>
crash,1602,0,0,287,0,0,1830,1602,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
cross-binutils,5094,0,0,881,0,0,5826,5094,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
dasher,71,22,330,58,14,95,72,423,16.78486997635934,Irish <gaeilge-gnulinux@lists.sourceforge.net>
debconf,191,0,0,17,0,0,196,191,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
deluge,9,0,4381,9,0,1332,9,4390,0.2050113895216401,Irish <ga@li.org>
dia,315,218,5178,219,126,1701,335,5711,5.515671511118893,Irish <gaeilge-gnulinux@lists.sourceforge.net>
dialog,25,0,0,23,0,0,28,25,100.0,Irish <gaeilge-gnulinux@lists.sourceforge.net>
diffutils,415,1081,368,84,124,55,450,1864,22.263948497854077,Irish <ga@li.org>
digikam,3830,16942,42694,1379,5265,3928,4516,63466,6.034727255538399,Irish <gaeilge-gnulinux@lists.sourceforge.net>
dippi,0,0,1537,0,0,254,0,1537,0.0,none
