package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
akonadi-notes,2,0,0,1,0,0,2,2,100.0,Upper Sorbian <kde-i18n-doc@kde.org>
akonadi-search,35,13,19,9,2,7,36,67,52.23880597014925,Upper Sorbian <kde-i18n-doc@kde.org>
akonadi-server,618,83,2002,192,26,234,716,2703,22.86348501664817,Upper Sorbian <kde-i18n-doc@kde.org>
calendarsupport,0,580,2179,0,174,211,0,2759,0.0,Upper Sorbian
calligra,1254,888,4001,538,291,1043,1244,6143,20.413478756307992,Upper Sorbian <kde-i18n-doc@kde.org>
cinnamon-translations,1131,0,6402,356,0,1528,1173,7533,15.013938669852648,Upper Sorbian <hsb@li.org>
cpeditor,0,33,614,0,20,363,0,647,0.0,en_US <kde-i18n-doc@lists.kde.org>
dolphin,577,1104,5119,228,304,421,571,6800,8.48529411764706,en_US <kde-i18n-doc@lists.kde.org>
gwenview,218,9,1864,131,5,321,242,2091,10.425633668101387,Upper Sorbian <kde-i18n-doc@kde.org>
kate,65,313,2487,18,107,423,64,2865,2.2687609075043627,Hornjoserbšćina <hsb@li.org>
kdialog,58,100,245,16,13,49,50,403,14.392059553349876,Hornjoserbšćina
kdnssd,0,0,33,0,0,8,0,33,0.0,en_US <kde-i18n-doc@lists.kde.org>
keditbookmarks,26,25,419,19,16,98,28,470,5.531914893617021,en_US <kde-i18n-doc@lists.kde.org>
kexi,15,354,6971,8,163,1309,13,7340,0.20435967302452315,Upper Sorbian <hsb@li.org>
kf5-akonadi-notes,2,0,0,1,0,0,2,2,100.0,Upper Sorbian <kde-i18n-doc@kde.org>
kf5-akonadi-search,48,0,19,11,0,7,49,67,71.64179104477611,Upper Sorbian <kde-i18n-doc@kde.org>
kf5-akonadi-server,650,48,1826,203,13,212,746,2524,25.752773375594295,Upper Sorbian <kde-i18n-doc@kde.org>
kf5-calendarsupport,0,597,2182,0,177,214,0,2779,0.0,Upper Sorbian
kf5-kauth,0,0,73,0,0,8,0,73,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kbookmarks,230,0,0,49,0,0,197,230,100.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kcmutils,140,123,3,18,18,2,150,266,52.63157894736842,en_US <kde-i18n-doc@lists.kde.org>
kf5-kcodecs,0,55,315,0,36,17,0,370,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kcompletion,0,18,0,0,11,0,0,18,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kconfig,0,35,254,0,4,100,0,289,0.0,Upper Sorbian
kf5-kconfigwidgets,119,156,67,64,47,14,133,342,34.7953216374269,en_US <kde-i18n-doc@lists.kde.org>
kf5-kcoreaddons,0,306,76,0,89,43,0,382,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kdeclarative,41,40,80,7,8,10,38,161,25.465838509316768,en_US <kde-i18n-doc@lists.kde.org>
kf5-kdelibs4support,952,1043,3358,211,647,1686,833,5353,17.784419951429108,en_US <kde-i18n-doc@lists.kde.org>
kf5-kdesignerplugin,0,53,1,0,8,1,0,54,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kdnssd,0,3,0,0,3,0,0,3,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kdoctools,8,0,0,4,0,0,10,8,100.0,Hornjoserbsce <en@li.org>
kf5-kglobalaccel,0,67,4,0,8,1,0,71,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-khtml,1085,435,147,237,36,16,941,1667,65.0869826034793,en_US <kde-i18n-doc@lists.kde.org>
kf5-ki18n,42,80,2,42,66,2,42,124,33.87096774193548,en_US <kde-i18n-doc@lists.kde.org>
kf5-kiconthemes,11,17,13,10,5,4,11,41,26.82926829268293,en_US <kde-i18n-doc@lists.kde.org>
kf5-kinit,78,31,7,6,4,1,38,116,67.24137931034483,en_US <kde-i18n-doc@lists.kde.org>
kf5-kio,5096,3139,3802,695,363,315,4160,12037,42.336130265016195,en_US <kde-i18n-doc@lists.kde.org>
kf5-kitemviews,0,7,0,0,4,0,0,7,0.0,en_US <kde-i18n-doc@lists.kde.org>
kf5-kjobwidgets,0,115,18,0,36,2,0,133,0.0,en_US <kde-i18n-doc@lists.kde.org>
