package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bug-buddy,1231,0,0,175,0,0,1018,1231,100.0,Kirghiz <ky-li@mail.ru>
dasher,471,0,0,182,0,0,472,471,100.0,
eel2,231,4,0,51,1,0,185,235,98.29787234042553,Kirghiz <ztimur@gmail.com>
evolution-webcal,180,0,0,29,0,0,143,180,100.0,Kirghiz
gnome-applets,1082,0,2964,286,0,674,995,4046,26.742461690558578,
gnome-backgrounds,35,0,0,10,0,0,44,35,100.0,Kirghiz
gnome-desktop,323,0,0,73,0,0,322,323,100.0,Kirghiz
gnome-mag,5,0,0,2,0,0,5,5,100.0,Kirghiz <ztimur@gmail.com>
gnome-menus,133,0,0,48,0,0,137,133,100.0,Kirghiz
gnome-panel,3974,0,0,521,0,0,3355,3974,100.0,Kirghiz
gnome-themes,87,13,4,32,3,1,96,104,83.65384615384616,Kirghiz
iso-codes,3,4,12013,3,4,8489,3,12020,0.02495840266222962,Kirghiz
libgnomeprint22,121,15,32,85,5,8,117,168,72.02380952380952,Kirghiz
libgtop2,132,0,2,43,0,1,116,134,98.50746268656717,Kitghiz
libwnck,69,1,3,27,1,2,74,73,94.52054794520548,Kirghiz
poedit,1154,0,0,272,0,0,1014,1154,100.0,kyrgyz <i18n-team-ky-kyrgyz@lists.sourceforge.net>
vte,96,0,0,18,0,0,95,96,100.0,Kirghiz
yelp,597,3,0,151,1,0,494,600,99.5,<ru@li.org>
