package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4032,0,0,481,0,0,4825,4032,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
NetworkManager,32,41,39,8,8,10,34,112,28.57142857142857,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
abiword,4360,161,123,1449,46,25,4565,4644,93.88458225667527,Albanian
alacarte,74,0,0,30,0,0,92,74,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
alleyoop,342,0,0,87,0,0,382,342,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
amarok,129,1159,11904,71,437,1995,158,13192,0.977865372953305,Shqip <kde-shqip@yahoogroups.com>
anaconda,107,1,10095,17,1,1227,130,10203,1.0487111633833186,none <en@li.org>
anjuta,965,4413,1691,391,1150,400,1153,7069,13.651152921205261,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
anjuta-gdl,68,544,73,42,70,29,80,685,9.927007299270073,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
at-spi,4,0,0,2,0,0,5,4,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
atk,370,0,0,123,0,0,431,370,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
atomix,146,0,0,59,0,0,166,146,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
authconfig,0,0,1133,0,0,223,0,1133,0.0,none
balsa,254,4451,643,167,938,182,282,5348,4.749439042632759,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
bittorrent,463,0,3443,157,0,477,505,3906,11.853558627752177,LANGUAGE <LL@li.org>
blam,322,0,0,91,0,0,325,322,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
bug-buddy,972,0,0,90,0,0,1106,972,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
chkconfig,0,0,430,0,0,88,0,430,0.0,none
conglomerate,540,2466,3311,242,375,521,630,6317,8.548361564033561,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
contact-lookup-applet,259,0,0,55,0,0,263,259,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
control-center,3488,0,0,762,0,0,4020,3488,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
dasher,443,0,0,173,0,0,539,443,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
deskbar-applet,862,22,0,182,2,0,943,884,97.51131221719457,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
devhelp,309,0,0,71,0,0,356,309,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
dia,326,3622,1763,271,1047,728,368,5711,5.7082822623008225,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
dialog,5,0,20,5,0,18,5,25,20.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
doodle,420,137,175,63,20,29,502,732,57.377049180327866,Albanian <translation-team-sq@lists.sourceforge.net>
drgeo,356,1454,175,114,264,83,382,1985,17.934508816120907,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
drivel,94,698,47,63,182,29,103,839,11.203814064362335,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
eel2,226,0,0,49,0,0,248,226,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
ekiga,5167,0,0,776,0,0,5656,5167,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
empathy,56,108,779,29,54,108,69,943,5.938494167550371,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
eog,993,0,0,244,0,0,1129,993,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
epiphany,4071,0,0,887,0,0,4472,4071,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
epiphany-extensions,178,0,0,34,0,0,214,178,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
evince,1004,0,0,292,0,0,1127,1004,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
evolution,17377,1878,4,4326,330,2,19710,19259,90.22794537618776,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
evolution-data-server,5044,0,0,1042,0,0,6255,5044,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
evolution-exchange,1295,0,0,192,0,0,1502,1295,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
evolution-webcal,184,0,0,30,0,0,190,184,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
fast-user-switch-applet,842,0,0,99,0,0,912,842,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
fetchmail,3429,293,230,575,32,33,3982,3952,86.7661943319838,Albanian <translation-team-sq@lists.sourceforge.net>
file-roller,1076,0,0,252,0,0,1167,1076,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
firestarter,127,1244,533,43,200,131,134,1904,6.670168067226891,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
firstboot,0,0,598,0,0,59,0,598,0.0,none
gail,170,0,0,103,0,0,212,170,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
galeon,1266,4034,161,498,788,73,1495,5461,23.18256729536715,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gcalctool,1049,0,0,366,0,0,1190,1049,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gcompris,180,3568,247,147,333,131,193,3995,4.505632040050062,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gconf-editor,335,0,0,99,0,0,423,335,100.0,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gdesklets,708,0,0,129,0,0,779,708,100.0,Albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gdm,6119,1051,5,891,45,1,6817,7175,85.2822299651568,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
gedit,3800,1288,7,910,196,3,4402,5095,74.5829244357213,albanian <gnome-albanian-perkthyesit@lists.sourceforge.net>
